Agg(open=9.48, high=9.48, low=9.43, close=9.44, volume=2682, vwap=9.4509, timestamp=1699876800000, transactions=18, otc=None)
Agg(open=9.44, high=9.48, low=9.44, close=9.48, volume=14095, vwap=9.4762, timestamp=1699880400000, transactions=55, otc=None)
Agg(open=9.45, high=9.68, low=9.4, close=9.54, volume=924316, vwap=9.5436, timestamp=1699884000000, transactions=5027, otc=None)
Agg(open=9.54, high=9.59, low=9.46, close=9.545, volume=500835, vwap=9.5179, timestamp=1699887600000, transactions=3467, otc=None)
Agg(open=9.54, high=9.74, low=9.54, close=9.65, volume=634332, vwap=9.6526, timestamp=1699891200000, transactions=4267, otc=None)
Agg(open=9.655, high=9.69, low=9.62, close=9.655, volume=325847, vwap=9.6422, timestamp=1699894800000, transactions=2608, otc=None)
Agg(open=9.655, high=9.68, low=9.625, close=9.66, volume=275629, vwap=9.6546, timestamp=1699898400000, transactions=2229, otc=None)
Agg(open=9.655, high=9.665, low=9.59, close=9.595, volume=220427, vwap=9.6372, timestamp=1699902000000, transactions=1865, otc=None)
Agg(open=9.59, high=9.65, low=9.585, close=9.635, volume=683998, vwap=9.6254, timestamp=1699905600000, transactions=4437, otc=None)
Agg(open=9.64, high=9.64, low=9.64, close=9.64, volume=499, vwap=9.64, timestamp=1699909200000, transactions=3, otc=None)
Agg(open=9.58, high=9.58, low=9.58, close=9.58, volume=250, vwap=9.58, timestamp=1699912800000, transactions=1, otc=None)
Agg(open=9.62, high=9.71, low=9.62, close=9.7, volume=31936, vwap=9.6969, timestamp=1699956000000, transactions=10, otc=None)
Agg(open=9.75, high=9.87, low=9.72, close=9.72, volume=20014, vwap=9.793, timestamp=1699959600000, transactions=38, otc=None)
Agg(open=9.72, high=9.72, low=9.72, close=9.72, volume=153, vwap=9.72, timestamp=1699963200000, transactions=2, otc=None)
Agg(open=9.7664, high=9.78, low=9.73, close=9.77, volume=20737, vwap=9.7775, timestamp=1699966800000, transactions=40, otc=None)
Agg(open=9.78, high=9.88, low=9.27, close=9.34, volume=1430908.0, vwap=9.5342, timestamp=1699970400000, transactions=6499, otc=None)
Agg(open=9.32, high=9.4413, low=9.17, close=9.42, volume=1398522.0, vwap=9.3127, timestamp=1699974000000, transactions=7333, otc=None)
Agg(open=9.415, high=9.53, low=9.365, close=9.38, volume=448745, vwap=9.4481, timestamp=1699977600000, transactions=3609, otc=None)
Agg(open=9.38, high=9.46, low=9.35, close=9.455, volume=206988, vwap=9.3917, timestamp=1699981200000, transactions=1651, otc=None)
Agg(open=9.455, high=9.46, low=9.4, close=9.45, volume=263254, vwap=9.4325, timestamp=1699984800000, transactions=2299, otc=None)
Agg(open=9.455, high=9.495, low=9.415, close=9.49, volume=253417, vwap=9.4606, timestamp=1699988400000, transactions=2176, otc=None)
Agg(open=9.49, high=9.5, low=9.45, close=9.48, volume=576211, vwap=9.4691, timestamp=1699992000000, transactions=4519, otc=None)
Agg(open=9.47, high=9.47, low=9.47, close=9.47, volume=172609, vwap=9.47, timestamp=1699995600000, transactions=9, otc=None)
Agg(open=9.39, high=9.39, low=9.39, close=9.39, volume=158, vwap=9.39, timestamp=1699999200000, transactions=1, otc=None)
Agg(open=9.65, high=9.65, low=9.65, close=9.65, volume=100, vwap=9.65, timestamp=1700042400000, transactions=1, otc=None)
Agg(open=9.6, high=9.6, low=9.6, close=9.6, volume=500, vwap=9.5933, timestamp=1700049600000, transactions=7, otc=None)
Agg(open=9.62, high=9.64, low=9.6, close=9.64, volume=1326, vwap=9.611, timestamp=1700053200000, transactions=10, otc=None)
Agg(open=9.6017, high=9.705, low=9.33, close=9.35, volume=2656730.0, vwap=9.4996, timestamp=1700056800000, transactions=14815, otc=None)
Agg(open=9.35, high=9.77, low=9.33, close=9.76, volume=2793655.0, vwap=9.5547, timestamp=1700060400000, transactions=15956, otc=None)
Agg(open=9.765, high=9.79, low=9.555, close=9.59, volume=1332164.0, vwap=9.7159, timestamp=1700064000000, transactions=8281, otc=None)
Agg(open=9.59, high=9.68, low=9.555, close=9.61, volume=629056, vwap=9.6169, timestamp=1700067600000, transactions=4224, otc=None)
Agg(open=9.61, high=9.62, low=9.52, close=9.59, volume=424890, vwap=9.5663, timestamp=1700071200000, transactions=3460, otc=None)
Agg(open=9.59, high=9.67, low=9.57, close=9.65, volume=456753, vwap=9.6218, timestamp=1700074800000, transactions=3622, otc=None)
Agg(open=9.65, high=9.67, low=9.59, close=9.61, volume=1314457.0, vwap=9.6247, timestamp=1700078400000, transactions=8489, otc=None)
Agg(open=9.61, high=9.61, low=9.5607, close=9.5607, volume=6052, vwap=9.6081, timestamp=1700082000000, transactions=4, otc=None)
Agg(open=9.53, high=9.53, low=9.53, close=9.53, volume=186, vwap=9.53, timestamp=1700125200000, transactions=1, otc=None)
Agg(open=9.32, high=9.37, low=9.32, close=9.37, volume=300, vwap=9.3533, timestamp=1700136000000, transactions=4, otc=None)
Agg(open=9.3998, high=9.4, low=9.3, close=9.36, volume=11202, vwap=9.3637, timestamp=1700139600000, transactions=41, otc=None)
Agg(open=9.32, high=9.715, low=9.19, close=9.66, volume=1722452.0, vwap=9.4359, timestamp=1700143200000, transactions=9232, otc=None)
Agg(open=9.67, high=9.77, low=9.475, close=9.575, volume=1537900.0, vwap=9.602, timestamp=1700146800000, transactions=9338, otc=None)
Agg(open=9.575, high=9.6299, low=9.495, close=9.54, volume=765966, vwap=9.5649, timestamp=1700150400000, transactions=4938, otc=None)
Agg(open=9.54, high=9.6, low=9.505, close=9.56, volume=383389, vwap=9.5515, timestamp=1700154000000, transactions=2991, otc=None)
Agg(open=9.565, high=9.565, low=9.48, close=9.52, volume=417053, vwap=9.5193, timestamp=1700157600000, transactions=3006, otc=None)
Agg(open=9.525, high=9.636, low=9.52, close=9.6, volume=401798, vwap=9.582, timestamp=1700161200000, transactions=3044, otc=None)
Agg(open=9.6, high=9.625, low=9.47, close=9.51, volume=1887867.0, vwap=9.5276, timestamp=1700164800000, transactions=9045, otc=None)
Agg(open=9.5, high=9.5, low=9.5, close=9.5, volume=11302, vwap=9.5, timestamp=1700168400000, transactions=9, otc=None)
Agg(open=9.45, high=9.45, low=9.45, close=9.45, volume=100, vwap=9.45, timestamp=1700211600000, transactions=1, otc=None)
Agg(open=9.49, high=9.5, low=9.49, close=9.5, volume=2605, vwap=9.4957, timestamp=1700215200000, transactions=8, otc=None)
Agg(open=9.45, high=9.45, low=9.45, close=9.45, volume=273, vwap=9.4527, timestamp=1700218800000, transactions=2, otc=None)
Agg(open=9.5, high=9.5, low=9.49, close=9.5, volume=1796, vwap=9.4948, timestamp=1700226000000, transactions=7, otc=None)
Agg(open=9.45, high=9.63, low=9.41, close=9.435, volume=505603, vwap=9.5263, timestamp=1700229600000, transactions=3310, otc=None)
Agg(open=9.44, high=9.57, low=9.41, close=9.5, volume=289835, vwap=9.506, timestamp=1700233200000, transactions=2534, otc=None)
Agg(open=9.5, high=9.51, low=9.415, close=9.45, volume=161487, vwap=9.4634, timestamp=1700236800000, transactions=1687, otc=None)
Agg(open=9.45, high=9.58, low=9.45, close=9.555, volume=307995, vwap=9.5291, timestamp=1700240400000, transactions=2056, otc=None)
Agg(open=9.56, high=9.57, low=9.52, close=9.54, volume=146195, vwap=9.54, timestamp=1700244000000, transactions=1404, otc=None)
Agg(open=9.54, high=9.55, low=9.52, close=9.53, volume=113515, vwap=9.5384, timestamp=1700247600000, transactions=1083, otc=None)
Agg(open=9.525, high=9.53, low=9.48, close=9.5, volume=465984, vwap=9.5023, timestamp=1700251200000, transactions=3317, otc=None)
Agg(open=9.5, high=9.5, low=9.48, close=9.48, volume=42143, vwap=9.4999, timestamp=1700254800000, transactions=18, otc=None)
Agg(open=9.49, high=9.49, low=9.49, close=9.49, volume=1000, vwap=9.49, timestamp=1700258400000, transactions=5, otc=None)
Agg(open=9.5, high=9.56, low=9.5, close=9.56, volume=345, vwap=9.5426, timestamp=1700265600000, transactions=2, otc=None)
