Agg(open=7.13, high=7.13, low=7.13, close=7.13, volume=100, vwap=7.13, timestamp=1699866000000, transactions=1, otc=None)
Agg(open=6.97, high=7.02, low=6.89, close=6.94, volume=140628, vwap=6.9328, timestamp=1699884000000, transactions=584, otc=None)
Agg(open=6.93, high=6.96, low=6.91, close=6.91, volume=61463, vwap=6.9333, timestamp=1699887600000, transactions=502, otc=None)
Agg(open=6.915, high=6.97, low=6.915, close=6.945, volume=61105, vwap=6.9418, timestamp=1699891200000, transactions=469, otc=None)
Agg(open=6.95, high=6.955, low=6.915, close=6.925, volume=64394, vwap=6.9412, timestamp=1699894800000, transactions=506, otc=None)
Agg(open=6.925, high=6.945, low=6.91, close=6.935, volume=89413, vwap=6.9247, timestamp=1699898400000, transactions=639, otc=None)
Agg(open=6.93, high=6.93, low=6.9, close=6.91, volume=53737, vwap=6.9143, timestamp=1699902000000, transactions=504, otc=None)
Agg(open=6.905, high=6.94, low=6.903, close=6.93, volume=189494, vwap=6.9282, timestamp=1699905600000, transactions=1231, otc=None)
Agg(open=6.92, high=6.92, low=6.92, close=6.92, volume=2734, vwap=6.92, timestamp=1699909200000, transactions=11, otc=None)
Agg(open=7.18, high=7.18, low=7.18, close=7.18, volume=390, vwap=7.1528, timestamp=1699966800000, transactions=4, otc=None)
Agg(open=7.17, high=7.34, low=7.11, close=7.315, volume=143850, vwap=7.2804, timestamp=1699970400000, transactions=787, otc=None)
Agg(open=7.3131, high=7.435, low=7.3, close=7.415, volume=203549, vwap=7.3631, timestamp=1699974000000, transactions=1271, otc=None)
Agg(open=7.4118, high=7.46, low=7.35, close=7.35, volume=115802, vwap=7.4211, timestamp=1699977600000, transactions=929, otc=None)
Agg(open=7.35, high=7.375, low=7.34, close=7.355, volume=82164, vwap=7.359, timestamp=1699981200000, transactions=650, otc=None)
Agg(open=7.35, high=7.46, low=7.345, close=7.44, volume=326228, vwap=7.3982, timestamp=1699984800000, transactions=1375, otc=None)
Agg(open=7.43, high=7.49, low=7.42, close=7.49, volume=216043, vwap=7.4487, timestamp=1699988400000, transactions=1185, otc=None)
Agg(open=7.485, high=7.55, low=7.48, close=7.55, volume=752421, vwap=7.5251, timestamp=1699992000000, transactions=3257, otc=None)
Agg(open=7.55, high=7.55, low=7.55, close=7.55, volume=7745, vwap=7.55, timestamp=1699995600000, transactions=8, otc=None)
Agg(open=7.17, high=7.17, low=7.17, close=7.17, volume=110, vwap=7.17, timestamp=1699999200000, transactions=1, otc=None)
