Agg(open=23.61, high=24, low=23.61, close=24, volume=450, vwap=23.7843, timestamp=1678694400000, transactions=4, otc=None)
Agg(open=23.34, high=23.34, low=23.33, close=23.33, volume=281, vwap=23.3339, timestamp=1678698000000, transactions=4, otc=None)
Agg(open=23.41, high=23.64, low=23.41, close=23.64, volume=1290, vwap=23.5737, timestamp=1678701600000, transactions=16, otc=None)
Agg(open=23.85, high=23.85, low=23.5, close=23.59, volume=3314, vwap=23.5758, timestamp=1678705200000, transactions=37, otc=None)
Agg(open=23.52, high=24.11, low=23, close=23, volume=23479, vwap=23.1978, timestamp=1678708800000, transactions=235, otc=None)
Agg(open=23.01, high=23.9, low=22.63, close=23.75, volume=684006, vwap=23.216, timestamp=1678712400000, transactions=6671, otc=None)
Agg(open=23.75, high=24.19, low=23.43, close=24.1275, volume=849006, vwap=23.7535, timestamp=1678716000000, transactions=9187, otc=None)
Agg(open=24.135, high=24.71, low=24.05, close=24.44, volume=711230, vwap=24.4661, timestamp=1678719600000, transactions=8442, otc=None)
Agg(open=24.45, high=24.65, low=23.9542, close=24.02, volume=473016, vwap=24.2591, timestamp=1678723200000, transactions=5837, otc=None)
Agg(open=24.02, high=24.14, low=23.88, close=24.1, volume=387799, vwap=23.9994, timestamp=1678726800000, transactions=4959, otc=None)
Agg(open=24.11, high=24.44, low=24.08, close=24.4, volume=376768, vwap=24.2577, timestamp=1678730400000, transactions=5480, otc=None)
Agg(open=24.41, high=24.45, low=24.1234, close=24.24, volume=834905, vwap=24.2774, timestamp=1678734000000, transactions=10808, otc=None)
Agg(open=24.24, high=24.35, low=24.23, close=24.25, volume=50922, vwap=24.2402, timestamp=1678737600000, transactions=38, otc=None)
Agg(open=24.25, high=24.35, low=24.25, close=24.35, volume=698, vwap=24.2835, timestamp=1678744800000, transactions=10, otc=None)
Agg(open=24.35, high=24.35, low=24.33, close=24.35, volume=1198, vwap=24.3471, timestamp=1678748400000, transactions=9, otc=None)
Agg(open=24.2, high=24.2, low=24.2, close=24.2, volume=350, vwap=24.2034, timestamp=1678784400000, transactions=5, otc=None)
Agg(open=24.47, high=24.5, low=24.47, close=24.5, volume=1000, vwap=24.4889, timestamp=1678788000000, transactions=7, otc=None)
Agg(open=24.4, high=24.65, low=24.4, close=24.65, volume=2369, vwap=24.5288, timestamp=1678791600000, transactions=47, otc=None)
Agg(open=24.1315, high=24.926, low=24, close=24.926, volume=24055, vwap=24.6068, timestamp=1678795200000, transactions=161, otc=None)
Agg(open=24.92, high=25.23, low=24.6001, close=24.75, volume=298951, vwap=24.9608, timestamp=1678798800000, transactions=3364, otc=None)
Agg(open=24.745, high=24.8, low=24.4, close=24.4, volume=342001, vwap=24.6285, timestamp=1678802400000, transactions=4843, otc=None)
Agg(open=24.41, high=24.7199, low=24.4, close=24.46, volume=303266, vwap=24.5399, timestamp=1678806000000, transactions=3774, otc=None)
Agg(open=24.46, high=24.54, low=24.32, close=24.38, volume=257483, vwap=24.433, timestamp=1678809600000, transactions=3588, otc=None)
Agg(open=24.39, high=24.44, low=24.055, close=24.235, volume=407883, vwap=24.2804, timestamp=1678813200000, transactions=5503, otc=None)
