Agg(open=15.65, high=15.65, low=15.65, close=15.65, volume=1075, vwap=15.6467, timestamp=1698652800000, transactions=5, otc=None)
Agg(open=15.68, high=15.93, low=15.66, close=15.93, volume=600, vwap=15.7519, timestamp=1698656400000, transactions=8, otc=None)
Agg(open=15.7, high=15.7, low=15.7, close=15.7, volume=833, vwap=15.7, timestamp=1698663600000, transactions=10, otc=None)
Agg(open=15.57, high=15.85, low=15.57, close=15.61, volume=7591, vwap=15.7764, timestamp=1698667200000, transactions=73, otc=None)
Agg(open=15.71, high=15.91, low=15.365, close=15.43, volume=730886, vwap=15.6226, timestamp=1698670800000, transactions=4509, otc=None)
Agg(open=15.42, high=15.845, low=15.02, close=15.74, volume=2517267.0, vwap=15.391, timestamp=1698674400000, transactions=16705, otc=None)
Agg(open=15.75, high=16.04, low=15.75, close=15.94, volume=1457723.0, vwap=15.9241, timestamp=1698678000000, transactions=10672, otc=None)
Agg(open=15.938, high=16.12, low=15.8814, close=16.0675, volume=907965, vwap=16.0163, timestamp=1698681600000, transactions=7103, otc=None)
Agg(open=16.0625, high=16.22, low=16.04, close=16.135, volume=621975, vwap=16.1227, timestamp=1698685200000, transactions=5262, otc=None)
Agg(open=16.135, high=16.25, low=16.105, close=16.1502, volume=658356, vwap=16.1697, timestamp=1698688800000, transactions=6228, otc=None)
Agg(open=16.15, high=16.24, low=16.11, close=16.16, volume=1536730.0, vwap=16.1507, timestamp=1698692400000, transactions=12469, otc=None)
Agg(open=16.15, high=16.18, low=16.12, close=16.1696, volume=50205, vwap=16.1513, timestamp=1698696000000, transactions=93, otc=None)
Agg(open=16.1697, high=16.18, low=16.16, close=16.16, volume=1944, vwap=16.167, timestamp=1698699600000, transactions=16, otc=None)
Agg(open=16.16, high=16.16, low=16.14, close=16.14, volume=3093, vwap=16.1574, timestamp=1698703200000, transactions=12, otc=None)
Agg(open=16.16, high=16.16, low=16.1214, close=16.16, volume=7407, vwap=16.1385, timestamp=1698706800000, transactions=9, otc=None)
Agg(open=16.15, high=16.15, low=16.04, close=16.07, volume=1880, vwap=16.1142, timestamp=1698739200000, transactions=10, otc=None)
Agg(open=16.21, high=16.21, low=16.21, close=16.21, volume=245, vwap=16.1888, timestamp=1698746400000, transactions=3, otc=None)
Agg(open=16.26, high=16.26, low=16.25, close=16.25, volume=600, vwap=16.2535, timestamp=1698750000000, transactions=6, otc=None)
Agg(open=16.25, high=16.3394, low=16.03, close=16.03, volume=2317, vwap=16.2023, timestamp=1698753600000, transactions=100, otc=None)
Agg(open=16.12, high=16.46, low=16.12, close=16.28, volume=376728, vwap=16.3152, timestamp=1698757200000, transactions=2878, otc=None)
