Agg(open=17.88, high=18.12, low=17.3825, close=18.09, volume=106505, vwap=17.7116, timestamp=1698066000000, transactions=1531, otc=None)
Agg(open=18.08, high=18.49, low=18.04, close=18.4764, volume=118588, vwap=18.2088, timestamp=1698069600000, transactions=2170, otc=None)
Agg(open=18.48, high=18.585, low=18.35, close=18.35, volume=80634, vwap=18.4651, timestamp=1698073200000, transactions=1656, otc=None)
Agg(open=18.33, high=18.58, low=18.27, close=18.58, volume=68265, vwap=18.3839, timestamp=1698076800000, transactions=1401, otc=None)
Agg(open=18.59, high=18.6, low=18.3, close=18.31, volume=69973, vwap=18.4652, timestamp=1698080400000, transactions=1463, otc=None)
Agg(open=18.31, high=18.35, low=18.26, close=18.305, volume=49475, vwap=18.3084, timestamp=1698084000000, transactions=1289, otc=None)
Agg(open=18.31, high=18.32, low=18.05, close=18.06, volume=228156, vwap=18.1322, timestamp=1698087600000, transactions=3728, otc=None)
Agg(open=18.06, high=18.06, low=18.06, close=18.06, volume=27185, vwap=18.06, timestamp=1698091200000, transactions=18, otc=None)
Agg(open=18.35, high=18.94, low=18.35, close=18.91, volume=74782, vwap=18.7336, timestamp=1698152400000, transactions=1106, otc=None)
Agg(open=18.91, high=19.09, low=18.769, close=19.04, volume=104974, vwap=18.9456, timestamp=1698156000000, transactions=2037, otc=None)
Agg(open=19.08, high=19.13, low=18.58, close=18.58, volume=123430, vwap=18.8058, timestamp=1698159600000, transactions=1904, otc=None)
Agg(open=18.57, high=18.65, low=18.45, close=18.51, volume=54375, vwap=18.5255, timestamp=1698163200000, transactions=1253, otc=None)
Agg(open=18.5, high=18.58, low=18.46, close=18.5, volume=43884, vwap=18.5238, timestamp=1698166800000, transactions=1011, otc=None)
Agg(open=18.49, high=18.67, low=18.49, close=18.625, volume=46588, vwap=18.6035, timestamp=1698170400000, transactions=1236, otc=None)
Agg(open=18.62, high=18.69, low=18.54, close=18.551, volume=173228, vwap=18.5871, timestamp=1698174000000, transactions=3172, otc=None)
Agg(open=18.55, high=18.55, low=18.55, close=18.55, volume=19300, vwap=18.55, timestamp=1698177600000, transactions=18, otc=None)
Agg(open=18.43, high=18.68, low=18.33, close=18.61, volume=53543, vwap=18.4943, timestamp=1698238800000, transactions=865, otc=None)
Agg(open=18.565, high=18.595, low=18.26, close=18.43, volume=78128, vwap=18.3805, timestamp=1698242400000, transactions=1860, otc=None)
Agg(open=18.425, high=18.51, low=18.18, close=18.32, volume=70411, vwap=18.333, timestamp=1698246000000, transactions=1529, otc=None)
Agg(open=18.3, high=18.38, low=18.14, close=18.14, volume=76189, vwap=18.2614, timestamp=1698249600000, transactions=1766, otc=None)
Agg(open=18.144, high=18.22, low=18.06, close=18.16, volume=70246, vwap=18.1529, timestamp=1698253200000, transactions=1721, otc=None)
Agg(open=18.16, high=18.16, low=18.02, close=18.04, volume=66129, vwap=18.0837, timestamp=1698256800000, transactions=1318, otc=None)
Agg(open=18.045, high=18.175, low=18, close=18.04, volume=221222, vwap=18.0934, timestamp=1698260400000, transactions=3718, otc=None)
Agg(open=18.04, high=18.04, low=18.04, close=18.04, volume=32806, vwap=18.04, timestamp=1698264000000, transactions=17, otc=None)
Agg(open=18.12, high=18.3, low=17.97, close=18.2, volume=60565, vwap=18.1146, timestamp=1698325200000, transactions=1068, otc=None)
Agg(open=18.21, high=18.64, low=18.09, close=18.59, volume=117922, vwap=18.3487, timestamp=1698328800000, transactions=2507, otc=None)
Agg(open=18.584, high=18.66, low=18.46, close=18.47, volume=72268, vwap=18.5478, timestamp=1698332400000, transactions=1585, otc=None)
Agg(open=18.44, high=18.44, low=18.09, close=18.1, volume=42218, vwap=18.2169, timestamp=1698336000000, transactions=1193, otc=None)
Agg(open=18.08, high=18.24, low=18.08, close=18.23, volume=36494, vwap=18.1637, timestamp=1698339600000, transactions=1001, otc=None)
Agg(open=18.235, high=18.34, low=18.15, close=18.33, volume=99755, vwap=18.2395, timestamp=1698343200000, transactions=2322, otc=None)
Agg(open=18.325, high=18.375, low=18.17, close=18.27, volume=240527, vwap=18.2389, timestamp=1698346800000, transactions=4279, otc=None)
Agg(open=18.25, high=18.25, low=18.25, close=18.25, volume=25364, vwap=18.25, timestamp=1698350400000, transactions=24, otc=None)
Agg(open=18.13, high=18.53, low=17.76, close=17.76, volume=62742, vwap=18.0533, timestamp=1698411600000, transactions=1076, otc=None)
Agg(open=17.785, high=18.02, low=17.59, close=17.97, volume=120776, vwap=17.8777, timestamp=1698415200000, transactions=2596, otc=None)
Agg(open=17.99, high=18.05, low=17.77, close=17.77, volume=62945, vwap=17.9421, timestamp=1698418800000, transactions=1519, otc=None)
Agg(open=17.77, high=17.77, low=17.66, close=17.68, volume=37714, vwap=17.7237, timestamp=1698422400000, transactions=881, otc=None)
Agg(open=17.69, high=17.72, low=17.55, close=17.71, volume=63522, vwap=17.639, timestamp=1698426000000, transactions=1400, otc=None)
Agg(open=17.695, high=17.79, low=17.64, close=17.71, volume=92648, vwap=17.7252, timestamp=1698429600000, transactions=2021, otc=None)
Agg(open=17.7, high=17.81, low=17.605, close=17.81, volume=286737, vwap=17.72, timestamp=1698433200000, transactions=4329, otc=None)
Agg(open=17.8, high=17.8, low=17.8, close=17.8, volume=12986, vwap=17.8, timestamp=1698436800000, transactions=23, otc=None)
