Agg(open=16, high=16.06, low=15.95, close=15.955, volume=51829, vwap=16.0003, timestamp=1684155600000, transactions=373, otc=None)
Agg(open=15.955, high=16.04, low=15.945, close=16.04, volume=65920, vwap=16.0046, timestamp=1684159200000, transactions=947, otc=None)
Agg(open=16.03, high=16.095, low=16.02, close=16.09, volume=98615, vwap=16.0602, timestamp=1684162800000, transactions=986, otc=None)
Agg(open=16.09, high=16.1, low=16.075, close=16.1, volume=62129, vwap=16.0918, timestamp=1684166400000, transactions=728, otc=None)
Agg(open=16.095, high=16.24, low=16.09, close=16.17, volume=102405, vwap=16.1764, timestamp=1684170000000, transactions=1159, otc=None)
Agg(open=16.165, high=16.17, low=16.11, close=16.14, volume=80779, vwap=16.133, timestamp=1684173600000, transactions=1009, otc=None)
Agg(open=16.14, high=16.15, low=16.09, close=16.1, volume=253030, vwap=16.1256, timestamp=1684177200000, transactions=2456, otc=None)
Agg(open=16.1, high=16.1, low=16.1, close=16.1, volume=2618, vwap=16.1, timestamp=1684180800000, transactions=13, otc=None)
Agg(open=15.96, high=16.14, low=15.76, close=15.76, volume=145096, vwap=15.8893, timestamp=1684242000000, transactions=748, otc=None)
Agg(open=15.765, high=15.915, low=15.76, close=15.83, volume=195236, vwap=15.8177, timestamp=1684245600000, transactions=1296, otc=None)
Agg(open=15.835, high=15.87, low=15.76, close=15.79, volume=132347, vwap=15.819, timestamp=1684249200000, transactions=920, otc=None)
Agg(open=15.795, high=15.81, low=15.745, close=15.81, volume=57128, vwap=15.7804, timestamp=1684252800000, transactions=625, otc=None)
Agg(open=15.8, high=15.95, low=15.8, close=15.91, volume=133812, vwap=15.8519, timestamp=1684256400000, transactions=1073, otc=None)
Agg(open=15.905, high=15.95, low=15.86, close=15.915, volume=146367, vwap=15.8997, timestamp=1684260000000, transactions=1240, otc=None)
Agg(open=15.915, high=16, low=15.9, close=15.9, volume=415598, vwap=15.9467, timestamp=1684263600000, transactions=3614, otc=None)
Agg(open=15.93, high=15.93, low=15.93, close=15.93, volume=4206, vwap=15.93, timestamp=1684267200000, transactions=8, otc=None)
Agg(open=16.08, high=16.1, low=16.08, close=16.1, volume=400, vwap=16.095, timestamp=1684321200000, transactions=2, otc=None)
Agg(open=16.5, high=16.5, low=16.1, close=16.1, volume=3750, vwap=16.1854, timestamp=1684324800000, transactions=4, otc=None)
Agg(open=16.1, high=16.1, low=16, close=16.05, volume=115150, vwap=16.0365, timestamp=1684328400000, transactions=944, otc=None)
Agg(open=16.055, high=16.22, low=16.005, close=16.1408, volume=285899, vwap=16.1086, timestamp=1684332000000, transactions=2388, otc=None)
Agg(open=16.14, high=16.27, low=16.115, close=16.2075, volume=321979, vwap=16.1694, timestamp=1684335600000, transactions=1984, otc=None)
Agg(open=16.21, high=16.22, low=16.18, close=16.205, volume=166013, vwap=16.1992, timestamp=1684339200000, transactions=1405, otc=None)
Agg(open=16.21, high=16.3, low=16.19, close=16.3, volume=187083, vwap=16.2486, timestamp=1684342800000, transactions=1191, otc=None)
Agg(open=16.3, high=16.31, low=16.215, close=16.255, volume=161372, vwap=16.2521, timestamp=1684346400000, transactions=1273, otc=None)
Agg(open=16.26, high=16.335, low=16.2, close=16.28, volume=581932, vwap=16.2515, timestamp=1684350000000, transactions=5238, otc=None)
Agg(open=16.28, high=16.28, low=16.28, close=16.28, volume=4138, vwap=16.28, timestamp=1684353600000, transactions=6, otc=None)
Agg(open=16.24, high=16.305, low=16.23, close=16.3, volume=29383, vwap=16.2713, timestamp=1684414800000, transactions=253, otc=None)
Agg(open=16.315, high=16.535, low=16.315, close=16.52, volume=113276, vwap=16.4496, timestamp=1684418400000, transactions=1141, otc=None)
Agg(open=16.52, high=16.645, low=16.52, close=16.53, volume=99102, vwap=16.5818, timestamp=1684422000000, transactions=1077, otc=None)
Agg(open=16.53, high=16.53, low=16.445, close=16.465, volume=71027, vwap=16.4797, timestamp=1684425600000, transactions=749, otc=None)
Agg(open=16.47, high=16.515, low=16.39, close=16.39, volume=225552, vwap=16.4684, timestamp=1684429200000, transactions=1210, otc=None)
Agg(open=16.39, high=16.415, low=16.305, close=16.365, volume=129769, vwap=16.3689, timestamp=1684432800000, transactions=1357, otc=None)
Agg(open=16.366, high=16.495, low=16.355, close=16.38, volume=321595, vwap=16.4185, timestamp=1684436400000, transactions=3020, otc=None)
Agg(open=16.37, high=16.37, low=16.37, close=16.37, volume=6667, vwap=16.37, timestamp=1684440000000, transactions=10, otc=None)
Agg(open=16.54, high=16.55, low=16.35, close=16.35, volume=154346, vwap=16.5001, timestamp=1684501200000, transactions=687, otc=None)
Agg(open=16.355, high=16.4171, low=16.34, close=16.3799, volume=91349, vwap=16.3884, timestamp=1684504800000, transactions=910, otc=None)
Agg(open=16.37, high=16.43, low=16.36, close=16.41, volume=142721, vwap=16.3921, timestamp=1684508400000, transactions=1160, otc=None)
Agg(open=16.4, high=16.455, low=16.39, close=16.455, volume=38470, vwap=16.4156, timestamp=1684512000000, transactions=463, otc=None)
Agg(open=16.455, high=16.53, low=16.375, close=16.405, volume=146470, vwap=16.4385, timestamp=1684515600000, transactions=1056, otc=None)
Agg(open=16.405, high=16.405, low=16.33, close=16.3445, volume=135195, vwap=16.384, timestamp=1684519200000, transactions=997, otc=None)
Agg(open=16.34, high=16.35, low=16.085, close=16.18, volume=474701, vwap=16.1853, timestamp=1684522800000, transactions=3852, otc=None)
Agg(open=16.18, high=16.18, low=16.18, close=16.18, volume=3354, vwap=16.18, timestamp=1684526400000, transactions=6, otc=None)
