Agg(open=17.07, high=17.07, low=17.07, close=17.07, volume=100, vwap=17.07, timestamp=1692014400000, transactions=1, otc=None)
Agg(open=16.98, high=17.08, low=16.885, close=16.93, volume=261997, vwap=16.9675, timestamp=1692018000000, transactions=1165, otc=None)
Agg(open=16.935, high=16.99, low=16.91, close=16.97, volume=157934, vwap=16.9574, timestamp=1692021600000, transactions=1993, otc=None)
Agg(open=16.97, high=16.99, low=16.94, close=16.975, volume=155524, vwap=16.9635, timestamp=1692025200000, transactions=1859, otc=None)
Agg(open=16.975, high=17.015, low=16.92, close=17.015, volume=145308, vwap=16.963, timestamp=1692028800000, transactions=1596, otc=None)
Agg(open=17.01, high=17.02, low=16.96, close=16.965, volume=100992, vwap=16.9992, timestamp=1692032400000, transactions=1372, otc=None)
Agg(open=16.965, high=16.99, low=16.93, close=16.955, volume=162229, vwap=16.9605, timestamp=1692036000000, transactions=1969, otc=None)
Agg(open=16.955, high=17.02, low=16.95, close=17.01, volume=576975, vwap=16.9855, timestamp=1692039600000, transactions=3840, otc=None)
Agg(open=16.86, high=16.91, low=16.76, close=16.85, volume=141969, vwap=16.8338, timestamp=1692104400000, transactions=1476, otc=None)
Agg(open=16.85, high=16.87, low=16.82, close=16.865, volume=156778, vwap=16.8464, timestamp=1692108000000, transactions=1698, otc=None)
Agg(open=16.865, high=16.88, low=16.85, close=16.855, volume=89020, vwap=16.8611, timestamp=1692111600000, transactions=1345, otc=None)
Agg(open=16.855, high=16.86, low=16.85, close=16.855, volume=73799, vwap=16.8518, timestamp=1692115200000, transactions=1314, otc=None)
Agg(open=16.85, high=16.87, low=16.85, close=16.865, volume=172410, vwap=16.8606, timestamp=1692118800000, transactions=1746, otc=None)
Agg(open=16.86, high=16.915, low=16.86, close=16.87, volume=125268, vwap=16.8893, timestamp=1692122400000, transactions=1823, otc=None)
Agg(open=16.87, high=16.968, low=16.85, close=16.93, volume=458121, vwap=16.913, timestamp=1692126000000, transactions=3984, otc=None)
Agg(open=16.92, high=16.92, low=16.92, close=16.92, volume=18783, vwap=16.92, timestamp=1692129600000, transactions=14, otc=None)
Agg(open=16.89, high=17.06, low=16.89, close=16.955, volume=118351, vwap=16.9943, timestamp=1692190800000, transactions=1117, otc=None)
Agg(open=16.96, high=16.985, low=16.92, close=16.955, volume=146225, vwap=16.9482, timestamp=1692194400000, transactions=1654, otc=None)
Agg(open=16.95, high=16.955, low=16.88, close=16.885, volume=122872, vwap=16.9204, timestamp=1692198000000, transactions=1258, otc=None)
Agg(open=16.885, high=16.9, low=16.83, close=16.835, volume=167407, vwap=16.8693, timestamp=1692201600000, transactions=1311, otc=None)
Agg(open=16.835, high=16.87, low=16.81, close=16.865, volume=231777, vwap=16.8378, timestamp=1692205200000, transactions=1508, otc=None)
Agg(open=16.865, high=16.91, low=16.85, close=16.865, volume=225571, vwap=16.8806, timestamp=1692208800000, transactions=1635, otc=None)
Agg(open=16.86, high=16.87, low=16.76, close=16.775, volume=611732, vwap=16.8115, timestamp=1692212400000, transactions=3830, otc=None)
Agg(open=16.78, high=16.78, low=16.78, close=16.78, volume=8520, vwap=16.78, timestamp=1692216000000, transactions=8, otc=None)
Agg(open=16.76, high=16.84, low=16.64, close=16.655, volume=148801, vwap=16.7221, timestamp=1692277200000, transactions=1018, otc=None)
Agg(open=16.655, high=16.82, low=16.645, close=16.695, volume=225786, vwap=16.7339, timestamp=1692280800000, transactions=2113, otc=None)
Agg(open=16.695, high=16.7, low=16.63, close=16.665, volume=150161, vwap=16.6632, timestamp=1692284400000, transactions=1482, otc=None)
Agg(open=16.67, high=16.71, low=16.65, close=16.675, volume=139861, vwap=16.6838, timestamp=1692288000000, transactions=1477, otc=None)
Agg(open=16.67, high=16.705, low=16.64, close=16.7, volume=153603, vwap=16.6569, timestamp=1692291600000, transactions=1551, otc=None)
Agg(open=16.705, high=16.715, low=16.645, close=16.66, volume=292371, vwap=16.6908, timestamp=1692295200000, transactions=1987, otc=None)
Agg(open=16.655, high=16.6647, low=16.55, close=16.555, volume=718103, vwap=16.6028, timestamp=1692298800000, transactions=5338, otc=None)
Agg(open=16.55, high=16.75, low=16.55, close=16.75, volume=25744, vwap=16.5546, timestamp=1692302400000, transactions=13, otc=None)
Agg(open=16.75, high=16.75, low=16.65, close=16.65, volume=1668, vwap=16.7314, timestamp=1692306000000, transactions=7, otc=None)
Agg(open=16.53, high=16.53, low=16.53, close=16.53, volume=100, vwap=16.53, timestamp=1692313200000, transactions=1, otc=None)
Agg(open=16.5, high=16.5, low=16.5, close=16.5, volume=250, vwap=16.502, timestamp=1692360000000, transactions=2, otc=None)
Agg(open=16.5, high=16.75, low=16.5, close=16.665, volume=210977, vwap=16.6243, timestamp=1692363600000, transactions=1607, otc=None)
Agg(open=16.66, high=16.665, low=16.58, close=16.64, volume=165514, vwap=16.6241, timestamp=1692367200000, transactions=2080, otc=None)
Agg(open=16.64, high=16.695, low=16.61, close=16.625, volume=124526, vwap=16.6537, timestamp=1692370800000, transactions=1732, otc=None)
Agg(open=16.625, high=16.63, low=16.56, close=16.6, volume=147831, vwap=16.592, timestamp=1692374400000, transactions=1841, otc=None)
Agg(open=16.595, high=16.5975, low=16.55, close=16.565, volume=171959, vwap=16.5672, timestamp=1692378000000, transactions=1758, otc=None)
Agg(open=16.56, high=16.57, low=16.48, close=16.485, volume=166476, vwap=16.5173, timestamp=1692381600000, transactions=1929, otc=None)
Agg(open=16.48, high=16.485, low=16.42, close=16.45, volume=611285, vwap=16.4493, timestamp=1692385200000, transactions=5161, otc=None)
Agg(open=16.45, high=16.45, low=16.45, close=16.45, volume=34306, vwap=16.45, timestamp=1692388800000, transactions=12, otc=None)
Agg(open=16.58, high=16.75, low=16.58, close=16.75, volume=900, vwap=16.5987, timestamp=1692392400000, transactions=4, otc=None)
