Agg(open=27.61, high=27.75, low=27.61, close=27.75, volume=1909, vwap=27.7438, timestamp=1686571200000, transactions=19, otc=None)
Agg(open=27.86, high=28.1244, low=27.07, close=27.36, volume=285020, vwap=27.4759, timestamp=1686574800000, transactions=3223, otc=None)
Agg(open=27.355, high=27.66, low=27.03, close=27.19, volume=342045, vwap=27.3758, timestamp=1686578400000, transactions=5524, otc=None)
Agg(open=27.195, high=27.39, low=26.37, close=26.59, volume=623602, vwap=26.7429, timestamp=1686582000000, transactions=8037, otc=None)
Agg(open=26.6, high=26.78, low=26.33, close=26.515, volume=262645, vwap=26.5216, timestamp=1686585600000, transactions=4348, otc=None)
Agg(open=26.5295, high=26.63, low=26.17, close=26.39, volume=313818, vwap=26.3593, timestamp=1686589200000, transactions=3684, otc=None)
Agg(open=26.4, high=26.62, low=26.37, close=26.455, volume=249839, vwap=26.5031, timestamp=1686592800000, transactions=3747, otc=None)
Agg(open=26.45, high=26.5799, low=26.14, close=26.21, volume=706071, vwap=26.2729, timestamp=1686596400000, transactions=8935, otc=None)
Agg(open=26.2, high=26.6, low=26.2, close=26.596, volume=131298, vwap=26.2022, timestamp=1686600000000, transactions=24, otc=None)
Agg(open=26.4, high=26.55, low=26.4, close=26.55, volume=3401, vwap=26.462, timestamp=1686603600000, transactions=11, otc=None)
Agg(open=26.55, high=26.55, low=26.4, close=26.54, volume=757, vwap=26.4998, timestamp=1686607200000, transactions=6, otc=None)
Agg(open=26.49, high=26.49, low=26.49, close=26.49, volume=115, vwap=26.4639, timestamp=1686610800000, transactions=2, otc=None)
Agg(open=26.55, high=26.55, low=26.55, close=26.55, volume=160, vwap=26.5344, timestamp=1686654000000, transactions=3, otc=None)
Agg(open=26.25, high=26.25, low=26.2, close=26.2, volume=375, vwap=26.2174, timestamp=1686657600000, transactions=3, otc=None)
Agg(open=26.25, high=27.83, low=26.25, close=27.09, volume=535897, vwap=27.2551, timestamp=1686661200000, transactions=5124, otc=None)
