Agg(open=7, high=7, low=6.89, close=6.89, volume=1021, vwap=6.9208, timestamp=1698663600000, transactions=11, otc=None)
Agg(open=6.92, high=7.06, low=6.92, close=7.06, volume=12864, vwap=7.0167, timestamp=1698667200000, transactions=20, otc=None)
Agg(open=7.06, high=7.53, low=6.98, close=7.5, volume=520806, vwap=7.3349, timestamp=1698670800000, transactions=3803, otc=None)
Agg(open=7.5099, high=7.7499, low=7.425, close=7.7, volume=845028, vwap=7.5905, timestamp=1698674400000, transactions=6840, otc=None)
Agg(open=7.705, high=7.9399, low=7.7, close=7.875, volume=751404, vwap=7.8367, timestamp=1698678000000, transactions=5557, otc=None)
Agg(open=7.875, high=7.875, low=7.635, close=7.735, volume=676684, vwap=7.7502, timestamp=1698681600000, transactions=4921, otc=None)
Agg(open=7.74, high=7.745, low=7.48, close=7.4801, volume=594011, vwap=7.5958, timestamp=1698685200000, transactions=5118, otc=None)
Agg(open=7.4801, high=7.68, low=7.455, close=7.545, volume=792144, vwap=7.5601, timestamp=1698688800000, transactions=5076, otc=None)
Agg(open=7.55, high=7.565, low=7.355, close=7.385, volume=1703109.0, vwap=7.4366, timestamp=1698692400000, transactions=10609, otc=None)
Agg(open=7.39, high=7.5, low=7.39, close=7.47, volume=49621, vwap=7.397, timestamp=1698696000000, transactions=34, otc=None)
Agg(open=7.53, high=7.53, low=7.53, close=7.53, volume=101, vwap=7.5293, timestamp=1698699600000, transactions=2, otc=None)
Agg(open=7.54, high=7.54, low=7.54, close=7.54, volume=575, vwap=7.54, timestamp=1698706800000, transactions=3, otc=None)
Agg(open=7.8771, high=7.8771, low=7.4, close=7.4, volume=1981, vwap=7.7239, timestamp=1698753600000, transactions=7, otc=None)
Agg(open=7.42, high=7.62, low=7.17, close=7.605, volume=814694, vwap=7.4728, timestamp=1698757200000, transactions=5773, otc=None)
Agg(open=7.6039, high=7.83, low=7.55, close=7.775, volume=1381626.0, vwap=7.7076, timestamp=1698760800000, transactions=10712, otc=None)
Agg(open=7.78, high=7.8178, low=7.64, close=7.81, volume=885993, vwap=7.7184, timestamp=1698764400000, transactions=5920, otc=None)
Agg(open=7.81, high=7.835, low=7.75, close=7.825, volume=423184, vwap=7.7958, timestamp=1698768000000, transactions=3703, otc=None)
Agg(open=7.825, high=7.86, low=7.775, close=7.825, volume=468677, vwap=7.8185, timestamp=1698771600000, transactions=4031, otc=None)
Agg(open=7.83, high=7.84, low=7.745, close=7.79, volume=614314, vwap=7.8062, timestamp=1698775200000, transactions=5143, otc=None)
Agg(open=7.795, high=7.83, low=7.72, close=7.74, volume=1422061.0, vwap=7.7604, timestamp=1698778800000, transactions=9783, otc=None)
Agg(open=7.73, high=7.86, low=7.73, close=7.86, volume=40087, vwap=7.7313, timestamp=1698782400000, transactions=34, otc=None)
Agg(open=7.85, high=7.94, low=7.85, close=7.9001, volume=12836, vwap=7.9276, timestamp=1698786000000, transactions=9, otc=None)
Agg(open=7.94, high=7.94, low=7.932, close=7.932, volume=10146, vwap=7.9399, timestamp=1698789600000, transactions=11, otc=None)
Agg(open=7.94, high=7.94, low=7.88, close=7.88, volume=850, vwap=7.9082, timestamp=1698793200000, transactions=3, otc=None)
Agg(open=7.89, high=9.95, low=7.89, close=9.1, volume=249265, vwap=9.095, timestamp=1698836400000, transactions=2591, otc=None)
Agg(open=9.25, high=9.9, low=7.8007, close=9.68, volume=848262, vwap=9.2328, timestamp=1698840000000, transactions=5566, otc=None)
Agg(open=9.68, high=11.44, low=9.34, close=9.6531, volume=18600235.0, vwap=10.3128, timestamp=1698843600000, transactions=111593, otc=None)
Agg(open=9.66, high=10.23, low=9.35, close=9.9801, volume=10237452.0, vwap=9.8529, timestamp=1698847200000, transactions=51447, otc=None)
Agg(open=9.989, high=10.555, low=9.989, close=10.175, volume=7377947.0, vwap=10.2995, timestamp=1698850800000, transactions=39182, otc=None)
Agg(open=10.175, high=10.37, low=9.87, close=9.99, volume=3150929.0, vwap=10.1258, timestamp=1698854400000, transactions=19103, otc=None)
Agg(open=9.99, high=10.31, low=9.97, close=10.08, volume=2805214.0, vwap=10.1406, timestamp=1698858000000, transactions=15855, otc=None)
Agg(open=10.08, high=10.26, low=9.92, close=10.095, volume=2454765.0, vwap=10.1026, timestamp=1698861600000, transactions=15483, otc=None)
Agg(open=10.091, high=10.25, low=10.035, close=10.11, volume=4358911.0, vwap=10.1576, timestamp=1698865200000, transactions=24527, otc=None)
Agg(open=10.12, high=10.28, low=10.11, close=10.12, volume=101490, vwap=10.1388, timestamp=1698868800000, transactions=227, otc=None)
Agg(open=10.11, high=10.1899, low=10.05, close=10.1601, volume=31807, vwap=10.1115, timestamp=1698872400000, transactions=148, otc=None)
Agg(open=10.18, high=10.2, low=10.1, close=10.18, volume=12351, vwap=10.1667, timestamp=1698876000000, transactions=37, otc=None)
Agg(open=10.19, high=10.2399, low=10.09, close=10.09, volume=14367, vwap=10.1632, timestamp=1698879600000, transactions=76, otc=None)
Agg(open=10.12, high=10.12, low=10.02, close=10.02, volume=1486, vwap=10.0581, timestamp=1698912000000, transactions=31, otc=None)
Agg(open=10.07, high=10.07, low=10.01, close=10.05, volume=1495, vwap=10.0388, timestamp=1698915600000, transactions=19, otc=None)
Agg(open=10.02, high=10.05, low=10, close=10.01, volume=2043, vwap=10.0184, timestamp=1698919200000, transactions=30, otc=None)
Agg(open=10, high=10.17, low=10, close=10.1, volume=3571, vwap=10.1117, timestamp=1698922800000, transactions=48, otc=None)
Agg(open=10.16, high=10.16, low=9.95, close=9.95, volume=35408, vwap=10.0568, timestamp=1698926400000, transactions=344, otc=None)
Agg(open=9.98, high=10.99, low=9.87, close=10.88, volume=2435063.0, vwap=10.5788, timestamp=1698930000000, transactions=15721, otc=None)
Agg(open=10.885, high=11.24, low=10.74, close=10.975, volume=4341150.0, vwap=10.9665, timestamp=1698933600000, transactions=25127, otc=None)
Agg(open=10.977, high=11, low=10.51, close=10.665, volume=2480604.0, vwap=10.6969, timestamp=1698937200000, transactions=17055, otc=None)
Agg(open=10.66, high=10.84, low=10.63, close=10.665, volume=1305428.0, vwap=10.7231, timestamp=1698940800000, transactions=10358, otc=None)
Agg(open=10.665, high=10.71, low=10.595, close=10.675, volume=1141681.0, vwap=10.6594, timestamp=1698944400000, transactions=8870, otc=None)
Agg(open=10.675, high=10.69, low=10.395, close=10.44, volume=1477409.0, vwap=10.5534, timestamp=1698948000000, transactions=11818, otc=None)
Agg(open=10.44, high=10.6, low=10.37, close=10.4, volume=2554038.0, vwap=10.4623, timestamp=1698951600000, transactions=17827, otc=None)
Agg(open=10.41, high=10.52, low=10.41, close=10.42, volume=228999, vwap=10.4104, timestamp=1698955200000, transactions=52, otc=None)
Agg(open=10.49, high=10.53, low=10.49, close=10.53, volume=2051, vwap=10.5105, timestamp=1698958800000, transactions=6, otc=None)
Agg(open=10.5, high=10.5, low=10.42, close=10.43, volume=4886, vwap=10.4627, timestamp=1698962400000, transactions=14, otc=None)
Agg(open=10.45, high=10.45, low=10.42, close=10.42, volume=1244, vwap=10.4321, timestamp=1698966000000, transactions=5, otc=None)
Agg(open=10.35, high=10.37, low=10.35, close=10.37, volume=237, vwap=10.3607, timestamp=1698998400000, transactions=3, otc=None)
Agg(open=10.37, high=10.38, low=10.37, close=10.38, volume=442, vwap=10.3736, timestamp=1699009200000, transactions=6, otc=None)
Agg(open=10.4895, high=10.63, low=10.37, close=10.55, volume=22313, vwap=10.496, timestamp=1699012800000, transactions=88, otc=None)
Agg(open=10.52, high=10.9, low=10.5, close=10.79, volume=1101885.0, vwap=10.7222, timestamp=1699016400000, transactions=6968, otc=None)
Agg(open=10.8, high=11.35, low=10.76, close=11.305, volume=3369974.0, vwap=11.0283, timestamp=1699020000000, transactions=19975, otc=None)
Agg(open=11.31, high=11.56, low=11.2401, close=11.315, volume=2615541.0, vwap=11.3948, timestamp=1699023600000, transactions=18282, otc=None)
Agg(open=11.3186, high=11.37, low=11.075, close=11.09, volume=1509953.0, vwap=11.2175, timestamp=1699027200000, transactions=10332, otc=None)
Agg(open=11.095, high=11.225, low=11.05, close=11.19, volume=1146159.0, vwap=11.149, timestamp=1699030800000, transactions=8320, otc=None)
Agg(open=11.185, high=11.36, low=11.185, close=11.305, volume=1156347.0, vwap=11.2957, timestamp=1699034400000, transactions=8402, otc=None)
Agg(open=11.3, high=11.32, low=11.035, close=11.05, volume=2204182.0, vwap=11.1441, timestamp=1699038000000, transactions=15467, otc=None)
Agg(open=11.06, high=11.09, low=11.02, close=11.06, volume=34860, vwap=11.0598, timestamp=1699041600000, transactions=27, otc=None)
Agg(open=11.02, high=11.06, low=11.02, close=11.06, volume=1346, vwap=11.0382, timestamp=1699045200000, transactions=12, otc=None)
Agg(open=11.16, high=11.16, low=11.1598, close=11.1598, volume=600, vwap=11.1598, timestamp=1699048800000, transactions=2, otc=None)
Agg(open=11.15, high=11.15, low=11.15, close=11.15, volume=100, vwap=11.15, timestamp=1699052400000, transactions=1, otc=None)
