Agg(open=6.3, high=6.3, low=6.3, close=6.3, volume=337, vwap=6.3003, timestamp=1696838400000, transactions=3, otc=None)
Agg(open=6.34, high=6.34, low=6.34, close=6.34, volume=115, vwap=6.3421, timestamp=1696842000000, transactions=3, otc=None)
Agg(open=6.36, high=6.36, low=6.36, close=6.36, volume=877, vwap=6.3601, timestamp=1696852800000, transactions=3, otc=None)
Agg(open=6.35, high=6.4, low=6.31, close=6.375, volume=651247, vwap=6.3548, timestamp=1696856400000, transactions=3642, otc=None)
Agg(open=6.375, high=6.41, low=6.34, close=6.34, volume=344489, vwap=6.3808, timestamp=1696860000000, transactions=2140, otc=None)
Agg(open=6.345, high=6.395, low=6.33, close=6.34, volume=522335, vwap=6.3585, timestamp=1696863600000, transactions=2122, otc=None)
Agg(open=6.34, high=6.35, low=6.34, close=6.34, volume=88702, vwap=6.3463, timestamp=1696867200000, transactions=793, otc=None)
Agg(open=6.34, high=6.36, low=6.34, close=6.345, volume=145239, vwap=6.3496, timestamp=1696870800000, transactions=937, otc=None)
Agg(open=6.345, high=6.39, low=6.34, close=6.385, volume=495378, vwap=6.3606, timestamp=1696874400000, transactions=1620, otc=None)
Agg(open=6.385, high=6.39, low=6.355, close=6.385, volume=593753, vwap=6.3845, timestamp=1696878000000, transactions=4192, otc=None)
Agg(open=6.38, high=6.39, low=6.38, close=6.38, volume=17035, vwap=6.3801, timestamp=1696881600000, transactions=9, otc=None)
Agg(open=6.4, high=6.45, low=6.4, close=6.45, volume=3045, vwap=6.4104, timestamp=1696924800000, transactions=9, otc=None)
Agg(open=6.45, high=6.52, low=6.45, close=6.52, volume=20013, vwap=6.5132, timestamp=1696935600000, transactions=34, otc=None)
Agg(open=6.45, high=6.48, low=6.44, close=6.44, volume=2477, vwap=6.4507, timestamp=1696939200000, transactions=7, otc=None)
Agg(open=6.45, high=6.61, low=6.45, close=6.61, volume=480407, vwap=6.5602, timestamp=1696942800000, transactions=2414, otc=None)
Agg(open=6.61, high=6.72, low=6.6011, close=6.7025, volume=1550370.0, vwap=6.6895, timestamp=1696946400000, transactions=5361, otc=None)
Agg(open=6.7092, high=6.76, low=6.7, close=6.75, volume=767517, vwap=6.7389, timestamp=1696950000000, transactions=2881, otc=None)
Agg(open=6.75, high=6.75, low=6.7, close=6.71, volume=591597, vwap=6.7339, timestamp=1696953600000, transactions=2143, otc=None)
Agg(open=6.705, high=6.74, low=6.69, close=6.735, volume=584155, vwap=6.7201, timestamp=1696957200000, transactions=2170, otc=None)
Agg(open=6.735, high=6.74, low=6.7, close=6.705, volume=664109, vwap=6.7196, timestamp=1696960800000, transactions=2749, otc=None)
Agg(open=6.705, high=6.72, low=6.68, close=6.685, volume=1415378.0, vwap=6.6934, timestamp=1696964400000, transactions=7531, otc=None)
Agg(open=6.68, high=6.68, low=6.68, close=6.68, volume=40384, vwap=6.68, timestamp=1696968000000, transactions=8, otc=None)
Agg(open=6.7, high=6.7, low=6.63, close=6.63, volume=1923, vwap=6.6477, timestamp=1696978800000, transactions=5, otc=None)
Agg(open=6.68, high=6.77, low=6.68, close=6.77, volume=3701, vwap=6.7487, timestamp=1697025600000, transactions=15, otc=None)
Agg(open=6.78, high=6.93, low=6.77, close=6.895, volume=1656127.0, vwap=6.8755, timestamp=1697029200000, transactions=5779, otc=None)
Agg(open=6.89, high=6.92, low=6.83, close=6.845, volume=1299748.0, vwap=6.8659, timestamp=1697032800000, transactions=5381, otc=None)
Agg(open=6.845, high=6.87, low=6.8, close=6.82, volume=1505047.0, vwap=6.8332, timestamp=1697036400000, transactions=6618, otc=None)
Agg(open=6.825, high=6.825, low=6.79, close=6.805, volume=821448, vwap=6.8053, timestamp=1697040000000, transactions=3244, otc=None)
Agg(open=6.805, high=6.81, low=6.79, close=6.8, volume=543804, vwap=6.8003, timestamp=1697043600000, transactions=2330, otc=None)
Agg(open=6.805, high=6.81, low=6.79, close=6.8, volume=449279, vwap=6.8009, timestamp=1697047200000, transactions=2140, otc=None)
Agg(open=6.805, high=6.81, low=6.78, close=6.795, volume=1670547.0, vwap=6.7961, timestamp=1697050800000, transactions=8800, otc=None)
Agg(open=6.79, high=6.79, low=6.7805, close=6.79, volume=95033, vwap=6.79, timestamp=1697054400000, transactions=24, otc=None)
Agg(open=6.79, high=6.79, low=6.78, close=6.79, volume=1585, vwap=6.7887, timestamp=1697065200000, transactions=8, otc=None)
Agg(open=6.75, high=6.78, low=6.75, close=6.78, volume=2813, vwap=6.7774, timestamp=1697097600000, transactions=11, otc=None)
Agg(open=6.8, high=6.81, low=6.79, close=6.81, volume=1600, vwap=6.7963, timestamp=1697101200000, transactions=10, otc=None)
Agg(open=6.81, high=6.82, low=6.81, close=6.82, volume=500, vwap=6.818, timestamp=1697104800000, transactions=2, otc=None)
Agg(open=6.82, high=6.84, low=6.82, close=6.83, volume=8524, vwap=6.8318, timestamp=1697108400000, transactions=10, otc=None)
Agg(open=6.83, high=6.84, low=6.59, close=6.81, volume=23332, vwap=6.7932, timestamp=1697112000000, transactions=16, otc=None)
Agg(open=6.82, high=6.98, low=6.82, close=6.925, volume=2277398.0, vwap=6.941, timestamp=1697115600000, transactions=5466, otc=None)
