Agg(open=20.95, high=21, low=20.95, close=21, volume=5701, vwap=20.9972, timestamp=1674475200000, transactions=10, otc=None)
Agg(open=21, high=21.2399, low=21, close=21.2307, volume=1001, vwap=21.094, timestamp=1674478800000, transactions=5, otc=None)
Agg(open=21.22, high=21.355, low=20.77, close=21.255, volume=964511, vwap=21.1144, timestamp=1674482400000, transactions=3662, otc=None)
Agg(open=21.255, high=21.78, low=21.15, close=21.64, volume=1162230.0, vwap=21.437, timestamp=1674486000000, transactions=8154, otc=None)
Agg(open=21.64, high=21.805, low=21.55, close=21.78, volume=805210, vwap=21.6827, timestamp=1674489600000, transactions=7283, otc=None)
Agg(open=21.78, high=22.07, low=21.78, close=22.03, volume=1577514.0, vwap=21.9558, timestamp=1674493200000, transactions=7324, otc=None)
Agg(open=22.03, high=22.14, low=21.94, close=22.04, volume=900674, vwap=22.0139, timestamp=1674496800000, transactions=7944, otc=None)
Agg(open=22.03, high=22.095, low=21.89, close=22.005, volume=692340, vwap=21.9861, timestamp=1674500400000, transactions=6113, otc=None)
Agg(open=22.01, high=22.36, low=21.965, close=22.34, volume=1185741.0, vwap=22.2014, timestamp=1674504000000, transactions=10560, otc=None)
Agg(open=22.34, high=22.34, low=22.25, close=22.3267, volume=31542, vwap=22.3362, timestamp=1674507600000, transactions=31, otc=None)
Agg(open=21.94, high=21.94, low=21.72, close=21.72, volume=701, vwap=21.8302, timestamp=1674550800000, transactions=5, otc=None)
Agg(open=21.49, high=21.49, low=21.49, close=21.49, volume=100, vwap=21.49, timestamp=1674554400000, transactions=1, otc=None)
Agg(open=21.51, high=21.51, low=21.49, close=21.5, volume=1029, vwap=21.501, timestamp=1674561600000, transactions=8, otc=None)
Agg(open=21.4999, high=21.75, low=21, close=21.0029, volume=16639, vwap=21.3911, timestamp=1674565200000, transactions=36, otc=None)
Agg(open=21.0005, high=22.2691, low=21.0005, close=21.51, volume=768064, vwap=21.7884, timestamp=1674568800000, transactions=7192, otc=None)
Agg(open=21.54, high=21.93, low=21.373, close=21.48, volume=642194, vwap=21.6054, timestamp=1674572400000, transactions=9314, otc=None)
Agg(open=21.495, high=21.62, low=21.33, close=21.57, volume=276784, vwap=21.4625, timestamp=1674576000000, transactions=5538, otc=None)
Agg(open=21.575, high=21.755, low=21.55, close=21.67, volume=449258, vwap=21.6593, timestamp=1674579600000, transactions=3842, otc=None)
Agg(open=21.66, high=21.78, low=21.44, close=21.58, volume=383789, vwap=21.6191, timestamp=1674583200000, transactions=4219, otc=None)
Agg(open=21.57, high=21.635, low=21.44, close=21.61, volume=220171, vwap=21.5761, timestamp=1674586800000, transactions=3017, otc=None)
Agg(open=21.61, high=21.615, low=21.275, close=21.45, volume=1411236.0, vwap=21.4155, timestamp=1674590400000, transactions=12292, otc=None)
Agg(open=21.46, high=21.79, low=21.46, close=21.64, volume=39036, vwap=21.512, timestamp=1674594000000, transactions=75, otc=None)
Agg(open=21.7, high=21.74, low=21.52, close=21.74, volume=994, vwap=21.6237, timestamp=1674601200000, transactions=6, otc=None)
Agg(open=21.24, high=21.24, low=21.24, close=21.24, volume=1023, vwap=21.24, timestamp=1674604800000, transactions=3, otc=None)
Agg(open=20.81, high=20.81, low=20.81, close=20.81, volume=500, vwap=20.8135, timestamp=1674648000000, transactions=8, otc=None)
Agg(open=21.33, high=21.33, low=21.11, close=21.11, volume=1300, vwap=21.1438, timestamp=1674651600000, transactions=4, otc=None)
Agg(open=21.1, high=21.18, low=20.36, close=20.365, volume=492472, vwap=20.7612, timestamp=1674655200000, transactions=3802, otc=None)
Agg(open=20.37, high=20.61, low=20.04, close=20.61, volume=1448827.0, vwap=20.2554, timestamp=1674658800000, transactions=10925, otc=None)
Agg(open=20.605, high=21.065, low=20.605, close=20.96, volume=513664, vwap=20.9006, timestamp=1674662400000, transactions=5596, otc=None)
Agg(open=20.97, high=21.245, low=20.955, close=21.16, volume=509328, vwap=21.0605, timestamp=1674666000000, transactions=5096, otc=None)
Agg(open=21.1558, high=21.61, low=21.095, close=21.605, volume=607202, vwap=21.3983, timestamp=1674669600000, transactions=6604, otc=None)
Agg(open=21.61, high=22.08, low=21.525, close=22.0206, volume=937150, vwap=21.8394, timestamp=1674673200000, transactions=9979, otc=None)
Agg(open=22.025, high=22.145, low=21.87, close=22.06, volume=1413423.0, vwap=22.0065, timestamp=1674676800000, transactions=11687, otc=None)
Agg(open=22.06, high=22.12, low=21.3, close=21.3, volume=22389, vwap=22.0436, timestamp=1674680400000, transactions=29, otc=None)
Agg(open=21.63, high=22.15, low=21.63, close=22.12, volume=3013, vwap=22.1043, timestamp=1674684000000, transactions=15, otc=None)
Agg(open=22.12, high=22.25, low=22.12, close=22.25, volume=4600, vwap=22.1229, timestamp=1674687600000, transactions=4, otc=None)
Agg(open=22.23, high=22.64, low=22.23, close=22.5, volume=1751, vwap=22.3673, timestamp=1674691200000, transactions=19, otc=None)
Agg(open=22.34, high=22.34, low=22.34, close=22.34, volume=100, vwap=22.34, timestamp=1674723600000, transactions=1, otc=None)
Agg(open=22.34, high=22.39, low=22.34, close=22.39, volume=1160, vwap=22.371, timestamp=1674727200000, transactions=5, otc=None)
Agg(open=22.47, high=22.47, low=22.47, close=22.47, volume=199, vwap=22.47, timestamp=1674734400000, transactions=1, otc=None)
Agg(open=22.45, high=22.49, low=22.27, close=22.4, volume=2438, vwap=22.4085, timestamp=1674738000000, transactions=21, otc=None)
Agg(open=22.5, high=22.99, low=22.31, close=22.42, volume=871635, vwap=22.626, timestamp=1674741600000, transactions=6779, otc=None)
Agg(open=22.42, high=22.62, low=22.06, close=22.08, volume=771095, vwap=22.3883, timestamp=1674745200000, transactions=7465, otc=None)
Agg(open=22.07, high=22.28, low=21.96, close=22.215, volume=435396, vwap=22.145, timestamp=1674748800000, transactions=5095, otc=None)
Agg(open=22.21, high=22.66, low=22.21, close=22.53, volume=342594, vwap=22.4512, timestamp=1674752400000, transactions=4441, otc=None)
Agg(open=22.54, high=22.555, low=22.145, close=22.16, volume=417353, vwap=22.329, timestamp=1674756000000, transactions=4292, otc=None)
Agg(open=22.155, high=22.415, low=22.1001, close=22.185, volume=525667, vwap=22.2522, timestamp=1674759600000, transactions=5629, otc=None)
Agg(open=22.185, high=22.45, low=22.125, close=22.4, volume=1789060.0, vwap=22.289, timestamp=1674763200000, transactions=12234, otc=None)
