Agg(open=13.98, high=13.98, low=13.98, close=13.98, volume=847, vwap=13.98, timestamp=1699869600000, transactions=5, otc=None)
Agg(open=14.07, high=14.07, low=14.03, close=14.03, volume=340, vwap=14.0465, timestamp=1699876800000, transactions=4, otc=None)
Agg(open=14.07, high=14.1299, low=13.98, close=14.05, volume=11814, vwap=14.0444, timestamp=1699880400000, transactions=45, otc=None)
Agg(open=14.05, high=14.21, low=13.86, close=13.9805, volume=955130, vwap=14.0074, timestamp=1699884000000, transactions=4591, otc=None)
Agg(open=13.985, high=14.08, low=13.9, close=13.9839, volume=999200, vwap=13.9931, timestamp=1699887600000, transactions=6782, otc=None)
Agg(open=13.985, high=14.21, low=13.975, close=14.12, volume=921006, vwap=14.1165, timestamp=1699891200000, transactions=5744, otc=None)
Agg(open=14.14, high=14.145, low=13.97, close=14.025, volume=1616330.0, vwap=14.0712, timestamp=1699894800000, transactions=5152, otc=None)
Agg(open=14.0291, high=14.07, low=13.85, close=13.9125, volume=1093506.0, vwap=13.9615, timestamp=1699898400000, transactions=5545, otc=None)
Agg(open=13.915, high=13.9353, low=13.85, close=13.875, volume=761566, vwap=13.8987, timestamp=1699902000000, transactions=5009, otc=None)
Agg(open=13.8702, high=13.91, low=13.8, close=13.805, volume=2218908.0, vwap=13.8515, timestamp=1699905600000, transactions=12795, otc=None)
Agg(open=13.81, high=13.85, low=13.81, close=13.85, volume=171118, vwap=13.8108, timestamp=1699909200000, transactions=61, otc=None)
Agg(open=13.8302, high=13.85, low=13.8301, close=13.85, volume=3830, vwap=13.838, timestamp=1699912800000, transactions=17, otc=None)
Agg(open=13.85, high=13.86, low=13.85, close=13.86, volume=5118, vwap=13.8548, timestamp=1699916400000, transactions=18, otc=None)
Agg(open=13.83, high=13.86, low=13.83, close=13.85, volume=3050, vwap=13.8438, timestamp=1699920000000, transactions=16, otc=None)
Agg(open=14, high=14, low=13.85, close=13.85, volume=2706, vwap=13.9046, timestamp=1699963200000, transactions=19, otc=None)
Agg(open=13.85, high=14.27, low=13.84, close=14.25, volume=86812, vwap=14.1298, timestamp=1699966800000, transactions=314, otc=None)
Agg(open=14.24, high=14.9456, low=14.2, close=14.625, volume=2722904.0, vwap=14.6963, timestamp=1699970400000, transactions=13581, otc=None)
Agg(open=14.625, high=14.685, low=14.345, close=14.52, volume=2689439.0, vwap=14.483, timestamp=1699974000000, transactions=19443, otc=None)
Agg(open=14.515, high=14.82, low=14.51, close=14.585, volume=1772424.0, vwap=14.7076, timestamp=1699977600000, transactions=13943, otc=None)
Agg(open=14.585, high=14.72, low=14.485, close=14.715, volume=1024030.0, vwap=14.5787, timestamp=1699981200000, transactions=8606, otc=None)
Agg(open=14.71, high=14.805, low=14.64, close=14.65, volume=1263834.0, vwap=14.7093, timestamp=1699984800000, transactions=10203, otc=None)
Agg(open=14.6501, high=14.79, low=14.575, close=14.785, volume=1212384.0, vwap=14.666, timestamp=1699988400000, transactions=11138, otc=None)
Agg(open=14.785, high=14.88, low=14.69, close=14.71, volume=3614507.0, vwap=14.7923, timestamp=1699992000000, transactions=21974, otc=None)
Agg(open=14.71, high=14.72, low=14.62, close=14.71, volume=69729, vwap=14.7063, timestamp=1699995600000, transactions=73, otc=None)
Agg(open=14.72, high=14.74, low=14.71, close=14.74, volume=1525, vwap=14.7175, timestamp=1699999200000, transactions=9, otc=None)
Agg(open=14.75, high=14.79, low=14.75, close=14.79, volume=657, vwap=14.7669, timestamp=1700002800000, transactions=7, otc=None)
Agg(open=14.8, high=14.9, low=14.8, close=14.8, volume=4200, vwap=14.8211, timestamp=1700006400000, transactions=12, otc=None)
Agg(open=14.82, high=14.88, low=14.82, close=14.88, volume=5693, vwap=14.8518, timestamp=1700049600000, transactions=25, otc=None)
Agg(open=14.89, high=14.99, low=14.79, close=14.82, volume=35145, vwap=14.8767, timestamp=1700053200000, transactions=83, otc=None)
Agg(open=14.83, high=14.83, low=14.48, close=14.49, volume=674650, vwap=14.6088, timestamp=1700056800000, transactions=4575, otc=None)
Agg(open=14.5, high=14.855, low=14.455, close=14.7409, volume=1894128.0, vwap=14.72, timestamp=1700060400000, transactions=12433, otc=None)
Agg(open=14.75, high=14.9, low=14.63, close=14.635, volume=1742197.0, vwap=14.8037, timestamp=1700064000000, transactions=9672, otc=None)
Agg(open=14.63, high=14.755, low=14.57, close=14.695, volume=509481, vwap=14.6617, timestamp=1700067600000, transactions=4186, otc=None)
Agg(open=14.6916, high=14.695, low=14.495, close=14.62, volume=860960, vwap=14.5918, timestamp=1700071200000, transactions=7326, otc=None)
Agg(open=14.625, high=14.68, low=14.55, close=14.585, volume=939390, vwap=14.6059, timestamp=1700074800000, transactions=8096, otc=None)
Agg(open=14.585, high=14.615, low=14.455, close=14.52, volume=2363682.0, vwap=14.5072, timestamp=1700078400000, transactions=17078, otc=None)
Agg(open=14.52, high=14.52, low=14.48, close=14.48, volume=159787, vwap=14.5196, timestamp=1700082000000, transactions=39, otc=None)
Agg(open=14.48, high=14.5, low=14.45, close=14.49, volume=4372, vwap=14.483, timestamp=1700085600000, transactions=22, otc=None)
Agg(open=14.49, high=14.49, low=14.48, close=14.49, volume=1112, vwap=14.4855, timestamp=1700089200000, transactions=4, otc=None)
Agg(open=14.48, high=14.48, low=14.45, close=14.48, volume=7383, vwap=14.4646, timestamp=1700092800000, transactions=11, otc=None)
Agg(open=14.43, high=14.43, low=14.43, close=14.43, volume=663, vwap=14.43, timestamp=1700136000000, transactions=2, otc=None)
Agg(open=14.48, high=14.48, low=14.25, close=14.46, volume=4542, vwap=14.3195, timestamp=1700139600000, transactions=22, otc=None)
Agg(open=14.45, high=14.45, low=14.12, close=14.175, volume=961819, vwap=14.2507, timestamp=1700143200000, transactions=5431, otc=None)
Agg(open=14.175, high=14.23, low=13.965, close=14.005, volume=2057427.0, vwap=14.069, timestamp=1700146800000, transactions=12331, otc=None)
