Agg(open=18, high=18, low=18, close=18, volume=250, vwap=17.9953, timestamp=1682337600000, transactions=6, otc=None)
Agg(open=17.99, high=18.16, low=17.98, close=18, volume=114346, vwap=18.0747, timestamp=1682341200000, transactions=1561, otc=None)
Agg(open=18.01, high=18.24, low=17.925, close=17.925, volume=306864, vwap=18.074, timestamp=1682344800000, transactions=4611, otc=None)
Agg(open=17.925, high=17.99, low=17.735, close=17.99, volume=364459, vwap=17.8335, timestamp=1682348400000, transactions=4463, otc=None)
Agg(open=17.995, high=18.035, low=17.94, close=18.01, volume=145844, vwap=17.9885, timestamp=1682352000000, transactions=2565, otc=None)
Agg(open=18.005, high=18.08, low=17.99, close=18.08, volume=125008, vwap=18.0425, timestamp=1682355600000, transactions=2115, otc=None)
Agg(open=18.08, high=18.085, low=18.015, close=18.075, volume=173544, vwap=18.052, timestamp=1682359200000, transactions=2709, otc=None)
Agg(open=18.075, high=18.11, low=18.02, close=18.045, volume=562432, vwap=18.0541, timestamp=1682362800000, transactions=6867, otc=None)
Agg(open=18.04, high=18.04, low=18.04, close=18.04, volume=133926, vwap=18.04, timestamp=1682366400000, transactions=18, otc=None)
Agg(open=17.67, high=18.01, low=17.67, close=18.01, volume=558, vwap=17.8854, timestamp=1682424000000, transactions=11, otc=None)
Agg(open=18.04, high=18.04, low=17.525, close=17.61, volume=140211, vwap=17.6618, timestamp=1682427600000, transactions=1644, otc=None)
Agg(open=17.605, high=17.735, low=17.6, close=17.69, volume=238571, vwap=17.6633, timestamp=1682431200000, transactions=3325, otc=None)
Agg(open=17.695, high=17.73, low=17.53, close=17.565, volume=225142, vwap=17.6277, timestamp=1682434800000, transactions=3158, otc=None)
Agg(open=17.57, high=17.67, low=17.57, close=17.625, volume=154788, vwap=17.6109, timestamp=1682438400000, transactions=2080, otc=None)
Agg(open=17.625, high=17.655, low=17.515, close=17.545, volume=143990, vwap=17.5595, timestamp=1682442000000, transactions=2093, otc=None)
Agg(open=17.545, high=17.6, low=17.51, close=17.52, volume=201446, vwap=17.5532, timestamp=1682445600000, transactions=2830, otc=None)
Agg(open=17.515, high=17.6, low=17.49, close=17.5, volume=467499, vwap=17.5377, timestamp=1682449200000, transactions=5711, otc=None)
Agg(open=17.48, high=17.61, low=17.48, close=17.61, volume=36971, vwap=17.4842, timestamp=1682452800000, transactions=35, otc=None)
Agg(open=17.69, high=17.7, low=17.69, close=17.7, volume=300, vwap=17.6933, timestamp=1682463600000, transactions=3, otc=None)
Agg(open=17.62, high=17.62, low=17.62, close=17.62, volume=100, vwap=17.62, timestamp=1682506800000, transactions=1, otc=None)
Agg(open=17.48, high=17.685, low=17.48, close=17.6, volume=101795, vwap=17.5982, timestamp=1682514000000, transactions=1240, otc=None)
Agg(open=17.595, high=17.64, low=17.485, close=17.57, volume=163889, vwap=17.5742, timestamp=1682517600000, transactions=2614, otc=None)
Agg(open=17.56, high=17.575, low=17.45, close=17.505, volume=123938, vwap=17.4965, timestamp=1682521200000, transactions=2242, otc=None)
Agg(open=17.505, high=17.56, low=17.42, close=17.435, volume=187120, vwap=17.4754, timestamp=1682524800000, transactions=2177, otc=None)
Agg(open=17.44, high=17.455, low=17.39, close=17.395, volume=172321, vwap=17.4234, timestamp=1682528400000, transactions=2209, otc=None)
Agg(open=17.395, high=17.405, low=17.255, close=17.275, volume=152830, vwap=17.3227, timestamp=1682532000000, transactions=2299, otc=None)
Agg(open=17.27, high=17.33, low=17.255, close=17.295, volume=369006, vwap=17.2954, timestamp=1682535600000, transactions=5101, otc=None)
Agg(open=17.29, high=17.29, low=17.29, close=17.29, volume=20282, vwap=17.29, timestamp=1682539200000, transactions=19, otc=None)
Agg(open=17.35, high=17.35, low=17.35, close=17.35, volume=100, vwap=17.35, timestamp=1682582400000, transactions=1, otc=None)
Agg(open=18.2977, high=18.3, low=17.4, close=17.4, volume=4813, vwap=18.2795, timestamp=1682596800000, transactions=4, otc=None)
Agg(open=17.29, high=17.56, low=17.29, close=17.35, volume=97271, vwap=17.4462, timestamp=1682600400000, transactions=1307, otc=None)
Agg(open=17.345, high=17.37, low=17.185, close=17.21, volume=168940, vwap=17.2816, timestamp=1682604000000, transactions=2570, otc=None)
Agg(open=17.215, high=17.365, low=17.19, close=17.315, volume=139586, vwap=17.3002, timestamp=1682607600000, transactions=2196, otc=None)
Agg(open=17.315, high=17.37, low=17.31, close=17.335, volume=100288, vwap=17.3406, timestamp=1682611200000, transactions=1599, otc=None)
Agg(open=17.34, high=17.34, low=17.265, close=17.2786, volume=133435, vwap=17.294, timestamp=1682614800000, transactions=2026, otc=None)
Agg(open=17.275, high=17.35, low=17.275, close=17.32, volume=124663, vwap=17.3178, timestamp=1682618400000, transactions=1979, otc=None)
Agg(open=17.325, high=17.44, low=17.305, close=17.44, volume=359785, vwap=17.4, timestamp=1682622000000, transactions=4491, otc=None)
Agg(open=17.44, high=17.44, low=17.44, close=17.44, volume=15484, vwap=17.44, timestamp=1682625600000, transactions=9, otc=None)
Agg(open=17.51, high=17.51, low=17.51, close=17.51, volume=142, vwap=17.51, timestamp=1682683200000, transactions=1, otc=None)
Agg(open=17.5, high=17.5, low=17.19, close=17.31, volume=100372, vwap=17.2675, timestamp=1682686800000, transactions=1287, otc=None)
Agg(open=17.32, high=17.565, low=17.31, close=17.56, volume=330870, vwap=17.4758, timestamp=1682690400000, transactions=3780, otc=None)
Agg(open=17.565, high=17.655, low=17.49, close=17.64, volume=206122, vwap=17.5874, timestamp=1682694000000, transactions=2702, otc=None)
Agg(open=17.64, high=17.68, low=17.59, close=17.675, volume=165667, vwap=17.6147, timestamp=1682697600000, transactions=2060, otc=None)
Agg(open=17.675, high=17.765, low=17.675, close=17.725, volume=116198, vwap=17.7226, timestamp=1682701200000, transactions=1745, otc=None)
Agg(open=17.727, high=17.735, low=17.615, close=17.645, volume=195788, vwap=17.6631, timestamp=1682704800000, transactions=2562, otc=None)
Agg(open=17.6411, high=17.77, low=17.63, close=17.73, volume=492911, vwap=17.7171, timestamp=1682708400000, transactions=5698, otc=None)
Agg(open=17.73, high=17.73, low=17.73, close=17.73, volume=5216, vwap=17.73, timestamp=1682712000000, transactions=16, otc=None)
