Agg(open=16.49, high=16.49, low=16.49, close=16.49, volume=109, vwap=16.4901, timestamp=1696233600000, transactions=6, otc=None)
Agg(open=16.61, high=16.61, low=16.61, close=16.61, volume=181, vwap=16.61, timestamp=1696244400000, transactions=2, otc=None)
Agg(open=16.58, high=16.58, low=16.58, close=16.58, volume=100, vwap=16.58, timestamp=1696248000000, transactions=1, otc=None)
Agg(open=16.57, high=16.63, low=16.35, close=16.56, volume=206992, vwap=16.5629, timestamp=1696251600000, transactions=1909, otc=None)
Agg(open=16.545, high=16.715, low=16.53, close=16.565, volume=230294, vwap=16.5977, timestamp=1696255200000, transactions=2909, otc=None)
Agg(open=16.57, high=16.665, low=16.54, close=16.55, volume=206767, vwap=16.5897, timestamp=1696258800000, transactions=2588, otc=None)
Agg(open=16.545, high=16.545, low=16.42, close=16.46, volume=190632, vwap=16.4701, timestamp=1696262400000, transactions=2205, otc=None)
Agg(open=16.46, high=16.5, low=16.36, close=16.435, volume=209934, vwap=16.4522, timestamp=1696266000000, transactions=2482, otc=None)
Agg(open=16.435, high=16.51, low=16.4, close=16.415, volume=128633, vwap=16.4388, timestamp=1696269600000, transactions=2022, otc=None)
Agg(open=16.41, high=16.5, low=16.3701, close=16.49, volume=340675, vwap=16.4461, timestamp=1696273200000, transactions=4090, otc=None)
Agg(open=16.5, high=16.5, low=16.5, close=16.5, volume=26657, vwap=16.5, timestamp=1696276800000, transactions=35, otc=None)
Agg(open=16.31, high=16.31, low=16.31, close=16.31, volume=200, vwap=16.31, timestamp=1696334400000, transactions=2, otc=None)
Agg(open=16.32, high=16.43, low=16.255, close=16.36, volume=79774, vwap=16.3334, timestamp=1696338000000, transactions=1112, otc=None)
Agg(open=16.34, high=16.39, low=16.14, close=16.14, volume=167434, vwap=16.2627, timestamp=1696341600000, transactions=2404, otc=None)
Agg(open=16.12, high=16.13, low=15.95, close=15.98, volume=189523, vwap=16.0265, timestamp=1696345200000, transactions=2596, otc=None)
Agg(open=15.975, high=16.04, low=15.97, close=16.01, volume=176919, vwap=16.0006, timestamp=1696348800000, transactions=2414, otc=None)
Agg(open=16.01, high=16.055, low=15.88, close=15.905, volume=155938, vwap=15.9394, timestamp=1696352400000, transactions=2635, otc=None)
Agg(open=15.905, high=15.915, low=15.765, close=15.78, volume=293354, vwap=15.8535, timestamp=1696356000000, transactions=4468, otc=None)
Agg(open=15.785, high=15.79, low=15.59, close=15.78, volume=849320, vwap=15.72, timestamp=1696359600000, transactions=8231, otc=None)
Agg(open=15.77, high=15.8184, low=15.77, close=15.8184, volume=24724, vwap=15.771, timestamp=1696363200000, transactions=22, otc=None)
Agg(open=15.82, high=15.82, low=15.82, close=15.82, volume=400, vwap=15.8211, timestamp=1696374000000, transactions=4, otc=None)
Agg(open=15.84, high=15.84, low=15.84, close=15.84, volume=300, vwap=15.84, timestamp=1696417200000, transactions=4, otc=None)
Agg(open=15.63, high=15.63, low=15.61, close=15.61, volume=700, vwap=15.6271, timestamp=1696420800000, transactions=3, otc=None)
Agg(open=15.84, high=16.05, low=15.8, close=16.04, volume=114703, vwap=15.9639, timestamp=1696424400000, transactions=1188, otc=None)
Agg(open=16.03, high=16.055, low=15.925, close=15.95, volume=131312, vwap=15.9916, timestamp=1696428000000, transactions=1947, otc=None)
Agg(open=15.95, high=16.11, low=15.945, close=16.09, volume=119759, vwap=16.0556, timestamp=1696431600000, transactions=1824, otc=None)
Agg(open=16.09, high=16.095, low=16.04, close=16.055, volume=74816, vwap=16.0685, timestamp=1696435200000, transactions=1385, otc=None)
Agg(open=16.065, high=16.07, low=15.935, close=15.95, volume=93846, vwap=15.9871, timestamp=1696438800000, transactions=1608, otc=None)
Agg(open=15.95, high=15.96, low=15.9, close=15.905, volume=74810, vwap=15.9228, timestamp=1696442400000, transactions=1598, otc=None)
Agg(open=15.905, high=16.05, low=15.885, close=16.015, volume=370287, vwap=16.002, timestamp=1696446000000, transactions=4951, otc=None)
Agg(open=16.01, high=16.01, low=16.01, close=16.01, volume=26468, vwap=16.01, timestamp=1696449600000, transactions=20, otc=None)
Agg(open=15.94, high=16.19, low=15.93, close=16.01, volume=1964, vwap=16.0202, timestamp=1696507200000, transactions=38, otc=None)
Agg(open=15.97, high=16.08, low=15.78, close=15.89, volume=84600, vwap=15.9064, timestamp=1696510800000, transactions=986, otc=None)
Agg(open=15.91, high=15.91, low=15.74, close=15.74, volume=127992, vwap=15.8136, timestamp=1696514400000, transactions=1824, otc=None)
Agg(open=15.735, high=15.77, low=15.685, close=15.755, volume=83611, vwap=15.7251, timestamp=1696518000000, transactions=1543, otc=None)
Agg(open=15.755, high=15.85, low=15.755, close=15.84, volume=62017, vwap=15.8096, timestamp=1696521600000, transactions=1277, otc=None)
Agg(open=15.84, high=15.89, low=15.79, close=15.87, volume=66194, vwap=15.845, timestamp=1696525200000, transactions=1307, otc=None)
Agg(open=15.87, high=15.905, low=15.83, close=15.9, volume=72140, vwap=15.874, timestamp=1696528800000, transactions=1625, otc=None)
Agg(open=15.905, high=15.925, low=15.84, close=15.89, volume=277184, vwap=15.8855, timestamp=1696532400000, transactions=4010, otc=None)
Agg(open=15.88, high=15.88, low=15.88, close=15.88, volume=12835, vwap=15.88, timestamp=1696536000000, transactions=21, otc=None)
Agg(open=15.75, high=15.75, low=15.75, close=15.75, volume=102, vwap=15.7501, timestamp=1696582800000, transactions=3, otc=None)
Agg(open=15.76, high=15.87, low=15.7306, close=15.83, volume=60380, vwap=15.7965, timestamp=1696597200000, transactions=775, otc=None)
Agg(open=15.81, high=15.93, low=15.71, close=15.825, volume=74254, vwap=15.8185, timestamp=1696600800000, transactions=1629, otc=None)
Agg(open=15.825, high=16.06, low=15.805, close=16.025, volume=107612, vwap=15.941, timestamp=1696604400000, transactions=1735, otc=None)
