Agg(open=9.2, high=9.25, low=9.2, close=9.25, volume=801, vwap=9.2125, timestamp=1676980800000, transactions=3, otc=None)
Agg(open=9.16, high=9.16, low=9.16, close=9.16, volume=100, vwap=9.16, timestamp=1676984400000, transactions=1, otc=None)
Agg(open=9.15, high=9.2, low=9.005, close=9.0082, volume=417508, vwap=9.0888, timestamp=1676988000000, transactions=3103, otc=None)
Agg(open=9.005, high=9.0599, low=8.95, close=8.955, volume=401524, vwap=9.0036, timestamp=1676991600000, transactions=2637, otc=None)
Agg(open=8.96, high=8.99, low=8.925, close=8.955, volume=436621, vwap=8.9529, timestamp=1676995200000, transactions=2576, otc=None)
Agg(open=8.955, high=8.99, low=8.87, close=8.985, volume=241166, vwap=8.9209, timestamp=1676998800000, transactions=1452, otc=None)
Agg(open=8.99, high=8.99, low=8.87, close=8.87, volume=135468, vwap=8.9161, timestamp=1677002400000, transactions=1308, otc=None)
Agg(open=8.87, high=8.9, low=8.835, close=8.895, volume=139958, vwap=8.8701, timestamp=1677006000000, transactions=1203, otc=None)
Agg(open=8.895, high=8.93, low=8.87, close=8.89, volume=703930, vwap=8.8964, timestamp=1677009600000, transactions=3764, otc=None)
Agg(open=8.89, high=8.93, low=8.89, close=8.93, volume=81881, vwap=8.891, timestamp=1677013200000, transactions=14, otc=None)
Agg(open=8.86, high=8.86, low=8.86, close=8.86, volume=690, vwap=8.86, timestamp=1677020400000, transactions=1, otc=None)
Agg(open=8.99, high=8.99, low=8.99, close=8.99, volume=200, vwap=8.99, timestamp=1677024000000, transactions=1, otc=None)
Agg(open=8.86, high=8.86, low=8.86, close=8.86, volume=125, vwap=8.86, timestamp=1677067200000, transactions=1, otc=None)
Agg(open=8.97, high=9.04, low=8.88, close=8.939, volume=228167, vwap=8.946, timestamp=1677074400000, transactions=1194, otc=None)
Agg(open=8.93, high=8.93, low=8.83, close=8.89, volume=207454, vwap=8.8813, timestamp=1677078000000, transactions=1643, otc=None)
Agg(open=8.89, high=8.93, low=8.86, close=8.905, volume=209734, vwap=8.8965, timestamp=1677081600000, transactions=1331, otc=None)
Agg(open=8.905, high=8.92, low=8.88, close=8.88, volume=186155, vwap=8.9036, timestamp=1677085200000, transactions=1175, otc=None)
Agg(open=8.885, high=8.89, low=8.835, close=8.845, volume=245025, vwap=8.8636, timestamp=1677088800000, transactions=1516, otc=None)
Agg(open=8.85, high=8.87, low=8.805, close=8.805, volume=214186, vwap=8.8279, timestamp=1677092400000, transactions=1716, otc=None)
Agg(open=8.81, high=8.87, low=8.805, close=8.87, volume=528717, vwap=8.8415, timestamp=1677096000000, transactions=3687, otc=None)
Agg(open=8.86, high=8.88, low=8.86, close=8.88, volume=58212, vwap=8.86, timestamp=1677099600000, transactions=14, otc=None)
Agg(open=8.8, high=8.88, low=8.8, close=8.88, volume=740, vwap=8.8259, timestamp=1677110400000, transactions=2, otc=None)
Agg(open=9.01, high=9.01, low=9.01, close=9.01, volume=100, vwap=9.01, timestamp=1677157200000, transactions=1, otc=None)
Agg(open=8.91, high=8.95, low=8.83, close=8.855, volume=149010, vwap=8.8818, timestamp=1677160800000, transactions=1027, otc=None)
Agg(open=8.86, high=8.86, low=8.664, close=8.705, volume=427877, vwap=8.7315, timestamp=1677164400000, transactions=2233, otc=None)
Agg(open=8.7, high=8.735, low=8.65, close=8.67, volume=430104, vwap=8.6972, timestamp=1677168000000, transactions=3010, otc=None)
Agg(open=8.67, high=8.68, low=8.64, close=8.655, volume=248243, vwap=8.66, timestamp=1677171600000, transactions=2263, otc=None)
Agg(open=8.66, high=8.71, low=8.64, close=8.68, volume=216590, vwap=8.6716, timestamp=1677175200000, transactions=2087, otc=None)
Agg(open=8.67, high=8.73, low=8.66, close=8.705, volume=210534, vwap=8.6936, timestamp=1677178800000, transactions=2134, otc=None)
Agg(open=8.705, high=8.86, low=8.705, close=8.84, volume=985397, vwap=8.8204, timestamp=1677182400000, transactions=6559, otc=None)
Agg(open=8.84, high=8.84, low=8.84, close=8.84, volume=285746, vwap=8.84, timestamp=1677186000000, transactions=9, otc=None)
Agg(open=8.79, high=8.79, low=8.79, close=8.79, volume=100, vwap=8.79, timestamp=1677189600000, transactions=1, otc=None)
Agg(open=8.8, high=8.8, low=8.71, close=8.75, volume=1635, vwap=8.7297, timestamp=1677193200000, transactions=5, otc=None)
Agg(open=8.68, high=8.68, low=8.68, close=8.68, volume=510, vwap=8.6831, timestamp=1677243600000, transactions=2, otc=None)
Agg(open=8.66, high=8.67, low=8.525, close=8.62, volume=208707, vwap=8.5954, timestamp=1677247200000, transactions=1411, otc=None)
Agg(open=8.62, high=8.66, low=8.575, close=8.61, volume=358836, vwap=8.618, timestamp=1677250800000, transactions=2414, otc=None)
Agg(open=8.615, high=8.695, low=8.6, close=8.695, volume=219480, vwap=8.6467, timestamp=1677254400000, transactions=1696, otc=None)
Agg(open=8.695, high=8.695, low=8.58, close=8.6, volume=137675, vwap=8.6357, timestamp=1677258000000, transactions=1121, otc=None)
Agg(open=8.595, high=8.615, low=8.575, close=8.605, volume=120439, vwap=8.5942, timestamp=1677261600000, transactions=1271, otc=None)
Agg(open=8.61, high=8.64, low=8.58, close=8.635, volume=189360, vwap=8.6114, timestamp=1677265200000, transactions=1314, otc=None)
Agg(open=8.635, high=8.66, low=8.545, close=8.56, volume=427708, vwap=8.5827, timestamp=1677268800000, transactions=3254, otc=None)
Agg(open=8.56, high=8.56, low=8.56, close=8.56, volume=95390, vwap=8.56, timestamp=1677272400000, transactions=13, otc=None)
