Agg(open=12.57, high=12.67, low=12.5, close=12.67, volume=492, vwap=12.5894, timestamp=1675684800000, transactions=5, otc=None)
Agg(open=12.97, high=12.97, low=12.6957, close=12.6957, volume=605, vwap=12.7387, timestamp=1675688400000, transactions=5, otc=None)
Agg(open=12.49, high=12.6, low=12.215, close=12.2637, volume=811896, vwap=12.3906, timestamp=1675692000000, transactions=4851, otc=None)
Agg(open=12.265, high=12.415, low=12.19, close=12.345, volume=969563, vwap=12.2948, timestamp=1675695600000, transactions=7044, otc=None)
Agg(open=12.34, high=12.39, low=12.25, close=12.275, volume=769778, vwap=12.3106, timestamp=1675699200000, transactions=5028, otc=None)
Agg(open=12.275, high=12.28, low=12.16, close=12.1601, volume=866190, vwap=12.2103, timestamp=1675702800000, transactions=4700, otc=None)
Agg(open=12.165, high=12.265, low=12.115, close=12.26, volume=1083497.0, vwap=12.1743, timestamp=1675706400000, transactions=5262, otc=None)
Agg(open=12.26, high=12.305, low=12.15, close=12.175, volume=808099, vwap=12.2159, timestamp=1675710000000, transactions=4779, otc=None)
Agg(open=12.175, high=12.23, low=12.095, close=12.23, volume=3206940.0, vwap=12.1606, timestamp=1675713600000, transactions=15919, otc=None)
Agg(open=12.23, high=12.23, low=12.23, close=12.23, volume=603332, vwap=12.23, timestamp=1675717200000, transactions=34, otc=None)
Agg(open=12.23, high=12.23, low=12.23, close=12.23, volume=4674, vwap=12.23, timestamp=1675720800000, transactions=1, otc=None)
Agg(open=12.23, high=12.23, low=12.23, close=12.23, volume=227, vwap=12.2288, timestamp=1675771200000, transactions=2, otc=None)
Agg(open=12.2, high=12.2, low=12.2, close=12.2, volume=875, vwap=12.2007, timestamp=1675774800000, transactions=8, otc=None)
Agg(open=12.2, high=12.29, low=12.16, close=12.175, volume=693895, vwap=12.2204, timestamp=1675778400000, transactions=4227, otc=None)
Agg(open=12.18, high=12.185, low=11.945, close=12.09, volume=1097185.0, vwap=12.054, timestamp=1675782000000, transactions=6688, otc=None)
Agg(open=12.085, high=12.2, low=12.05, close=12.13, volume=898884, vwap=12.1387, timestamp=1675785600000, transactions=6447, otc=None)
Agg(open=12.13, high=12.445, low=12.105, close=12.39, volume=1218637.0, vwap=12.2696, timestamp=1675789200000, transactions=6934, otc=None)
Agg(open=12.39, high=12.41, low=12.07, close=12.105, volume=1406462.0, vwap=12.2387, timestamp=1675792800000, transactions=8536, otc=None)
Agg(open=12.105, high=12.22, low=12.1, close=12.175, volume=1190664.0, vwap=12.1685, timestamp=1675796400000, transactions=7967, otc=None)
Agg(open=12.18, high=12.26, low=12.12, close=12.195, volume=3875146.0, vwap=12.2078, timestamp=1675800000000, transactions=19005, otc=None)
Agg(open=12.22, high=12.25, low=12.15, close=12.25, volume=66191, vwap=12.2184, timestamp=1675803600000, transactions=44, otc=None)
Agg(open=12.22, high=12.25, low=12.19, close=12.19, volume=3348, vwap=12.2191, timestamp=1675807200000, transactions=5, otc=None)
Agg(open=12.2399, high=12.24, low=12.2, close=12.24, volume=4779, vwap=12.2152, timestamp=1675810800000, transactions=3, otc=None)
Agg(open=12.2397, high=12.2397, low=12.2, close=12.2, volume=4555, vwap=12.2008, timestamp=1675814400000, transactions=6, otc=None)
Agg(open=12.31, high=12.31, low=12.31, close=12.31, volume=300, vwap=12.31, timestamp=1675846800000, transactions=1, otc=None)
