Agg(open=9, high=9, low=9, close=9, volume=186, vwap=9.0019, timestamp=1679914800000, transactions=2, otc=None)
Agg(open=9.11, high=9.11, low=9.11, close=9.11, volume=1000, vwap=9.1096, timestamp=1679918400000, transactions=2, otc=None)
Agg(open=8.99, high=9.01, low=8.825, close=8.875, volume=425362, vwap=8.9005, timestamp=1679922000000, transactions=3127, otc=None)
Agg(open=8.8714, high=8.89, low=8.79, close=8.82, volume=603466, vwap=8.8442, timestamp=1679925600000, transactions=4935, otc=None)
Agg(open=8.8287, high=8.87, low=8.78, close=8.835, volume=772515, vwap=8.8302, timestamp=1679929200000, transactions=5427, otc=None)
Agg(open=8.84, high=8.89, low=8.825, close=8.875, volume=719774, vwap=8.8536, timestamp=1679932800000, transactions=4489, otc=None)
Agg(open=8.8784, high=8.94, low=8.86, close=8.9, volume=670510, vwap=8.8978, timestamp=1679936400000, transactions=3693, otc=None)
Agg(open=8.905, high=8.99, low=8.89, close=8.955, volume=471637, vwap=8.9381, timestamp=1679940000000, transactions=3388, otc=None)
Agg(open=8.955, high=8.97, low=8.914, close=8.93, volume=1748107.0, vwap=8.9404, timestamp=1679943600000, transactions=8421, otc=None)
Agg(open=8.93, high=8.98, low=8.93, close=8.98, volume=104969, vwap=8.9305, timestamp=1679947200000, transactions=18, otc=None)
Agg(open=8.93, high=8.93, low=8.93, close=8.93, volume=538, vwap=8.93, timestamp=1679950800000, transactions=1, otc=None)
Agg(open=8.8233, high=8.8233, low=8.8233, close=8.8233, volume=500, vwap=8.8233, timestamp=1680004800000, transactions=1, otc=None)
Agg(open=8.98, high=9.06, low=8.95, close=9.045, volume=330862, vwap=9.0092, timestamp=1680008400000, transactions=2145, otc=None)
Agg(open=9.04, high=9.065, low=8.96, close=8.975, volume=529850, vwap=9.0242, timestamp=1680012000000, transactions=3701, otc=None)
Agg(open=8.97, high=9.01, low=8.935, close=8.945, volume=466372, vwap=8.9705, timestamp=1680015600000, transactions=3053, otc=None)
