Agg(open=14.67, high=14.8, low=14.63, close=14.72, volume=40434, vwap=14.7155, timestamp=1681131600000, transactions=503, otc=None)
Agg(open=14.73, high=14.81, low=14.625, close=14.635, volume=55130, vwap=14.706, timestamp=1681135200000, transactions=1056, otc=None)
Agg(open=14.635, high=14.64, low=14.47, close=14.47, volume=50678, vwap=14.5577, timestamp=1681138800000, transactions=1003, otc=None)
Agg(open=14.465, high=14.6, low=14.45, close=14.6, volume=58383, vwap=14.5103, timestamp=1681142400000, transactions=850, otc=None)
Agg(open=14.6, high=14.685, low=14.6, close=14.645, volume=85494, vwap=14.6452, timestamp=1681146000000, transactions=915, otc=None)
Agg(open=14.645, high=14.695, low=14.6, close=14.62, volume=85897, vwap=14.6433, timestamp=1681149600000, transactions=1210, otc=None)
Agg(open=14.63, high=14.69, low=14.63, close=14.69, volume=223970, vwap=14.6675, timestamp=1681153200000, transactions=2813, otc=None)
Agg(open=14.68, high=14.68, low=14.68, close=14.68, volume=95889, vwap=14.68, timestamp=1681156800000, transactions=16, otc=None)
Agg(open=14.75, high=14.75, low=14.67, close=14.7, volume=19433, vwap=14.7148, timestamp=1681218000000, transactions=295, otc=None)
Agg(open=14.71, high=14.73, low=14.6, close=14.62, volume=54927, vwap=14.6718, timestamp=1681221600000, transactions=946, otc=None)
Agg(open=14.63, high=14.64, low=14.555, close=14.59, volume=93642, vwap=14.5849, timestamp=1681225200000, transactions=1103, otc=None)
Agg(open=14.59, high=14.645, low=14.58, close=14.595, volume=56442, vwap=14.6089, timestamp=1681228800000, transactions=919, otc=None)
Agg(open=14.6, high=14.635, low=14.58, close=14.63, volume=70108, vwap=14.5995, timestamp=1681232400000, transactions=900, otc=None)
Agg(open=14.635, high=14.81, low=14.63, close=14.7605, volume=74717, vwap=14.732, timestamp=1681236000000, transactions=1052, otc=None)
Agg(open=14.76, high=14.765, low=14.64, close=14.64, volume=239402, vwap=14.6975, timestamp=1681239600000, transactions=3036, otc=None)
Agg(open=14.64, high=14.64, low=14.64, close=14.64, volume=21567, vwap=14.64, timestamp=1681243200000, transactions=16, otc=None)
Agg(open=14.82, high=14.82, low=14.6725, close=14.71, volume=44333, vwap=14.7204, timestamp=1681304400000, transactions=495, otc=None)
Agg(open=14.7, high=14.76, low=14.625, close=14.685, volume=105146, vwap=14.6879, timestamp=1681308000000, transactions=1622, otc=None)
Agg(open=14.69, high=14.695, low=14.595, close=14.64, volume=79898, vwap=14.6354, timestamp=1681311600000, transactions=1460, otc=None)
Agg(open=14.64, high=14.6453, low=14.565, close=14.59, volume=54530, vwap=14.6097, timestamp=1681315200000, transactions=1042, otc=None)
Agg(open=14.59, high=14.655, low=14.57, close=14.625, volume=82934, vwap=14.6104, timestamp=1681318800000, transactions=1144, otc=None)
Agg(open=14.63, high=14.635, low=14.475, close=14.505, volume=124535, vwap=14.5506, timestamp=1681322400000, transactions=1578, otc=None)
Agg(open=14.505, high=14.505, low=14.36, close=14.41, volume=272285, vwap=14.4064, timestamp=1681326000000, transactions=3064, otc=None)
Agg(open=14.41, high=14.41, low=14.41, close=14.41, volume=13274, vwap=14.41, timestamp=1681329600000, transactions=18, otc=None)
Agg(open=14.5, high=14.5, low=14.39, close=14.42, volume=43551, vwap=14.4493, timestamp=1681390800000, transactions=501, otc=None)
Agg(open=14.41, high=14.465, low=14.23, close=14.23, volume=88152, vwap=14.3565, timestamp=1681394400000, transactions=1103, otc=None)
Agg(open=14.23, high=14.25, low=14.15, close=14.24, volume=79167, vwap=14.2071, timestamp=1681398000000, transactions=1114, otc=None)
Agg(open=14.25, high=14.395, low=14.25, close=14.395, volume=58636, vwap=14.3386, timestamp=1681401600000, transactions=728, otc=None)
Agg(open=14.4, high=14.415, low=14.37, close=14.385, volume=38463, vwap=14.397, timestamp=1681405200000, transactions=594, otc=None)
Agg(open=14.385, high=14.445, low=14.385, close=14.425, volume=81613, vwap=14.4194, timestamp=1681408800000, transactions=1079, otc=None)
Agg(open=14.425, high=14.45, low=14.34, close=14.41, volume=184943, vwap=14.3909, timestamp=1681412400000, transactions=1936, otc=None)
Agg(open=14.41, high=14.41, low=14.41, close=14.41, volume=25007, vwap=14.41, timestamp=1681416000000, transactions=16, otc=None)
Agg(open=14.44, high=14.55, low=14.42, close=14.5, volume=22226, vwap=14.5018, timestamp=1681477200000, transactions=296, otc=None)
Agg(open=14.51, high=14.54, low=14.305, close=14.31, volume=103463, vwap=14.3923, timestamp=1681480800000, transactions=1168, otc=None)
Agg(open=14.3, high=14.3, low=14.1, close=14.15, volume=102369, vwap=14.1606, timestamp=1681484400000, transactions=1323, otc=None)
Agg(open=14.15, high=14.16, low=14.065, close=14.08, volume=98592, vwap=14.1044, timestamp=1681488000000, transactions=1264, otc=None)
Agg(open=14.085, high=14.135, low=14.07, close=14.105, volume=95915, vwap=14.1014, timestamp=1681491600000, transactions=1227, otc=None)
Agg(open=14.1, high=14.155, low=14.085, close=14.145, volume=125128, vwap=14.1252, timestamp=1681495200000, transactions=1373, otc=None)
Agg(open=14.145, high=14.2, low=14.06, close=14.19, volume=187196, vwap=14.1414, timestamp=1681498800000, transactions=1740, otc=None)
Agg(open=14.2, high=14.2, low=14.2, close=14.2, volume=20266, vwap=14.2, timestamp=1681502400000, transactions=19, otc=None)
