Agg(open=3.93, high=4, low=3.91, close=3.91, volume=14533, vwap=3.9423, timestamp=1673254800000, transactions=39, otc=None)
Agg(open=3.92, high=3.92, low=3.92, close=3.92, volume=490, vwap=3.9363, timestamp=1673258400000, transactions=8, otc=None)
Agg(open=3.92, high=3.96, low=3.91, close=3.95, volume=7317, vwap=3.9166, timestamp=1673262000000, transactions=32, otc=None)
Agg(open=3.92, high=3.95, low=3.92, close=3.95, volume=5626, vwap=3.9442, timestamp=1673265600000, transactions=23, otc=None)
Agg(open=3.95, high=3.96, low=3.94, close=3.95, volume=15078, vwap=3.9496, timestamp=1673269200000, transactions=94, otc=None)
Agg(open=3.94, high=4, low=3.91, close=3.995, volume=1142836.0, vwap=3.9677, timestamp=1673272800000, transactions=3473, otc=None)
Agg(open=3.995, high=4.03, low=3.915, close=3.98, volume=1615452.0, vwap=3.9684, timestamp=1673276400000, transactions=4776, otc=None)
Agg(open=3.985, high=4, low=3.975, close=3.9888, volume=975029, vwap=3.987, timestamp=1673280000000, transactions=3155, otc=None)
Agg(open=3.99, high=3.99, low=3.97, close=3.9899, volume=549645, vwap=3.9802, timestamp=1673283600000, transactions=2142, otc=None)
Agg(open=3.98, high=3.99, low=3.945, close=3.97, volume=915361, vwap=3.9662, timestamp=1673287200000, transactions=2783, otc=None)
Agg(open=3.962, high=3.99, low=3.935, close=3.95, volume=789915, vwap=3.9681, timestamp=1673290800000, transactions=2747, otc=None)
Agg(open=3.945, high=3.95, low=3.9, close=3.9081, volume=1579754.0, vwap=3.9244, timestamp=1673294400000, transactions=4857, otc=None)
Agg(open=3.92, high=3.93, low=3.9, close=3.9, volume=6439, vwap=3.9158, timestamp=1673298000000, transactions=18, otc=None)
Agg(open=3.9316, high=3.9316, low=3.9316, close=3.9316, volume=100, vwap=3.9316, timestamp=1673301600000, transactions=1, otc=None)
Agg(open=3.93, high=3.93, low=3.9, close=3.9, volume=650, vwap=3.9093, timestamp=1673308800000, transactions=3, otc=None)
Agg(open=3.92, high=3.92, low=3.92, close=3.92, volume=102, vwap=3.9208, timestamp=1673341200000, transactions=2, otc=None)
Agg(open=3.92, high=3.92, low=3.87, close=3.88, volume=1899, vwap=3.8915, timestamp=1673352000000, transactions=25, otc=None)
Agg(open=3.89, high=3.89, low=3.86, close=3.88, volume=6127, vwap=3.8785, timestamp=1673355600000, transactions=34, otc=None)
Agg(open=3.8348, high=3.95, low=3.83, close=3.87, volume=859844, vwap=3.8656, timestamp=1673359200000, transactions=1998, otc=None)
Agg(open=3.865, high=3.89, low=3.83, close=3.89, volume=652265, vwap=3.8555, timestamp=1673362800000, transactions=2131, otc=None)
Agg(open=3.89, high=3.92, low=3.875, close=3.895, volume=851455, vwap=3.8964, timestamp=1673366400000, transactions=1956, otc=None)
Agg(open=3.895, high=3.98, low=3.885, close=3.945, volume=757744, vwap=3.9407, timestamp=1673370000000, transactions=1754, otc=None)
Agg(open=3.945, high=4, low=3.93, close=4, volume=1487567.0, vwap=3.9678, timestamp=1673373600000, transactions=2792, otc=None)
Agg(open=3.995, high=4, low=3.945, close=3.955, volume=711635, vwap=3.9802, timestamp=1673377200000, transactions=2297, otc=None)
Agg(open=3.955, high=3.99, low=3.93, close=3.98, volume=1792265.0, vwap=3.97, timestamp=1673380800000, transactions=5013, otc=None)
Agg(open=3.98, high=3.99, low=3.96, close=3.96, volume=13013, vwap=3.979, timestamp=1673384400000, transactions=11, otc=None)
Agg(open=3.96, high=3.97, low=3.96, close=3.97, volume=559, vwap=3.9646, timestamp=1673388000000, transactions=3, otc=None)
Agg(open=3.96, high=3.96, low=3.87, close=3.9, volume=12475, vwap=3.906, timestamp=1673391600000, transactions=25, otc=None)
Agg(open=3.93, high=3.96, low=3.93, close=3.94, volume=7968, vwap=3.9355, timestamp=1673395200000, transactions=15, otc=None)
Agg(open=3.94, high=3.95, low=3.94, close=3.95, volume=938, vwap=3.9411, timestamp=1673427600000, transactions=3, otc=None)
Agg(open=3.96, high=3.96, low=3.96, close=3.96, volume=300, vwap=3.96, timestamp=1673434800000, transactions=2, otc=None)
Agg(open=3.97, high=3.99, low=3.97, close=3.98, volume=2321, vwap=3.9873, timestamp=1673438400000, transactions=17, otc=None)
Agg(open=4, high=4, low=3.98, close=3.99, volume=5423, vwap=3.9929, timestamp=1673442000000, transactions=27, otc=None)
