Agg(open=2.9, high=2.95, low=2.9, close=2.95, volume=26861, vwap=2.9374, timestamp=1680519600000, transactions=42, otc=None)
Agg(open=2.91, high=2.98, low=2.91, close=2.95, volume=49607, vwap=2.9542, timestamp=1680523200000, transactions=70, otc=None)
Agg(open=2.95, high=2.9698, low=2.92, close=2.94, volume=581884, vwap=2.9437, timestamp=1680526800000, transactions=1494, otc=None)
Agg(open=2.94, high=2.955, low=2.89, close=2.89, volume=865865, vwap=2.9249, timestamp=1680530400000, transactions=2345, otc=None)
Agg(open=2.895, high=2.9089, low=2.88, close=2.905, volume=408871, vwap=2.8956, timestamp=1680534000000, transactions=1429, otc=None)
Agg(open=2.905, high=2.94, low=2.9, close=2.935, volume=482875, vwap=2.9206, timestamp=1680537600000, transactions=1490, otc=None)
Agg(open=2.935, high=2.95, low=2.925, close=2.945, volume=424718, vwap=2.937, timestamp=1680541200000, transactions=1443, otc=None)
Agg(open=2.945, high=2.96, low=2.94, close=2.9518, volume=556595, vwap=2.9471, timestamp=1680544800000, transactions=1621, otc=None)
Agg(open=2.96, high=2.99, low=2.955, close=2.965, volume=1118794.0, vwap=2.9771, timestamp=1680548400000, transactions=3514, otc=None)
Agg(open=2.98, high=2.98, low=2.95, close=2.95, volume=143135, vwap=2.9793, timestamp=1680552000000, transactions=30, otc=None)
Agg(open=2.99, high=3, low=2.98, close=3, volume=4567, vwap=2.9977, timestamp=1680559200000, transactions=15, otc=None)
Agg(open=3, high=3, low=2.99, close=2.9999, volume=6053, vwap=2.9967, timestamp=1680562800000, transactions=17, otc=None)
Agg(open=2.98, high=2.98, low=2.98, close=2.98, volume=114, vwap=2.98, timestamp=1680598800000, transactions=1, otc=None)
Agg(open=3, high=3.01, low=3, close=3.01, volume=288, vwap=3.0055, timestamp=1680606000000, transactions=5, otc=None)
Agg(open=3, high=3.01, low=2.99, close=3, volume=12447, vwap=2.9981, timestamp=1680609600000, transactions=42, otc=None)
Agg(open=3.01, high=3.01, low=2.82, close=2.835, volume=1087214.0, vwap=2.8837, timestamp=1680613200000, transactions=2116, otc=None)
Agg(open=2.84, high=2.86, low=2.81, close=2.825, volume=1316927.0, vwap=2.8322, timestamp=1680616800000, transactions=3493, otc=None)
Agg(open=2.82, high=2.83, low=2.77, close=2.795, volume=932462, vwap=2.7996, timestamp=1680620400000, transactions=2710, otc=None)
Agg(open=2.8, high=2.82, low=2.79, close=2.815, volume=394920, vwap=2.8073, timestamp=1680624000000, transactions=1517, otc=None)
Agg(open=2.82, high=2.84, low=2.81, close=2.835, volume=535549, vwap=2.827, timestamp=1680627600000, transactions=1865, otc=None)
Agg(open=2.8321, high=2.84, low=2.8, close=2.815, volume=500830, vwap=2.8176, timestamp=1680631200000, transactions=1920, otc=None)
Agg(open=2.81, high=2.85, low=2.79, close=2.84, volume=1128574.0, vwap=2.8152, timestamp=1680634800000, transactions=3670, otc=None)
Agg(open=2.84, high=2.85, low=2.82, close=2.85, volume=70953, vwap=2.8372, timestamp=1680638400000, transactions=33, otc=None)
Agg(open=2.85, high=2.85, low=2.8109, close=2.84, volume=1645, vwap=2.8234, timestamp=1680642000000, transactions=6, otc=None)
Agg(open=2.85, high=2.85, low=2.81, close=2.81, volume=402, vwap=2.8401, timestamp=1680645600000, transactions=4, otc=None)
Agg(open=2.81, high=2.8499, low=2.81, close=2.8499, volume=300, vwap=2.8366, timestamp=1680649200000, transactions=2, otc=None)
Agg(open=2.84, high=2.85, low=2.84, close=2.85, volume=4343, vwap=2.8403, timestamp=1680692400000, transactions=13, otc=None)
Agg(open=2.84, high=2.85, low=2.81, close=2.82, volume=28748, vwap=2.8315, timestamp=1680696000000, transactions=82, otc=None)
Agg(open=2.83, high=2.83, low=2.78, close=2.78, volume=370766, vwap=2.7918, timestamp=1680699600000, transactions=1031, otc=None)
Agg(open=2.78, high=2.79, low=2.73, close=2.73, volume=1024798.0, vwap=2.7525, timestamp=1680703200000, transactions=3240, otc=None)
Agg(open=2.73, high=2.74, low=2.7, close=2.734, volume=863232, vwap=2.7217, timestamp=1680706800000, transactions=2719, otc=None)
Agg(open=2.735, high=2.74, low=2.7, close=2.7, volume=599688, vwap=2.717, timestamp=1680710400000, transactions=1745, otc=None)
Agg(open=2.705, high=2.715, low=2.69, close=2.69, volume=415766, vwap=2.703, timestamp=1680714000000, transactions=1205, otc=None)
Agg(open=2.695, high=2.71, low=2.67, close=2.67, volume=600035, vwap=2.6895, timestamp=1680717600000, transactions=2053, otc=None)
Agg(open=2.675, high=2.71, low=2.66, close=2.7, volume=892898, vwap=2.691, timestamp=1680721200000, transactions=3250, otc=None)
Agg(open=2.7, high=2.71, low=2.6904, close=2.7, volume=41511, vwap=2.7027, timestamp=1680724800000, transactions=22, otc=None)
Agg(open=2.71, high=2.71, low=2.7, close=2.7, volume=875, vwap=2.7059, timestamp=1680728400000, transactions=11, otc=None)
Agg(open=2.72, high=2.72, low=2.7, close=2.72, volume=2083, vwap=2.7152, timestamp=1680732000000, transactions=5, otc=None)
Agg(open=2.72, high=2.73, low=2.72, close=2.73, volume=500, vwap=2.722, timestamp=1680735600000, transactions=5, otc=None)
Agg(open=2.71, high=2.71, low=2.7, close=2.7, volume=6000, vwap=2.7002, timestamp=1680768000000, transactions=4, otc=None)
Agg(open=2.7, high=2.7, low=2.7, close=2.7, volume=300, vwap=2.7, timestamp=1680771600000, transactions=2, otc=None)
Agg(open=2.7, high=2.7, low=2.7, close=2.7, volume=100, vwap=2.7, timestamp=1680775200000, transactions=1, otc=None)
Agg(open=2.71, high=2.75, low=2.71, close=2.75, volume=13152, vwap=2.7304, timestamp=1680778800000, transactions=11, otc=None)
Agg(open=2.74, high=2.75, low=2.7, close=2.72, volume=18279, vwap=2.7184, timestamp=1680782400000, transactions=81, otc=None)
Agg(open=2.7101, high=2.72, low=2.625, close=2.645, volume=516706, vwap=2.6577, timestamp=1680786000000, transactions=1518, otc=None)
Agg(open=2.645, high=2.675, low=2.64, close=2.655, volume=592053, vwap=2.6552, timestamp=1680789600000, transactions=1933, otc=None)
Agg(open=2.65, high=2.69, low=2.615, close=2.685, volume=1215099.0, vwap=2.6424, timestamp=1680793200000, transactions=4812, otc=None)
Agg(open=2.69, high=2.72, low=2.68, close=2.7001, volume=429942, vwap=2.6967, timestamp=1680796800000, transactions=1226, otc=None)
Agg(open=2.7, high=2.7, low=2.68, close=2.69, volume=294109, vwap=2.6925, timestamp=1680800400000, transactions=1177, otc=None)
Agg(open=2.69, high=2.71, low=2.69, close=2.69, volume=409012, vwap=2.6987, timestamp=1680804000000, transactions=1625, otc=None)
Agg(open=2.69, high=2.71, low=2.68, close=2.71, volume=1144466.0, vwap=2.6923, timestamp=1680807600000, transactions=3471, otc=None)
Agg(open=2.69, high=2.71, low=2.68, close=2.68, volume=47344, vwap=2.6926, timestamp=1680811200000, transactions=23, otc=None)
Agg(open=2.71, high=2.71, low=2.71, close=2.71, volume=1556, vwap=2.71, timestamp=1680814800000, transactions=3, otc=None)
