Agg(open=3.89, high=3.94, low=3.89, close=3.915, volume=131475, vwap=3.9183, timestamp=1697461200000, transactions=360, otc=None)
Agg(open=3.91, high=3.97, low=3.905, close=3.945, volume=284414, vwap=3.9325, timestamp=1697464800000, transactions=582, otc=None)
Agg(open=3.945, high=3.95, low=3.93, close=3.94, volume=82364, vwap=3.9404, timestamp=1697468400000, transactions=349, otc=None)
Agg(open=3.945, high=3.9537, low=3.94, close=3.95, volume=125991, vwap=3.9453, timestamp=1697472000000, transactions=386, otc=None)
Agg(open=3.955, high=3.965, low=3.935, close=3.965, volume=163697, vwap=3.9487, timestamp=1697475600000, transactions=367, otc=None)
Agg(open=3.97, high=3.9772, low=3.96, close=3.9772, volume=63965, vwap=3.9653, timestamp=1697479200000, transactions=331, otc=None)
Agg(open=3.97, high=3.99, low=3.97, close=3.98, volume=372940, vwap=3.9808, timestamp=1697482800000, transactions=1180, otc=None)
Agg(open=3.94, high=3.94, low=3.865, close=3.875, volume=108133, vwap=3.8975, timestamp=1697547600000, transactions=406, otc=None)
Agg(open=3.875, high=3.945, low=3.875, close=3.94, volume=167803, vwap=3.9164, timestamp=1697551200000, transactions=510, otc=None)
Agg(open=3.94, high=3.955, low=3.92, close=3.93, volume=87158, vwap=3.9398, timestamp=1697554800000, transactions=404, otc=None)
Agg(open=3.94, high=3.945, low=3.925, close=3.94, volume=98921, vwap=3.935, timestamp=1697558400000, transactions=400, otc=None)
Agg(open=3.935, high=3.94, low=3.89, close=3.89, volume=59368, vwap=3.919, timestamp=1697562000000, transactions=364, otc=None)
Agg(open=3.89, high=3.91, low=3.88, close=3.885, volume=297802, vwap=3.8954, timestamp=1697565600000, transactions=758, otc=None)
Agg(open=3.885, high=3.9, low=3.875, close=3.9, volume=329024, vwap=3.8887, timestamp=1697569200000, transactions=1344, otc=None)
Agg(open=3.84, high=3.87, low=3.84, close=3.86, volume=62834, vwap=3.8598, timestamp=1697634000000, transactions=290, otc=None)
Agg(open=3.865, high=3.87, low=3.8314, close=3.85, volume=132222, vwap=3.8539, timestamp=1697637600000, transactions=489, otc=None)
Agg(open=3.85, high=3.89, low=3.83, close=3.87, volume=164350, vwap=3.8666, timestamp=1697641200000, transactions=508, otc=None)
Agg(open=3.87, high=3.89, low=3.86, close=3.89, volume=58965, vwap=3.8753, timestamp=1697644800000, transactions=231, otc=None)
Agg(open=3.895, high=3.915, low=3.885, close=3.905, volume=85683, vwap=3.8993, timestamp=1697648400000, transactions=315, otc=None)
Agg(open=3.9, high=3.91, low=3.875, close=3.88, volume=108670, vwap=3.8895, timestamp=1697652000000, transactions=675, otc=None)
Agg(open=3.88, high=3.89, low=3.87, close=3.87, volume=170947, vwap=3.8742, timestamp=1697655600000, transactions=1137, otc=None)
Agg(open=3.87, high=3.87, low=3.87, close=3.87, volume=200, vwap=3.87, timestamp=1697659200000, transactions=1, otc=None)
Agg(open=3.87, high=3.92, low=3.87, close=3.915, volume=222474, vwap=3.8994, timestamp=1697720400000, transactions=549, otc=None)
Agg(open=3.91, high=3.93, low=3.89, close=3.895, volume=86536, vwap=3.9137, timestamp=1697724000000, transactions=423, otc=None)
Agg(open=3.89, high=3.915, low=3.89, close=3.89, volume=688463, vwap=3.8991, timestamp=1697727600000, transactions=1039, otc=None)
Agg(open=3.89, high=3.915, low=3.855, close=3.895, volume=147074, vwap=3.8912, timestamp=1697731200000, transactions=541, otc=None)
Agg(open=3.895, high=3.915, low=3.89, close=3.905, volume=266776, vwap=3.9057, timestamp=1697734800000, transactions=569, otc=None)
Agg(open=3.9, high=3.91, low=3.87, close=3.885, volume=165274, vwap=3.8899, timestamp=1697738400000, transactions=686, otc=None)
Agg(open=3.88, high=3.89, low=3.87, close=3.87, volume=89247, vwap=3.8797, timestamp=1697742000000, transactions=748, otc=None)
Agg(open=3.86, high=3.935, low=3.86, close=3.93, volume=147297, vwap=3.9136, timestamp=1697806800000, transactions=404, otc=None)
Agg(open=3.93, high=3.935, low=3.89, close=3.92, volume=112054, vwap=3.9066, timestamp=1697810400000, transactions=432, otc=None)
Agg(open=3.915, high=3.95, low=3.915, close=3.935, volume=123524, vwap=3.9327, timestamp=1697814000000, transactions=535, otc=None)
Agg(open=3.93, high=3.93, low=3.911, close=3.925, volume=109775, vwap=3.9202, timestamp=1697817600000, transactions=733, otc=None)
Agg(open=3.92, high=3.93, low=3.9, close=3.915, volume=109186, vwap=3.919, timestamp=1697821200000, transactions=430, otc=None)
Agg(open=3.92, high=3.925, low=3.895, close=3.9, volume=71876, vwap=3.9069, timestamp=1697824800000, transactions=452, otc=None)
Agg(open=3.9, high=3.91, low=3.89, close=3.91, volume=172328, vwap=3.9023, timestamp=1697828400000, transactions=1051, otc=None)
Agg(open=3.91, high=3.91, low=3.91, close=3.91, volume=100, vwap=3.91, timestamp=1697832000000, transactions=1, otc=None)
