Agg(open=15.51, high=15.51, low=15.44, close=15.44, volume=1021, vwap=15.4698, timestamp=1699261200000, transactions=12, otc=None)
Agg(open=15.32, high=15.59, low=15.32, close=15.59, volume=1168, vwap=15.5486, timestamp=1699268400000, transactions=17, otc=None)
Agg(open=15.5, high=15.5, low=15.5, close=15.5, volume=100, vwap=15.5, timestamp=1699272000000, transactions=1, otc=None)
Agg(open=15.6, high=15.6, low=15.5, close=15.5, volume=2076, vwap=15.5606, timestamp=1699275600000, transactions=54, otc=None)
Agg(open=15.57, high=15.77, low=15.47, close=15.54, volume=701837, vwap=15.5569, timestamp=1699279200000, transactions=5612, otc=None)
Agg(open=15.535, high=15.75, low=15.49, close=15.605, volume=1126575.0, vwap=15.5917, timestamp=1699282800000, transactions=9870, otc=None)
Agg(open=15.605, high=15.895, low=15.57, close=15.8846, volume=876341, vwap=15.7165, timestamp=1699286400000, transactions=7467, otc=None)
Agg(open=15.89, high=16, low=15.78, close=15.95, volume=802828, vwap=15.8912, timestamp=1699290000000, transactions=7352, otc=None)
Agg(open=15.96, high=15.98, low=15.84, close=15.95, volume=749125, vwap=15.9178, timestamp=1699293600000, transactions=6742, otc=None)
Agg(open=15.95, high=16.06, low=15.88, close=16.06, volume=1007148.0, vwap=15.9791, timestamp=1699297200000, transactions=8365, otc=None)
Agg(open=16.06, high=16.08, low=15.865, close=15.945, volume=2851405.0, vwap=15.9641, timestamp=1699300800000, transactions=18420, otc=None)
Agg(open=15.95, high=15.96, low=15.9087, close=15.9087, volume=283108, vwap=15.95, timestamp=1699304400000, transactions=49, otc=None)
Agg(open=15.96, high=16.28, low=15.96, close=16.08, volume=23470, vwap=16.1651, timestamp=1699308000000, transactions=68, otc=None)
Agg(open=16.07, high=16.07, low=16.07, close=16.07, volume=200, vwap=16.07, timestamp=1699311600000, transactions=1, otc=None)
Agg(open=16.18, high=16.19, low=16.17, close=16.19, volume=1854, vwap=16.1836, timestamp=1699315200000, transactions=13, otc=None)
Agg(open=16.07, high=16.07, low=16.07, close=16.07, volume=500, vwap=16.07, timestamp=1699347600000, transactions=7, otc=None)
Agg(open=16.07, high=16.07, low=16.05, close=16.05, volume=2647, vwap=16.0623, timestamp=1699351200000, transactions=24, otc=None)
Agg(open=16.05, high=16.05, low=16.05, close=16.05, volume=543, vwap=16.0493, timestamp=1699354800000, transactions=10, otc=None)
Agg(open=16.08, high=16.1, low=16.07, close=16.1, volume=1744, vwap=16.0966, timestamp=1699358400000, transactions=16, otc=None)
Agg(open=16.0988, high=16.12, low=16.05, close=16.12, volume=4766, vwap=16.0912, timestamp=1699362000000, transactions=36, otc=None)
Agg(open=16.11, high=16.475, low=15.89, close=16.37, volume=1249455.0, vwap=16.2063, timestamp=1699365600000, transactions=8937, otc=None)
Agg(open=16.375, high=16.545, low=16.245, close=16.33, volume=1167641.0, vwap=16.4155, timestamp=1699369200000, transactions=11613, otc=None)
Agg(open=16.32, high=16.425, low=16.12, close=16.15, volume=800189, vwap=16.3024, timestamp=1699372800000, transactions=8697, otc=None)
Agg(open=16.155, high=16.16, low=15.91, close=15.94, volume=703253, vwap=16.0363, timestamp=1699376400000, transactions=7171, otc=None)
Agg(open=15.94, high=15.955, low=15.78, close=15.795, volume=1002209.0, vwap=15.8605, timestamp=1699380000000, transactions=6545, otc=None)
Agg(open=15.8, high=15.9678, low=15.8, close=15.962, volume=547180, vwap=15.9054, timestamp=1699383600000, transactions=5562, otc=None)
Agg(open=15.96, high=16.1, low=15.925, close=15.99, volume=1808980.0, vwap=16.0408, timestamp=1699387200000, transactions=11910, otc=None)
Agg(open=15.99, high=16.15, low=15.99, close=16.15, volume=1208253.0, vwap=15.99, timestamp=1699390800000, transactions=58, otc=None)
Agg(open=16.23, high=16.23, low=16.23, close=16.23, volume=200, vwap=16.1911, timestamp=1699394400000, transactions=9, otc=None)
Agg(open=16, high=16, low=16, close=16, volume=174, vwap=16.0014, timestamp=1699401600000, transactions=3, otc=None)
Agg(open=16.11, high=16.11, low=16.11, close=16.11, volume=462, vwap=16.1085, timestamp=1699444800000, transactions=4, otc=None)
Agg(open=16.08, high=16.14, low=16.02, close=16.14, volume=2104, vwap=16.1238, timestamp=1699448400000, transactions=22, otc=None)
Agg(open=15.97, high=16.12, low=15.72, close=15.9275, volume=519632, vwap=15.9338, timestamp=1699452000000, transactions=4988, otc=None)
Agg(open=15.93, high=15.95, low=15.61, close=15.61, volume=741054, vwap=15.7595, timestamp=1699455600000, transactions=8915, otc=None)
Agg(open=15.61, high=15.675, low=15.505, close=15.605, volume=684377, vwap=15.5912, timestamp=1699459200000, transactions=8867, otc=None)
Agg(open=15.61, high=15.65, low=15.5021, close=15.55, volume=801967, vwap=15.5733, timestamp=1699462800000, transactions=9243, otc=None)
Agg(open=15.54, high=15.62, low=15.46, close=15.5, volume=631889, vwap=15.5215, timestamp=1699466400000, transactions=7273, otc=None)
Agg(open=15.5, high=15.615, low=15.49, close=15.555, volume=525882, vwap=15.5491, timestamp=1699470000000, transactions=5797, otc=None)
Agg(open=15.5575, high=15.63, low=15.495, close=15.58, volume=1174138.0, vwap=15.5776, timestamp=1699473600000, transactions=11127, otc=None)
Agg(open=15.6, high=15.6, low=15.5, close=15.5, volume=73006, vwap=15.5977, timestamp=1699477200000, transactions=31, otc=None)
Agg(open=15.58, high=15.58, low=15.58, close=15.58, volume=100, vwap=15.58, timestamp=1699520400000, transactions=1, otc=None)
Agg(open=15.58, high=15.58, low=15.58, close=15.58, volume=108, vwap=15.58, timestamp=1699524000000, transactions=2, otc=None)
