Agg(open=15.16, high=15.19, low=15.16, close=15.19, volume=1567, vwap=15.1732, timestamp=1674478800000, transactions=11, otc=None)
Agg(open=15.3, high=15.32, low=14.945, close=15.0001, volume=350371, vwap=15.0575, timestamp=1674482400000, transactions=2587, otc=None)
Agg(open=15, high=15.045, low=14.895, close=14.995, volume=475254, vwap=14.9627, timestamp=1674486000000, transactions=4247, otc=None)
Agg(open=14.99, high=14.99, low=14.78, close=14.925, volume=412411, vwap=14.8947, timestamp=1674489600000, transactions=3080, otc=None)
Agg(open=14.93, high=14.995, low=14.92, close=14.99, volume=209408, vwap=14.9599, timestamp=1674493200000, transactions=1590, otc=None)
Agg(open=14.99, high=14.99, low=14.9, close=14.91, volume=185226, vwap=14.9361, timestamp=1674496800000, transactions=1359, otc=None)
Agg(open=14.91, high=14.929, low=14.76, close=14.825, volume=227854, vwap=14.8444, timestamp=1674500400000, transactions=2295, otc=None)
Agg(open=14.83, high=14.885, low=14.815, close=14.855, volume=530878, vwap=14.8523, timestamp=1674504000000, transactions=3755, otc=None)
Agg(open=14.86, high=14.88, low=14.81, close=14.81, volume=22880, vwap=14.8599, timestamp=1674507600000, transactions=17, otc=None)
Agg(open=14.88, high=14.88, low=14.88, close=14.88, volume=300, vwap=14.8799, timestamp=1674511200000, transactions=3, otc=None)
Agg(open=14.9, high=14.9, low=14.9, close=14.9, volume=100, vwap=14.9, timestamp=1674518400000, transactions=1, otc=None)
Agg(open=14.8, high=14.86, low=14.8, close=14.86, volume=2071, vwap=14.8568, timestamp=1674561600000, transactions=12, otc=None)
Agg(open=14.75, high=14.88, low=14.75, close=14.8, volume=1674, vwap=14.7772, timestamp=1674565200000, transactions=8, otc=None)
Agg(open=14.8, high=14.85, low=14.6502, close=14.8, volume=168728, vwap=14.7482, timestamp=1674568800000, transactions=1415, otc=None)
Agg(open=14.79, high=15.17, low=14.775, close=15.0607, volume=529404, vwap=15.0092, timestamp=1674572400000, transactions=3281, otc=None)
Agg(open=15.06, high=15.17, low=15.035, close=15.165, volume=236628, vwap=15.0832, timestamp=1674576000000, transactions=1782, otc=None)
Agg(open=15.165, high=15.165, low=15.05, close=15.11, volume=140492, vwap=15.1117, timestamp=1674579600000, transactions=1172, otc=None)
Agg(open=15.105, high=15.12, low=15.0625, close=15.08, volume=135423, vwap=15.0908, timestamp=1674583200000, transactions=1249, otc=None)
Agg(open=15.075, high=15.165, low=15.035, close=15.045, volume=461432, vwap=15.082, timestamp=1674586800000, transactions=2485, otc=None)
Agg(open=15.05, high=15.12, low=14.975, close=15.09, volume=653055, vwap=15.0519, timestamp=1674590400000, transactions=3981, otc=None)
Agg(open=15.09, high=15.09, low=15.0594, close=15.0594, volume=230333, vwap=15.0764, timestamp=1674594000000, transactions=17, otc=None)
Agg(open=15.08, high=15.08, low=14.98, close=14.98, volume=1500, vwap=15.0133, timestamp=1674604800000, transactions=2, otc=None)
Agg(open=15.02, high=15.02, low=15.01, close=15.01, volume=200, vwap=15.015, timestamp=1674651600000, transactions=2, otc=None)
Agg(open=15.01, high=15.37, low=14.95, close=15.12, volume=332130, vwap=15.2264, timestamp=1674655200000, transactions=2392, otc=None)
Agg(open=15.13, high=15.159, low=15.025, close=15.125, volume=312835, vwap=15.0781, timestamp=1674658800000, transactions=2102, otc=None)
Agg(open=15.13, high=15.215, low=15.085, close=15.085, volume=282666, vwap=15.1477, timestamp=1674662400000, transactions=1776, otc=None)
