Agg(open=8.45, high=8.45, low=8.45, close=8.45, volume=960, vwap=8.4505, timestamp=1681729200000, transactions=2, otc=None)
Agg(open=8.32, high=8.42, low=8.32, close=8.39, volume=234579, vwap=8.3819, timestamp=1681736400000, transactions=2272, otc=None)
Agg(open=8.39, high=8.435, low=8.35, close=8.39, volume=404962, vwap=8.396, timestamp=1681740000000, transactions=4056, otc=None)
Agg(open=8.395, high=8.49, low=8.375, close=8.43, volume=410117, vwap=8.4375, timestamp=1681743600000, transactions=3499, otc=None)
Agg(open=8.435, high=8.515, low=8.42, close=8.465, volume=349763, vwap=8.4627, timestamp=1681747200000, transactions=2893, otc=None)
Agg(open=8.46, high=8.56, low=8.45, close=8.535, volume=624609, vwap=8.5029, timestamp=1681750800000, transactions=4178, otc=None)
Agg(open=8.535, high=8.63, low=8.535, close=8.605, volume=877436, vwap=8.5871, timestamp=1681754400000, transactions=4742, otc=None)
Agg(open=8.605, high=8.64, low=8.565, close=8.58, volume=1814961.0, vwap=8.5978, timestamp=1681758000000, transactions=7453, otc=None)
Agg(open=8.59, high=8.59, low=8.59, close=8.59, volume=59940, vwap=8.59, timestamp=1681761600000, transactions=22, otc=None)
Agg(open=8.61, high=8.65, low=8.61, close=8.65, volume=449, vwap=8.6322, timestamp=1681772400000, transactions=3, otc=None)
Agg(open=8.68, high=8.68, low=8.62, close=8.62, volume=225, vwap=8.6484, timestamp=1681815600000, transactions=3, otc=None)
Agg(open=8.62, high=8.62, low=8.62, close=8.62, volume=125, vwap=8.627, timestamp=1681819200000, transactions=2, otc=None)
Agg(open=8.66, high=8.66, low=8.53, close=8.53, volume=189178, vwap=8.6041, timestamp=1681822800000, transactions=1582, otc=None)
Agg(open=8.535, high=8.54, low=8.44, close=8.475, volume=317415, vwap=8.4933, timestamp=1681826400000, transactions=3165, otc=None)
Agg(open=8.48, high=8.5, low=8.44, close=8.445, volume=252574, vwap=8.4669, timestamp=1681830000000, transactions=2071, otc=None)
Agg(open=8.445, high=8.45, low=8.39, close=8.4, volume=279391, vwap=8.425, timestamp=1681833600000, transactions=2423, otc=None)
