Agg(open=9.27, high=9.27, low=9, close=9, volume=16806, vwap=9.1251, timestamp=1682938800000, transactions=41, otc=None)
Agg(open=9.2501, high=9.2501, low=8.86, close=8.95, volume=48780, vwap=9.0929, timestamp=1682942400000, transactions=67, otc=None)
Agg(open=8.92, high=9.02, low=8.12, close=8.16, volume=3192829.0, vwap=8.3715, timestamp=1682946000000, transactions=15637, otc=None)
Agg(open=8.15, high=8.26, low=8.005, close=8.0388, volume=4598832.0, vwap=8.0896, timestamp=1682949600000, transactions=20484, otc=None)
Agg(open=8.04, high=8.07, low=7.79, close=7.95, volume=2890603.0, vwap=7.932, timestamp=1682953200000, transactions=13478, otc=None)
Agg(open=7.945, high=8.09, low=7.82, close=7.82, volume=1906222.0, vwap=7.9749, timestamp=1682956800000, transactions=10288, otc=None)
Agg(open=7.8209, high=7.87, low=7.705, close=7.825, volume=2570843.0, vwap=7.7857, timestamp=1682960400000, transactions=12090, otc=None)
Agg(open=7.83, high=7.9, low=7.7, close=7.715, volume=2551643.0, vwap=7.7675, timestamp=1682964000000, transactions=11460, otc=None)
Agg(open=7.715, high=7.72, low=7.44, close=7.53, volume=9141318.0, vwap=7.5501, timestamp=1682967600000, transactions=33881, otc=None)
Agg(open=7.53, high=7.57, low=7.46, close=7.54, volume=23081, vwap=7.5385, timestamp=1682971200000, transactions=53, otc=None)
Agg(open=7.685, high=7.69, low=7.55, close=7.69, volume=3478, vwap=7.6735, timestamp=1682974800000, transactions=9, otc=None)
Agg(open=7.69, high=7.69, low=7.65, close=7.65, volume=1897, vwap=7.6692, timestamp=1682978400000, transactions=11, otc=None)
Agg(open=7.62, high=7.62, low=7.61, close=7.61, volume=2667, vwap=7.6104, timestamp=1682982000000, transactions=9, otc=None)
Agg(open=7.68, high=7.68, low=7.52, close=7.52, volume=477, vwap=7.6179, timestamp=1683021600000, transactions=5, otc=None)
Agg(open=7.53, high=7.6, low=7.53, close=7.6, volume=1472, vwap=7.5599, timestamp=1683025200000, transactions=18, otc=None)
Agg(open=7.6997, high=7.7, low=7.54, close=7.57, volume=48698, vwap=7.6653, timestamp=1683028800000, transactions=62, otc=None)
Agg(open=7.6001, high=7.735, low=7.38, close=7.665, volume=1661871.0, vwap=7.6087, timestamp=1683032400000, transactions=8591, otc=None)
Agg(open=7.665, high=7.69, low=7.04, close=7.1, volume=4559979.0, vwap=7.264, timestamp=1683036000000, transactions=24176, otc=None)
Agg(open=7.095, high=7.13, low=6.96, close=7.03, volume=3459327.0, vwap=7.0427, timestamp=1683039600000, transactions=17188, otc=None)
Agg(open=7.03, high=7.11, low=7, close=7.045, volume=1354064.0, vwap=7.0533, timestamp=1683043200000, transactions=8980, otc=None)
Agg(open=7.045, high=7.18, low=7.02, close=7.12, volume=1707000.0, vwap=7.1082, timestamp=1683046800000, transactions=9786, otc=None)
Agg(open=7.125, high=7.17, low=7.08, close=7.16, volume=1482635.0, vwap=7.1203, timestamp=1683050400000, transactions=8214, otc=None)
Agg(open=7.16, high=7.3, low=7.09, close=7.3, volume=2848870.0, vwap=7.1799, timestamp=1683054000000, transactions=14609, otc=None)
Agg(open=7.3, high=7.3, low=7.29, close=7.3, volume=28201, vwap=7.3, timestamp=1683057600000, transactions=18, otc=None)
Agg(open=7.3, high=7.3, low=7.3, close=7.3, volume=470, vwap=7.2981, timestamp=1683061200000, transactions=4, otc=None)
Agg(open=7.31, high=7.31, low=7.31, close=7.31, volume=100, vwap=7.31, timestamp=1683064800000, transactions=1, otc=None)
Agg(open=7.3001, high=7.31, low=7.3001, close=7.31, volume=1000, vwap=7.3051, timestamp=1683068400000, transactions=2, otc=None)
Agg(open=7.29, high=7.29, low=7.27, close=7.27, volume=572, vwap=7.2831, timestamp=1683100800000, transactions=4, otc=None)
Agg(open=7.26, high=7.26, low=7.26, close=7.26, volume=100, vwap=7.26, timestamp=1683108000000, transactions=1, otc=None)
Agg(open=7.26, high=7.55, low=7.26, close=7.5, volume=14209, vwap=7.3917, timestamp=1683111600000, transactions=27, otc=None)
Agg(open=7.35, high=7.36, low=7.005, close=7.23, volume=10472, vwap=7.2889, timestamp=1683115200000, transactions=43, otc=None)
Agg(open=7.3, high=7.45, low=7.25, close=7.345, volume=696961, vwap=7.3486, timestamp=1683118800000, transactions=5152, otc=None)
Agg(open=7.34, high=7.45, low=7.24, close=7.285, volume=1030194.0, vwap=7.3368, timestamp=1683122400000, transactions=8047, otc=None)
Agg(open=7.29, high=7.49, low=7.27, close=7.4401, volume=933046, vwap=7.3905, timestamp=1683126000000, transactions=6864, otc=None)
Agg(open=7.445, high=7.545, low=7.435, close=7.535, volume=834184, vwap=7.4752, timestamp=1683129600000, transactions=5991, otc=None)
Agg(open=7.535, high=7.64, low=7.51, close=7.625, volume=815654, vwap=7.5625, timestamp=1683133200000, transactions=6586, otc=None)
Agg(open=7.62, high=7.685, low=7.53, close=7.61, volume=1205932.0, vwap=7.6011, timestamp=1683136800000, transactions=10837, otc=None)
Agg(open=7.605, high=7.62, low=7.28, close=7.31, volume=4199526.0, vwap=7.3751, timestamp=1683140400000, transactions=21916, otc=None)
Agg(open=7.32, high=7.32, low=6.8, close=6.81, volume=111313, vwap=7.2291, timestamp=1683144000000, transactions=133, otc=None)
Agg(open=6.8, high=6.9, low=5.41, close=6.35, volume=278091, vwap=6.2317, timestamp=1683147600000, transactions=610, otc=None)
Agg(open=6.35, high=6.64, low=6.35, close=6.6, volume=19842, vwap=6.5477, timestamp=1683151200000, transactions=40, otc=None)
Agg(open=6.6, high=6.98, low=6.56, close=6.98, volume=10732, vwap=6.6536, timestamp=1683154800000, transactions=38, otc=None)
Agg(open=7.01, high=7.02, low=6.89, close=6.89, volume=3775, vwap=6.9685, timestamp=1683187200000, transactions=18, otc=None)
