Agg(open=16.73, high=16.73, low=16.6, close=16.63, volume=47209, vwap=16.6661, timestamp=1699279200000, transactions=628, otc=None)
Agg(open=16.64, high=16.68, low=16.565, close=16.575, volume=86580, vwap=16.6146, timestamp=1699282800000, transactions=1306, otc=None)
Agg(open=16.57, high=16.66, low=16.55, close=16.66, volume=57415, vwap=16.5945, timestamp=1699286400000, transactions=966, otc=None)
Agg(open=16.66, high=16.71, low=16.63, close=16.69, volume=72993, vwap=16.6794, timestamp=1699290000000, transactions=999, otc=None)
Agg(open=16.695, high=16.7, low=16.61, close=16.665, volume=106080, vwap=16.6638, timestamp=1699293600000, transactions=1272, otc=None)
Agg(open=16.665, high=16.705, low=16.615, close=16.655, volume=141181, vwap=16.6553, timestamp=1699297200000, transactions=1630, otc=None)
Agg(open=16.65, high=16.7, low=16.61, close=16.63, volume=454206, vwap=16.6622, timestamp=1699300800000, transactions=4134, otc=None)
Agg(open=16.64, high=16.64, low=16.64, close=16.64, volume=54048, vwap=16.64, timestamp=1699304400000, transactions=21, otc=None)
Agg(open=16.61, high=16.62, low=16.44, close=16.6, volume=45612, vwap=16.5288, timestamp=1699365600000, transactions=604, otc=None)
Agg(open=16.6, high=16.71, low=16.555, close=16.685, volume=100483, vwap=16.6301, timestamp=1699369200000, transactions=1406, otc=None)
Agg(open=16.68, high=16.68, low=16.535, close=16.5701, volume=90186, vwap=16.5918, timestamp=1699372800000, transactions=1287, otc=None)
Agg(open=16.57, high=16.57, low=16.44, close=16.47, volume=103879, vwap=16.4929, timestamp=1699376400000, transactions=1091, otc=None)
Agg(open=16.47, high=16.49, low=16.41, close=16.41, volume=138309, vwap=16.4588, timestamp=1699380000000, transactions=1552, otc=None)
Agg(open=16.42, high=16.485, low=16.42, close=16.455, volume=104868, vwap=16.4418, timestamp=1699383600000, transactions=1596, otc=None)
Agg(open=16.4504, high=16.55, low=16.43, close=16.55, volume=316422, vwap=16.5046, timestamp=1699387200000, transactions=3398, otc=None)
Agg(open=16.55, high=16.55, low=16.55, close=16.55, volume=18943, vwap=16.55, timestamp=1699390800000, transactions=26, otc=None)
Agg(open=16.5, high=16.73, low=16.5, close=16.715, volume=42833, vwap=16.6289, timestamp=1699452000000, transactions=499, otc=None)
Agg(open=16.71, high=16.75, low=16.58, close=16.62, volume=110878, vwap=16.6318, timestamp=1699455600000, transactions=1256, otc=None)
Agg(open=16.62, high=16.63, low=16.48, close=16.49, volume=99470, vwap=16.5524, timestamp=1699459200000, transactions=1362, otc=None)
Agg(open=16.49, high=16.5, low=16.431, close=16.465, volume=69983, vwap=16.4647, timestamp=1699462800000, transactions=1152, otc=None)
Agg(open=16.465, high=16.52, low=16.45, close=16.485, volume=138843, vwap=16.4909, timestamp=1699466400000, transactions=1457, otc=None)
Agg(open=16.485, high=16.505, low=16.39, close=16.39, volume=109483, vwap=16.4585, timestamp=1699470000000, transactions=1872, otc=None)
Agg(open=16.395, high=16.465, low=16.35, close=16.44, volume=362767, vwap=16.4109, timestamp=1699473600000, transactions=4021, otc=None)
Agg(open=16.43, high=16.43, low=16.43, close=16.43, volume=11632, vwap=16.43, timestamp=1699477200000, transactions=26, otc=None)
Agg(open=16.48, high=16.5, low=16.34, close=16.39, volume=54424, vwap=16.4017, timestamp=1699538400000, transactions=688, otc=None)
Agg(open=16.408, high=16.408, low=16.28, close=16.37, volume=125880, vwap=16.3484, timestamp=1699542000000, transactions=1221, otc=None)
Agg(open=16.35, high=16.395, low=16.319, close=16.35, volume=208738, vwap=16.3493, timestamp=1699545600000, transactions=1432, otc=None)
Agg(open=16.33, high=16.36, low=16.31, close=16.345, volume=66417, vwap=16.3333, timestamp=1699549200000, transactions=1099, otc=None)
Agg(open=16.345, high=16.345, low=16.09, close=16.13, volume=230598, vwap=16.1721, timestamp=1699552800000, transactions=1917, otc=None)
Agg(open=16.11, high=16.12, low=16.01, close=16.07, volume=114039, vwap=16.0635, timestamp=1699556400000, transactions=1830, otc=None)
Agg(open=16.06, high=16.1767, low=16.02, close=16.13, volume=321383, vwap=16.129, timestamp=1699560000000, transactions=3980, otc=None)
Agg(open=16.14, high=16.14, low=16.14, close=16.14, volume=24063, vwap=16.14, timestamp=1699563600000, transactions=23, otc=None)
Agg(open=15.76, high=15.88, low=14.65, close=15.6681, volume=185430, vwap=15.2597, timestamp=1699624800000, transactions=1568, otc=None)
Agg(open=15.65, high=15.66, low=15.35, close=15.54, volume=290133, vwap=15.5048, timestamp=1699628400000, transactions=3362, otc=None)
Agg(open=15.54, high=15.67, low=15.46, close=15.51, volume=142613, vwap=15.539, timestamp=1699632000000, transactions=1672, otc=None)
Agg(open=15.5, high=15.64, low=15.5, close=15.629, volume=97602, vwap=15.5569, timestamp=1699635600000, transactions=1436, otc=None)
Agg(open=15.63, high=15.7, low=15.545, close=15.68, volume=115599, vwap=15.6134, timestamp=1699639200000, transactions=1344, otc=None)
Agg(open=15.68, high=15.87, low=15.68, close=15.83, volume=139142, vwap=15.8018, timestamp=1699642800000, transactions=1945, otc=None)
Agg(open=15.825, high=15.93, low=15.75, close=15.92, volume=386852, vwap=15.8722, timestamp=1699646400000, transactions=4288, otc=None)
Agg(open=15.92, high=15.92, low=15.92, close=15.92, volume=28301, vwap=15.92, timestamp=1699650000000, transactions=28, otc=None)
