Agg(open=23, high=23, low=23, close=23, volume=100, vwap=23, timestamp=1673946000000, transactions=1, otc=None)
Agg(open=22.76, high=22.76, low=22.75, close=22.75, volume=3813, vwap=22.7553, timestamp=1673956800000, transactions=15, otc=None)
Agg(open=22.75, high=22.95, low=22.61, close=22.84, volume=12393, vwap=22.7651, timestamp=1673960400000, transactions=68, otc=None)
Agg(open=22.85, high=23.49, low=22.85, close=23.175, volume=411680, vwap=23.185, timestamp=1673964000000, transactions=3785, otc=None)
Agg(open=23.18, high=23.195, low=22.96, close=22.98, volume=290588, vwap=23.089, timestamp=1673967600000, transactions=3871, otc=None)
Agg(open=22.985, high=22.99, low=22.83, close=22.94, volume=262672, vwap=22.9282, timestamp=1673971200000, transactions=3298, otc=None)
Agg(open=22.94, high=23.0813, low=22.935, close=23.035, volume=291734, vwap=23.019, timestamp=1673974800000, transactions=3792, otc=None)
Agg(open=23.035, high=23.06, low=22.9, close=22.9, volume=274099, vwap=22.9818, timestamp=1673978400000, transactions=3417, otc=None)
Agg(open=22.9, high=22.985, low=22.775, close=22.85, volume=524046, vwap=22.8816, timestamp=1673982000000, transactions=5244, otc=None)
Agg(open=22.85, high=22.8597, low=22.71, close=22.82, volume=1182296.0, vwap=22.792, timestamp=1673985600000, transactions=10504, otc=None)
Agg(open=22.82, high=22.82, low=22.82, close=22.82, volume=19473, vwap=22.82, timestamp=1673989200000, transactions=27, otc=None)
Agg(open=22.62, high=22.62, low=22.62, close=22.62, volume=500, vwap=22.6215, timestamp=1673996400000, transactions=5, otc=None)
Agg(open=22.82, high=22.82, low=22.82, close=22.82, volume=258, vwap=22.82, timestamp=1674000000000, transactions=1, otc=None)
Agg(open=22.82, high=22.91, low=22.82, close=22.91, volume=404, vwap=22.8466, timestamp=1674046800000, transactions=4, otc=None)
Agg(open=22.9101, high=23.01, low=22.67, close=22.745, volume=248109, vwap=22.8584, timestamp=1674050400000, transactions=2614, otc=None)
Agg(open=22.75, high=22.77, low=22.345, close=22.54, volume=454424, vwap=22.5599, timestamp=1674054000000, transactions=4858, otc=None)
Agg(open=22.54, high=22.545, low=22.435, close=22.535, volume=296361, vwap=22.4962, timestamp=1674057600000, transactions=3467, otc=None)
Agg(open=22.537, high=22.68, low=22.5, close=22.58, volume=404354, vwap=22.578, timestamp=1674061200000, transactions=3319, otc=None)
Agg(open=22.575, high=22.725, low=22.54, close=22.615, volume=395213, vwap=22.6393, timestamp=1674064800000, transactions=3277, otc=None)
Agg(open=22.62, high=22.805, low=22.615, close=22.71, volume=339140, vwap=22.7386, timestamp=1674068400000, transactions=3451, otc=None)
Agg(open=22.705, high=22.74, low=22.46, close=22.46, volume=1194993.0, vwap=22.5667, timestamp=1674072000000, transactions=9216, otc=None)
Agg(open=22.46, high=22.46, low=22.46, close=22.46, volume=22930, vwap=22.46, timestamp=1674075600000, transactions=34, otc=None)
Agg(open=22.59, high=22.64, low=22.42, close=22.505, volume=152123, vwap=22.5155, timestamp=1674136800000, transactions=1493, otc=None)
Agg(open=22.505, high=22.5668, low=22.31, close=22.31, volume=358064, vwap=22.4314, timestamp=1674140400000, transactions=3798, otc=None)
Agg(open=22.32, high=22.41, low=22.27, close=22.315, volume=362872, vwap=22.3419, timestamp=1674144000000, transactions=3403, otc=None)
Agg(open=22.315, high=22.395, low=22.315, close=22.38, volume=215674, vwap=22.3508, timestamp=1674147600000, transactions=2342, otc=None)
Agg(open=22.38, high=22.45, low=22.34, close=22.395, volume=302621, vwap=22.3836, timestamp=1674151200000, transactions=3016, otc=None)
Agg(open=22.395, high=22.41, low=22.34, close=22.355, volume=297967, vwap=22.3802, timestamp=1674154800000, transactions=3471, otc=None)
Agg(open=22.35, high=22.375, low=22.15, close=22.16, volume=909254, vwap=22.2636, timestamp=1674158400000, transactions=7257, otc=None)
Agg(open=22.17, high=22.17, low=22.1, close=22.1, volume=4764, vwap=22.1662, timestamp=1674162000000, transactions=19, otc=None)
Agg(open=22.14, high=22.14, low=22.14, close=22.14, volume=201, vwap=22.14, timestamp=1674216000000, transactions=3, otc=None)
Agg(open=22.17, high=22.17, low=22.17, close=22.17, volume=100, vwap=22.17, timestamp=1674219600000, transactions=1, otc=None)
Agg(open=22.26, high=22.315, low=22.045, close=22.15, volume=180516, vwap=22.1262, timestamp=1674223200000, transactions=1805, otc=None)
Agg(open=22.14, high=22.37, low=22.03, close=22.305, volume=376062, vwap=22.2261, timestamp=1674226800000, transactions=3782, otc=None)
Agg(open=22.3, high=22.505, low=22.29, close=22.505, volume=294635, vwap=22.399, timestamp=1674230400000, transactions=3190, otc=None)
Agg(open=22.51, high=22.58, low=22.43, close=22.5, volume=315600, vwap=22.514, timestamp=1674234000000, transactions=3283, otc=None)
Agg(open=22.51, high=22.57, low=22.475, close=22.5606, volume=203681, vwap=22.5167, timestamp=1674237600000, transactions=2618, otc=None)
Agg(open=22.565, high=22.605, low=22.535, close=22.605, volume=241143, vwap=22.5616, timestamp=1674241200000, transactions=2801, otc=None)
Agg(open=22.61, high=22.68, low=22.47, close=22.48, volume=856395, vwap=22.5655, timestamp=1674244800000, transactions=7546, otc=None)
Agg(open=22.48, high=22.48, low=22.48, close=22.48, volume=38002, vwap=22.48, timestamp=1674248400000, transactions=25, otc=None)
