Agg(open=19.05, high=19.05, low=19.05, close=19.05, volume=203, vwap=19.0452, timestamp=1696845600000, transactions=5, otc=None)
Agg(open=18.8, high=18.92, low=18.8, close=18.92, volume=1616, vwap=18.8851, timestamp=1696852800000, transactions=27, otc=None)
Agg(open=18.91, high=19.06, low=18.91, close=19.035, volume=98284, vwap=18.988, timestamp=1696856400000, transactions=1333, otc=None)
Agg(open=19.035, high=19.0675, low=18.985, close=19.0475, volume=240908, vwap=19.019, timestamp=1696860000000, transactions=2734, otc=None)
Agg(open=19.045, high=19.295, low=19.03, close=19.28, volume=290751, vwap=19.1627, timestamp=1696863600000, transactions=3219, otc=None)
Agg(open=19.28, high=19.32, low=19.2, close=19.24, volume=191012, vwap=19.2614, timestamp=1696867200000, transactions=2495, otc=None)
Agg(open=19.24, high=19.37, low=19.22, close=19.36, volume=188055, vwap=19.2934, timestamp=1696870800000, transactions=2457, otc=None)
Agg(open=19.365, high=19.4, low=19.3, close=19.35, volume=350952, vwap=19.3602, timestamp=1696874400000, transactions=3803, otc=None)
Agg(open=19.35, high=19.395, low=19.215, close=19.255, volume=891385, vwap=19.2572, timestamp=1696878000000, transactions=8024, otc=None)
Agg(open=19.25, high=19.25, low=19.25, close=19.25, volume=109861, vwap=19.25, timestamp=1696881600000, transactions=28, otc=None)
Agg(open=19.24, high=19.38, low=19.19, close=19.27, volume=119276, vwap=19.2574, timestamp=1696942800000, transactions=1655, otc=None)
Agg(open=19.285, high=19.37, low=19.2148, close=19.22, volume=205179, vwap=19.2818, timestamp=1696946400000, transactions=2787, otc=None)
Agg(open=19.22, high=19.39, low=19.205, close=19.39, volume=158647, vwap=19.2815, timestamp=1696950000000, transactions=1990, otc=None)
Agg(open=19.38, high=19.41, low=19.355, close=19.365, volume=133906, vwap=19.3824, timestamp=1696953600000, transactions=1967, otc=None)
Agg(open=19.36, high=19.39, low=19.28, close=19.385, volume=155471, vwap=19.3313, timestamp=1696957200000, transactions=1967, otc=None)
Agg(open=19.385, high=19.445, low=19.345, close=19.42, volume=278578, vwap=19.3929, timestamp=1696960800000, transactions=3159, otc=None)
Agg(open=19.41, high=19.5, low=19.39, close=19.47, volume=777061, vwap=19.4515, timestamp=1696964400000, transactions=7412, otc=None)
Agg(open=19.47, high=19.47, low=19.44, close=19.44, volume=25507, vwap=19.4698, timestamp=1696968000000, transactions=33, otc=None)
Agg(open=19.3, high=19.42, low=19.18, close=19.185, volume=154898, vwap=19.2643, timestamp=1697029200000, transactions=1846, otc=None)
Agg(open=19.19, high=19.25, low=19.045, close=19.105, volume=238623, vwap=19.1186, timestamp=1697032800000, transactions=3341, otc=None)
