Agg(open=11.36, high=11.36, low=11.36, close=11.36, volume=100, vwap=11.36, timestamp=1678694400000, transactions=1, otc=None)
Agg(open=11.11, high=11.11, low=11.11, close=11.11, volume=100, vwap=11.11, timestamp=1678698000000, transactions=1, otc=None)
Agg(open=11.24, high=11.24, low=11.09, close=11.09, volume=1654, vwap=11.1301, timestamp=1678705200000, transactions=22, otc=None)
Agg(open=11.09, high=11.12, low=10.99, close=10.99, volume=5699, vwap=11.082, timestamp=1678708800000, transactions=65, otc=None)
Agg(open=10.99, high=10.99, low=10.665, close=10.71, volume=1429342.0, vwap=10.7424, timestamp=1678712400000, transactions=7452, otc=None)
Agg(open=10.705, high=10.88, low=10.435, close=10.875, volume=3268358.0, vwap=10.6425, timestamp=1678716000000, transactions=19050, otc=None)
Agg(open=10.88, high=11.04, low=10.77, close=10.825, volume=3444013.0, vwap=10.9145, timestamp=1678719600000, transactions=18352, otc=None)
Agg(open=10.825, high=10.86, low=10.63, close=10.64, volume=1860417.0, vwap=10.7295, timestamp=1678723200000, transactions=11315, otc=None)
Agg(open=10.64, high=10.69, low=10.56, close=10.6685, volume=1581636.0, vwap=10.6202, timestamp=1678726800000, transactions=10157, otc=None)
Agg(open=10.67, high=10.7477, low=10.655, close=10.675, volume=1506885.0, vwap=10.6943, timestamp=1678730400000, transactions=9727, otc=None)
Agg(open=10.68, high=10.69, low=10.54, close=10.57, volume=4829632.0, vwap=10.5954, timestamp=1678734000000, transactions=26169, otc=None)
Agg(open=10.57, high=10.65, low=10.57, close=10.65, volume=74160, vwap=10.5712, timestamp=1678737600000, transactions=34, otc=None)
Agg(open=10.64, high=11.15, low=10.64, close=11.15, volume=2320, vwap=10.684, timestamp=1678741200000, transactions=5, otc=None)
Agg(open=10.65, high=10.65, low=10.65, close=10.65, volume=117, vwap=10.65, timestamp=1678784400000, transactions=1, otc=None)
Agg(open=10.89, high=10.89, low=10.89, close=10.89, volume=304, vwap=10.89, timestamp=1678788000000, transactions=5, otc=None)
Agg(open=10.88, high=10.88, low=10.88, close=10.88, volume=112, vwap=10.88, timestamp=1678791600000, transactions=1, otc=None)
Agg(open=10.85, high=10.85, low=10.63, close=10.69, volume=12283, vwap=10.772, timestamp=1678795200000, transactions=40, otc=None)
Agg(open=10.74, high=10.86, low=10.53, close=10.59, volume=1277846.0, vwap=10.6569, timestamp=1678798800000, transactions=8235, otc=None)
Agg(open=10.595, high=10.6, low=10.35, close=10.465, volume=2150362.0, vwap=10.4725, timestamp=1678802400000, transactions=12067, otc=None)
Agg(open=10.465, high=10.61, low=10.435, close=10.59, volume=1475168.0, vwap=10.5126, timestamp=1678806000000, transactions=7357, otc=None)
Agg(open=10.585, high=10.585, low=10.465, close=10.4799, volume=1462518.0, vwap=10.5162, timestamp=1678809600000, transactions=8071, otc=None)
Agg(open=10.4799, high=10.5, low=10.33, close=10.395, volume=1242071.0, vwap=10.4023, timestamp=1678813200000, transactions=7865, otc=None)
Agg(open=10.4, high=10.41, low=10.28, close=10.3, volume=1128398.0, vwap=10.3189, timestamp=1678816800000, transactions=6594, otc=None)
Agg(open=10.3, high=10.37, low=10.23, close=10.34, volume=3127846.0, vwap=10.3016, timestamp=1678820400000, transactions=16391, otc=None)
Agg(open=10.34, high=10.37, low=9.99, close=10.308, volume=492177, vwap=10.2786, timestamp=1678824000000, transactions=204, otc=None)
Agg(open=10.35, high=10.35, low=10.35, close=10.35, volume=298, vwap=10.35, timestamp=1678827600000, transactions=3, otc=None)
Agg(open=10.37, high=10.37, low=10.37, close=10.37, volume=900, vwap=10.37, timestamp=1678831200000, transactions=3, otc=None)
Agg(open=10.36, high=10.36, low=10.36, close=10.36, volume=300, vwap=10.36, timestamp=1678834800000, transactions=2, otc=None)
Agg(open=10.34, high=10.34, low=10.34, close=10.34, volume=234, vwap=10.34, timestamp=1678870800000, transactions=1, otc=None)
Agg(open=10.19, high=10.19, low=10.13, close=10.15, volume=2103, vwap=10.1456, timestamp=1678878000000, transactions=19, otc=None)
