Agg(open=6.83, high=7.06, low=6.8, close=6.97, volume=1381920.0, vwap=6.9534, timestamp=1677506400000, transactions=5712, otc=None)
Agg(open=6.965, high=7.15, low=6.93, close=7.035, volume=3165911.0, vwap=7.0382, timestamp=1677510000000, transactions=9456, otc=None)
Agg(open=7.035, high=7.11, low=7.02, close=7.045, volume=929556, vwap=7.0639, timestamp=1677513600000, transactions=5612, otc=None)
Agg(open=7.045, high=7.075, low=7.01, close=7.015, volume=637959, vwap=7.0494, timestamp=1677517200000, transactions=3785, otc=None)
Agg(open=7.01, high=7.035, low=7, close=7.025, volume=1282147.0, vwap=7.0049, timestamp=1677520800000, transactions=3462, otc=None)
Agg(open=7.025, high=7.035, low=7, close=7.015, volume=1234606.0, vwap=7.009, timestamp=1677524400000, transactions=3727, otc=None)
Agg(open=7.015, high=7.06, low=7, close=7.01, volume=1937653.0, vwap=7.0153, timestamp=1677528000000, transactions=9120, otc=None)
Agg(open=7.01, high=7.05, low=7.01, close=7.05, volume=49664, vwap=7.0106, timestamp=1677531600000, transactions=15, otc=None)
Agg(open=7.01, high=7.02, low=7, close=7.01, volume=1779, vwap=7.0117, timestamp=1677574800000, transactions=6, otc=None)
Agg(open=7.01, high=7.01, low=7.01, close=7.01, volume=295, vwap=7.01, timestamp=1677582000000, transactions=1, otc=None)
Agg(open=7, high=7.03, low=7, close=7.03, volume=400, vwap=7.0175, timestamp=1677589200000, transactions=4, otc=None)
Agg(open=7.04, high=7.11, low=6.93, close=7.045, volume=1666185.0, vwap=7.0199, timestamp=1677592800000, transactions=5281, otc=None)
Agg(open=7.045, high=7.1, low=7, close=7.01, volume=1214420.0, vwap=7.0449, timestamp=1677596400000, transactions=7411, otc=None)
Agg(open=7.005, high=7.04, low=7, close=7.03, volume=770666, vwap=7.0103, timestamp=1677600000000, transactions=3752, otc=None)
Agg(open=7.03, high=7.055, low=7, close=7.025, volume=439247, vwap=7.0182, timestamp=1677603600000, transactions=2704, otc=None)
Agg(open=7.025, high=7.03, low=7, close=7.005, volume=405811, vwap=7.0086, timestamp=1677607200000, transactions=2315, otc=None)
Agg(open=7.01, high=7.02, low=7, close=7.02, volume=664573, vwap=7.0079, timestamp=1677610800000, transactions=2783, otc=None)
Agg(open=7.015, high=7.02, low=6.995, close=7, volume=2142432.0, vwap=7.0025, timestamp=1677614400000, transactions=7665, otc=None)
Agg(open=7, high=7, low=6.97, close=7, volume=22512, vwap=6.9996, timestamp=1677618000000, transactions=9, otc=None)
Agg(open=7.22, high=7.4, low=7.12, close=7.28, volume=6542, vwap=7.2876, timestamp=1677661200000, transactions=14, otc=None)
