Agg(open=6.37, high=6.37, low=6.37, close=6.37, volume=300, vwap=6.37, timestamp=1688374800000, transactions=1, otc=None)
Agg(open=6.3, high=6.3, low=6.3, close=6.3, volume=165, vwap=6.3, timestamp=1688385600000, transactions=2, otc=None)
Agg(open=6.4, high=6.605, low=6.4, close=6.56, volume=558802, vwap=6.5412, timestamp=1688389200000, transactions=3317, otc=None)
Agg(open=6.56, high=6.58, low=6.495, close=6.52, volume=1082204.0, vwap=6.5516, timestamp=1688392800000, transactions=4891, otc=None)
Agg(open=6.52, high=6.54, low=6.465, close=6.495, volume=640631, vwap=6.505, timestamp=1688396400000, transactions=2597, otc=None)
Agg(open=6.495, high=6.51, low=6.45, close=6.5, volume=1189093.0, vwap=6.4916, timestamp=1688400000000, transactions=5098, otc=None)
Agg(open=6.48, high=6.48, low=6.48, close=6.48, volume=200, vwap=6.48, timestamp=1688403600000, transactions=1, otc=None)
Agg(open=6.42, high=6.6455, low=6.42, close=6.52, volume=9625, vwap=6.4853, timestamp=1688558400000, transactions=9, otc=None)
Agg(open=6.55, high=6.55, low=6.36, close=6.495, volume=627847, vwap=6.4619, timestamp=1688562000000, transactions=2788, otc=None)
Agg(open=6.495, high=6.51, low=6.47, close=6.485, volume=535283, vwap=6.4881, timestamp=1688565600000, transactions=2527, otc=None)
Agg(open=6.485, high=6.53, low=6.48, close=6.505, volume=405520, vwap=6.5072, timestamp=1688569200000, transactions=2042, otc=None)
Agg(open=6.505, high=6.54, low=6.5, close=6.54, volume=354615, vwap=6.523, timestamp=1688572800000, transactions=1726, otc=None)
Agg(open=6.535, high=6.56, low=6.53, close=6.555, volume=351832, vwap=6.5473, timestamp=1688576400000, transactions=1770, otc=None)
Agg(open=6.56, high=6.56, low=6.5, close=6.515, volume=341495, vwap=6.527, timestamp=1688580000000, transactions=1739, otc=None)
Agg(open=6.515, high=6.53, low=6.5, close=6.525, volume=897835, vwap=6.5098, timestamp=1688583600000, transactions=4395, otc=None)
Agg(open=6.52, high=6.52, low=6.52, close=6.52, volume=14000, vwap=6.52, timestamp=1688587200000, transactions=6, otc=None)
Agg(open=6.48, high=6.48, low=6.48, close=6.48, volume=300, vwap=6.48, timestamp=1688630400000, transactions=1, otc=None)
Agg(open=6.5, high=6.5, low=6.5, close=6.5, volume=1500, vwap=6.5, timestamp=1688644800000, transactions=1, otc=None)
Agg(open=6.29, high=6.6, low=6.29, close=6.51, volume=730326, vwap=6.4912, timestamp=1688648400000, transactions=2972, otc=None)
Agg(open=6.515, high=6.535, low=6.47, close=6.47, volume=748797, vwap=6.4968, timestamp=1688652000000, transactions=3253, otc=None)
Agg(open=6.475, high=6.505, low=6.39, close=6.505, volume=735447, vwap=6.4385, timestamp=1688655600000, transactions=3164, otc=None)
Agg(open=6.505, high=6.52, low=6.48, close=6.505, volume=290007, vwap=6.4961, timestamp=1688659200000, transactions=1609, otc=None)
Agg(open=6.505, high=6.515, low=6.48, close=6.505, volume=333801, vwap=6.5001, timestamp=1688662800000, transactions=1421, otc=None)
Agg(open=6.5025, high=6.52, low=6.5, close=6.5, volume=148664, vwap=6.5086, timestamp=1688666400000, transactions=1219, otc=None)
Agg(open=6.5, high=6.52, low=6.46, close=6.46, volume=970998, vwap=6.4909, timestamp=1688670000000, transactions=4149, otc=None)
Agg(open=6.47, high=6.47, low=6.47, close=6.47, volume=13330, vwap=6.47, timestamp=1688673600000, transactions=9, otc=None)
Agg(open=6.56, high=6.88, low=6.52, close=6.88, volume=700952, vwap=6.7612, timestamp=1688734800000, transactions=4112, otc=None)
Agg(open=6.8712, high=6.9, low=6.73, close=6.865, volume=776776, vwap=6.8268, timestamp=1688738400000, transactions=4172, otc=None)
Agg(open=6.87, high=6.94, low=6.84, close=6.92, volume=706331, vwap=6.88, timestamp=1688742000000, transactions=3736, otc=None)
Agg(open=6.915, high=7.02, low=6.9, close=7.01, volume=859775, vwap=6.9752, timestamp=1688745600000, transactions=3277, otc=None)
Agg(open=7.015, high=7.02, low=6.98, close=7.015, volume=454386, vwap=7.0066, timestamp=1688749200000, transactions=2563, otc=None)
Agg(open=7.015, high=7.025, low=6.91, close=6.91, volume=578297, vwap=6.9815, timestamp=1688752800000, transactions=2788, otc=None)
Agg(open=6.9115, high=6.93, low=6.88, close=6.89, volume=1234467.0, vwap=6.8995, timestamp=1688756400000, transactions=5958, otc=None)
Agg(open=6.9, high=6.9, low=6.89, close=6.89, volume=43103, vwap=6.89, timestamp=1688760000000, transactions=10, otc=None)
