Agg(open=11.9499, high=12, low=11.9499, close=12, volume=1242, vwap=11.9918, timestamp=1674478800000, transactions=7, otc=None)
Agg(open=12.39, high=12.39, low=12, close=12.32, volume=601694, vwap=12.2035, timestamp=1674482400000, transactions=2376, otc=None)
Agg(open=12.3227, high=12.67, low=12.27, close=12.62, volume=957986, vwap=12.4855, timestamp=1674486000000, transactions=4003, otc=None)
Agg(open=12.625, high=12.75, low=12.38, close=12.445, volume=686128, vwap=12.5898, timestamp=1674489600000, transactions=3996, otc=None)
Agg(open=12.44, high=12.45, low=11.96, close=11.9722, volume=493919, vwap=12.2398, timestamp=1674493200000, transactions=2719, otc=None)
Agg(open=11.96, high=12.03, low=11.87, close=11.97, volume=387292, vwap=11.9454, timestamp=1674496800000, transactions=2014, otc=None)
Agg(open=11.9618, high=12.105, low=11.92, close=12.09, volume=404186, vwap=12.0327, timestamp=1674500400000, transactions=2301, otc=None)
Agg(open=12.1, high=12.13, low=11.91, close=11.98, volume=601211, vwap=11.9836, timestamp=1674504000000, transactions=4010, otc=None)
Agg(open=11.98, high=11.99, low=11.98, close=11.99, volume=8631, vwap=11.9859, timestamp=1674507600000, transactions=14, otc=None)
Agg(open=11.96, high=11.96, low=11.96, close=11.96, volume=100, vwap=11.96, timestamp=1674550800000, transactions=1, otc=None)
Agg(open=11.94, high=11.9947, low=11.56, close=11.985, volume=342930, vwap=11.8514, timestamp=1674568800000, transactions=1280, otc=None)
Agg(open=11.985, high=12.27, low=11.97, close=12.095, volume=420111, vwap=12.1394, timestamp=1674572400000, transactions=2536, otc=None)
Agg(open=12.09, high=12.225, low=12.041, close=12.18, volume=285092, vwap=12.1493, timestamp=1674576000000, transactions=1898, otc=None)
Agg(open=12.185, high=12.26, low=12.055, close=12.16, volume=173709, vwap=12.1556, timestamp=1674579600000, transactions=1513, otc=None)
Agg(open=12.16, high=12.16, low=11.995, close=12.045, volume=165609, vwap=12.0682, timestamp=1674583200000, transactions=1239, otc=None)
Agg(open=12.045, high=12.11, low=11.995, close=12.095, volume=213645, vwap=12.031, timestamp=1674586800000, transactions=1392, otc=None)
Agg(open=12.095, high=12.12, low=11.98, close=11.99, volume=391514, vwap=12.0482, timestamp=1674590400000, transactions=2325, otc=None)
Agg(open=12, high=12, low=12, close=12, volume=2776, vwap=12, timestamp=1674594000000, transactions=4, otc=None)
Agg(open=11.77, high=11.77, low=11.76, close=11.76, volume=1000, vwap=11.764, timestamp=1674601200000, transactions=4, otc=None)
Agg(open=11.75, high=11.75, low=11.75, close=11.75, volume=170, vwap=11.75, timestamp=1674648000000, transactions=1, otc=None)
Agg(open=11.99, high=11.99, low=11.6515, close=11.6515, volume=400, vwap=11.7895, timestamp=1674651600000, transactions=5, otc=None)
Agg(open=12.29, high=12.29, low=11.55, close=11.62, volume=349044, vwap=11.6859, timestamp=1674655200000, transactions=2007, otc=None)
Agg(open=11.6121, high=11.98, low=11.51, close=11.89, volume=675644, vwap=11.8089, timestamp=1674658800000, transactions=3937, otc=None)
Agg(open=11.89, high=11.95, low=11.7801, close=11.91, volume=222332, vwap=11.869, timestamp=1674662400000, transactions=1761, otc=None)
Agg(open=11.92, high=12.06, low=11.85, close=12.02, volume=219866, vwap=11.9596, timestamp=1674666000000, transactions=1590, otc=None)
Agg(open=12.03, high=12.11, low=11.995, close=12.075, volume=197806, vwap=12.0516, timestamp=1674669600000, transactions=1425, otc=None)
Agg(open=12.075, high=12.075, low=11.955, close=12.015, volume=222824, vwap=12.0084, timestamp=1674673200000, transactions=1470, otc=None)
Agg(open=12.015, high=12.09, low=12, close=12.07, volume=452841, vwap=12.0438, timestamp=1674676800000, transactions=2525, otc=None)
Agg(open=12.08, high=12.28, low=12.08, close=12.28, volume=4608, vwap=12.1913, timestamp=1674680400000, transactions=19, otc=None)
Agg(open=12.14, high=12.14, low=12.14, close=12.14, volume=200, vwap=12.14, timestamp=1674684000000, transactions=2, otc=None)
Agg(open=12.11, high=12.11, low=12.11, close=12.11, volume=100, vwap=12.11, timestamp=1674691200000, transactions=1, otc=None)
Agg(open=12.29, high=12.29, low=12.2, close=12.21, volume=913, vwap=12.237, timestamp=1674738000000, transactions=9, otc=None)
