Agg(open=11.99, high=12, low=11.8, close=11.8, volume=1800, vwap=11.9213, timestamp=1681113600000, transactions=11, otc=None)
Agg(open=11.32, high=11.52, low=11.32, close=11.5, volume=4303, vwap=11.4667, timestamp=1681124400000, transactions=25, otc=None)
Agg(open=11.48, high=11.51, low=11.35, close=11.35, volume=14053, vwap=11.4792, timestamp=1681128000000, transactions=46, otc=None)
Agg(open=11.35, high=11.76, low=11.34, close=11.73, volume=288984, vwap=11.5789, timestamp=1681131600000, transactions=1270, otc=None)
Agg(open=11.73, high=12.33, low=11.73, close=12.2315, volume=706077, vwap=12.1132, timestamp=1681135200000, transactions=3833, otc=None)
Agg(open=12.24, high=12.5399, low=12.21, close=12.28, volume=802243, vwap=12.3959, timestamp=1681138800000, transactions=3922, otc=None)
Agg(open=12.28, high=12.4, low=12.2324, close=12.27, volume=362402, vwap=12.299, timestamp=1681142400000, transactions=2617, otc=None)
Agg(open=12.265, high=12.28, low=12.14, close=12.21, volume=326922, vwap=12.1973, timestamp=1681146000000, transactions=2123, otc=None)
Agg(open=12.215, high=12.265, low=12.14, close=12.185, volume=312573, vwap=12.1912, timestamp=1681149600000, transactions=1987, otc=None)
Agg(open=12.1806, high=12.3, low=12.145, close=12.295, volume=670247, vwap=12.2439, timestamp=1681153200000, transactions=3959, otc=None)
Agg(open=12.15, high=12.15, low=12.15, close=12.15, volume=100, vwap=12.15, timestamp=1681156800000, transactions=1, otc=None)
Agg(open=12.42, high=12.42, low=12.42, close=12.42, volume=940, vwap=12.4182, timestamp=1681164000000, transactions=2, otc=None)
Agg(open=12.5, high=12.5, low=12.5, close=12.5, volume=500, vwap=12.4887, timestamp=1681167600000, transactions=4, otc=None)
Agg(open=12.55, high=12.55, low=12.55, close=12.55, volume=1050, vwap=12.55, timestamp=1681203600000, transactions=9, otc=None)
Agg(open=12.547, high=12.547, low=12.547, close=12.547, volume=400, vwap=12.5478, timestamp=1681210800000, transactions=3, otc=None)
Agg(open=12.5, high=12.5, low=12.5, close=12.5, volume=1924, vwap=12.5045, timestamp=1681214400000, transactions=8, otc=None)
Agg(open=12.47, high=12.655, low=12.405, close=12.48, volume=420870, vwap=12.5572, timestamp=1681218000000, transactions=2054, otc=None)
Agg(open=12.485, high=12.535, low=12.32, close=12.355, volume=307887, vwap=12.4559, timestamp=1681221600000, transactions=2294, otc=None)
Agg(open=12.355, high=12.49, low=12.32, close=12.435, volume=358815, vwap=12.4187, timestamp=1681225200000, transactions=1895, otc=None)
Agg(open=12.43, high=12.48, low=12.4, close=12.48, volume=174846, vwap=12.4429, timestamp=1681228800000, transactions=1321, otc=None)
Agg(open=12.48, high=12.49, low=12.425, close=12.4693, volume=203326, vwap=12.4673, timestamp=1681232400000, transactions=1889, otc=None)
Agg(open=12.47, high=12.5, low=12.45, close=12.455, volume=248881, vwap=12.4748, timestamp=1681236000000, transactions=2127, otc=None)
Agg(open=12.4525, high=12.48, low=12.41, close=12.41, volume=392535, vwap=12.4419, timestamp=1681239600000, transactions=3157, otc=None)
Agg(open=12.41, high=12.41, low=12.41, close=12.41, volume=3768, vwap=12.41, timestamp=1681243200000, transactions=4, otc=None)
Agg(open=12.48, high=12.48, low=12.48, close=12.48, volume=282, vwap=12.48, timestamp=1681246800000, transactions=1, otc=None)
Agg(open=12.49, high=12.49, low=12.49, close=12.49, volume=500, vwap=12.49, timestamp=1681250400000, transactions=1, otc=None)
Agg(open=12.41, high=12.41, low=12.41, close=12.41, volume=190, vwap=12.41, timestamp=1681290000000, transactions=1, otc=None)
Agg(open=12.48, high=12.65, low=12.46, close=12.61, volume=239946, vwap=12.5737, timestamp=1681304400000, transactions=1349, otc=None)
Agg(open=12.61, high=12.64, low=12.4701, close=12.56, volume=376276, vwap=12.5649, timestamp=1681308000000, transactions=2141, otc=None)
Agg(open=12.5683, high=12.592, low=12.535, close=12.58, volume=175066, vwap=12.5679, timestamp=1681311600000, transactions=1541, otc=None)
Agg(open=12.587, high=12.63, low=12.56, close=12.6, volume=258712, vwap=12.5961, timestamp=1681315200000, transactions=1785, otc=None)
Agg(open=12.595, high=12.64, low=12.49, close=12.53, volume=356550, vwap=12.5735, timestamp=1681318800000, transactions=2672, otc=None)
Agg(open=12.56, high=12.59, low=12.53, close=12.555, volume=145976, vwap=12.5594, timestamp=1681322400000, transactions=1445, otc=None)
Agg(open=12.555, high=12.575, low=12.47, close=12.54, volume=438551, vwap=12.5303, timestamp=1681326000000, transactions=3699, otc=None)
Agg(open=12.54, high=12.54, low=12.54, close=12.54, volume=19907, vwap=12.54, timestamp=1681329600000, transactions=8, otc=None)
Agg(open=12.45, high=12.45, low=12.45, close=12.45, volume=250, vwap=12.4536, timestamp=1681333200000, transactions=2, otc=None)
Agg(open=12.54, high=12.54, low=12.54, close=12.54, volume=100, vwap=12.54, timestamp=1681336800000, transactions=1, otc=None)
Agg(open=12.54, high=12.54, low=12.54, close=12.54, volume=200, vwap=12.54, timestamp=1681340400000, transactions=1, otc=None)
Agg(open=12.49, high=12.49, low=12.49, close=12.49, volume=100, vwap=12.49, timestamp=1681383600000, transactions=1, otc=None)
Agg(open=12.6, high=12.6, low=12.6, close=12.6, volume=100, vwap=12.6, timestamp=1681387200000, transactions=1, otc=None)
Agg(open=12.58, high=12.675, low=12.4799, close=12.48, volume=248878, vwap=12.6047, timestamp=1681390800000, transactions=1235, otc=None)
Agg(open=12.52, high=12.52, low=12.31, close=12.45, volume=248185, vwap=12.435, timestamp=1681394400000, transactions=1447, otc=None)
Agg(open=12.455, high=12.52, low=12.39, close=12.52, volume=148884, vwap=12.45, timestamp=1681398000000, transactions=1210, otc=None)
Agg(open=12.52, high=12.55, low=12.47, close=12.4904, volume=128088, vwap=12.5048, timestamp=1681401600000, transactions=914, otc=None)
Agg(open=12.49, high=12.51, low=12.46, close=12.47, volume=163331, vwap=12.4908, timestamp=1681405200000, transactions=1045, otc=None)
Agg(open=12.47, high=12.498, low=12.39, close=12.405, volume=150417, vwap=12.4451, timestamp=1681408800000, transactions=935, otc=None)
Agg(open=12.41, high=12.43, low=12.34, close=12.345, volume=310560, vwap=12.3696, timestamp=1681412400000, transactions=2115, otc=None)
Agg(open=12.35, high=12.35, low=12.35, close=12.35, volume=733, vwap=12.35, timestamp=1681416000000, transactions=3, otc=None)
Agg(open=12.35, high=12.35, low=12.35, close=12.35, volume=100, vwap=12.35, timestamp=1681419600000, transactions=1, otc=None)
Agg(open=12.35, high=12.35, low=12.35, close=12.35, volume=216, vwap=12.35, timestamp=1681423200000, transactions=1, otc=None)
Agg(open=12.32, high=12.32, low=12.32, close=12.32, volume=150, vwap=12.3167, timestamp=1681426800000, transactions=2, otc=None)
Agg(open=12.4, high=12.62, low=12.4, close=12.49, volume=192515, vwap=12.5273, timestamp=1681477200000, transactions=1072, otc=None)
Agg(open=12.48, high=12.5, low=12.265, close=12.405, volume=306816, vwap=12.3793, timestamp=1681480800000, transactions=2311, otc=None)
Agg(open=12.4031, high=12.47, low=12.355, close=12.415, volume=144777, vwap=12.415, timestamp=1681484400000, transactions=1475, otc=None)
Agg(open=12.42, high=12.5, low=12.4001, close=12.445, volume=130440, vwap=12.4601, timestamp=1681488000000, transactions=1194, otc=None)
Agg(open=12.445, high=12.445, low=12.39, close=12.39, volume=118579, vwap=12.42, timestamp=1681491600000, transactions=1221, otc=None)
Agg(open=12.395, high=12.44, low=12.375, close=12.4, volume=150954, vwap=12.4083, timestamp=1681495200000, transactions=1207, otc=None)
Agg(open=12.4, high=12.46, low=12.35, close=12.445, volume=393190, vwap=12.4105, timestamp=1681498800000, transactions=3053, otc=None)
Agg(open=12.45, high=12.45, low=12.45, close=12.45, volume=8896, vwap=12.45, timestamp=1681502400000, transactions=8, otc=None)
Agg(open=12.24, high=12.24, low=12.24, close=12.24, volume=400, vwap=12.24, timestamp=1681506000000, transactions=1, otc=None)
Agg(open=12.5, high=12.6, low=12.28, close=12.28, volume=900, vwap=12.4167, timestamp=1681513200000, transactions=6, otc=None)
