Agg(open=15.46, high=15.8808, low=15.46, close=15.46, volume=1715, vwap=15.5091, timestamp=1690200000000, transactions=6, otc=None)
Agg(open=15.59, high=16.19, low=15.26, close=15.53, volume=809889, vwap=15.7719, timestamp=1690203600000, transactions=4784, otc=None)
Agg(open=15.5217, high=15.949, low=15.35, close=15.91, volume=283676, vwap=15.5984, timestamp=1690207200000, transactions=2915, otc=None)
Agg(open=15.905, high=15.96, low=15.755, close=15.77, volume=302370, vwap=15.8838, timestamp=1690210800000, transactions=2178, otc=None)
Agg(open=15.7787, high=15.93, low=15.755, close=15.855, volume=128005, vwap=15.8444, timestamp=1690214400000, transactions=1231, otc=None)
Agg(open=15.855, high=15.93, low=15.68, close=15.69, volume=190170, vwap=15.8315, timestamp=1690218000000, transactions=1740, otc=None)
Agg(open=15.69, high=15.7, low=15.565, close=15.64, volume=142811, vwap=15.6433, timestamp=1690221600000, transactions=1607, otc=None)
Agg(open=15.64, high=15.665, low=15.56, close=15.64, volume=301021, vwap=15.6188, timestamp=1690225200000, transactions=2947, otc=None)
Agg(open=15.63, high=15.63, low=15.63, close=15.63, volume=9377, vwap=15.63, timestamp=1690228800000, transactions=8, otc=None)
Agg(open=15.5, high=15.6968, low=15.5, close=15.6968, volume=1634, vwap=15.5764, timestamp=1690236000000, transactions=2, otc=None)
Agg(open=15.51, high=15.51, low=15.51, close=15.51, volume=500, vwap=15.5136, timestamp=1690239600000, transactions=4, otc=None)
Agg(open=15.65, high=15.8, low=15.455, close=15.53, volume=157633, vwap=15.6415, timestamp=1690290000000, transactions=1210, otc=None)
Agg(open=15.505, high=15.6, low=15.36, close=15.38, volume=157475, vwap=15.5039, timestamp=1690293600000, transactions=1350, otc=None)
Agg(open=15.405, high=15.59, low=15.38, close=15.58, volume=96880, vwap=15.4753, timestamp=1690297200000, transactions=995, otc=None)
Agg(open=15.58, high=15.64, low=15.5, close=15.6, volume=132171, vwap=15.5577, timestamp=1690300800000, transactions=1045, otc=None)
Agg(open=15.6, high=15.625, low=15.5398, close=15.56, volume=49855, vwap=15.591, timestamp=1690304400000, transactions=646, otc=None)
Agg(open=15.558, high=15.615, low=15.53, close=15.56, volume=68287, vwap=15.5807, timestamp=1690308000000, transactions=839, otc=None)
Agg(open=15.565, high=15.69, low=15.56, close=15.635, volume=165621, vwap=15.6451, timestamp=1690311600000, transactions=2067, otc=None)
Agg(open=15.63, high=15.63, low=15.63, close=15.63, volume=1886, vwap=15.63, timestamp=1690369200000, transactions=5, otc=None)
Agg(open=15.63, high=15.63, low=15.63, close=15.63, volume=215, vwap=15.63, timestamp=1690372800000, transactions=1, otc=None)
Agg(open=15.63, high=15.72, low=15.43, close=15.515, volume=120794, vwap=15.5446, timestamp=1690376400000, transactions=709, otc=None)
Agg(open=15.51, high=15.645, low=15.33, close=15.4, volume=135728, vwap=15.4876, timestamp=1690380000000, transactions=1466, otc=None)
Agg(open=15.405, high=15.45, low=15.33, close=15.415, volume=126503, vwap=15.3967, timestamp=1690383600000, transactions=1311, otc=None)
