Agg(open=29, high=29, low=28, close=28, volume=3020, vwap=28.6632, timestamp=1675674000000, transactions=7, otc=None)
Agg(open=28.5, high=28.8, low=28.5, close=28.8, volume=1225, vwap=28.5786, timestamp=1675684800000, transactions=9, otc=None)
Agg(open=28.84, high=28.84, low=28.51, close=28.69, volume=1133, vwap=28.6514, timestamp=1675688400000, transactions=14, otc=None)
Agg(open=28.6999, high=29.185, low=28.57, close=29.11, volume=488628, vwap=28.9744, timestamp=1675692000000, transactions=4190, otc=None)
Agg(open=29.11, high=29.32, low=28.83, close=29.19, volume=773965, vwap=29.1031, timestamp=1675695600000, transactions=8411, otc=None)
Agg(open=29.2, high=29.2, low=28.775, close=28.875, volume=601560, vwap=28.9846, timestamp=1675699200000, transactions=6627, otc=None)
Agg(open=28.88, high=28.97, low=28.68, close=28.685, volume=422575, vwap=28.8306, timestamp=1675702800000, transactions=5011, otc=None)
Agg(open=28.685, high=28.77, low=28.565, close=28.73, volume=756583, vwap=28.6604, timestamp=1675706400000, transactions=6667, otc=None)
Agg(open=28.735, high=28.7675, low=28.565, close=28.75, volume=1514353.0, vwap=28.6686, timestamp=1675710000000, transactions=11102, otc=None)
Agg(open=28.75, high=28.865, low=28.47, close=28.76, volume=2067107.0, vwap=28.6889, timestamp=1675713600000, transactions=19962, otc=None)
Agg(open=28.72, high=29.52, low=25.89, close=26.9, volume=1003125.0, vwap=28.0185, timestamp=1675717200000, transactions=2008, otc=None)
Agg(open=26.74, high=27.52, low=26.72, close=27.19, volume=109509, vwap=27.1868, timestamp=1675720800000, transactions=475, otc=None)
Agg(open=27.03, high=27.4, low=26.7, close=27, volume=10845, vwap=26.9278, timestamp=1675724400000, transactions=94, otc=None)
Agg(open=27, high=27.16, low=27, close=27.16, volume=3087, vwap=27.0843, timestamp=1675728000000, transactions=29, otc=None)
Agg(open=26.15, high=26.3, low=25.5, close=25.5, volume=73746, vwap=25.8979, timestamp=1675760400000, transactions=477, otc=None)
Agg(open=25.63, high=25.87, low=25.54, close=25.58, volume=10057, vwap=25.6537, timestamp=1675764000000, transactions=76, otc=None)
Agg(open=25.62, high=25.62, low=25.23, close=25.38, volume=18266, vwap=25.3879, timestamp=1675767600000, transactions=141, otc=None)
Agg(open=25.4, high=25.77, low=25.27, close=25.51, volume=57812, vwap=25.4851, timestamp=1675771200000, transactions=608, otc=None)
Agg(open=25.74, high=26.48, low=25.32, close=26.2, volume=120164, vwap=25.7921, timestamp=1675774800000, transactions=1024, otc=None)
Agg(open=26.21, high=27.82, low=25.55, close=26.63, volume=2607551.0, vwap=27.0881, timestamp=1675778400000, transactions=18957, otc=None)
Agg(open=26.63, high=28.47, low=26.48, close=28.46, volume=2393167.0, vwap=27.4039, timestamp=1675782000000, transactions=19425, otc=None)
Agg(open=28.46, high=29.45, low=28.38, close=28.865, volume=2150117.0, vwap=28.9315, timestamp=1675785600000, transactions=23011, otc=None)
Agg(open=28.86, high=29.8078, low=28.74, close=29.62, volume=1274440.0, vwap=29.3246, timestamp=1675789200000, transactions=12871, otc=None)
Agg(open=29.64, high=29.665, low=28.62, close=29.18, volume=1520752.0, vwap=29.0496, timestamp=1675792800000, transactions=13010, otc=None)
Agg(open=29.18, high=29.83, low=29.18, close=29.765, volume=984615, vwap=29.5098, timestamp=1675796400000, transactions=9718, otc=None)
Agg(open=29.77, high=30.98, low=29.51, close=30.24, volume=4459688.0, vwap=30.3799, timestamp=1675800000000, transactions=35214, otc=None)
Agg(open=30.24, high=30.48, low=30.24, close=30.48, volume=70941, vwap=30.2417, timestamp=1675803600000, transactions=63, otc=None)
Agg(open=30.299, high=30.4, low=30.1, close=30.4, volume=869, vwap=30.2371, timestamp=1675807200000, transactions=9, otc=None)
Agg(open=30.4, high=30.4, low=30.15, close=30.15, volume=1650, vwap=30.2375, timestamp=1675810800000, transactions=7, otc=None)
Agg(open=30.15, high=30.25, low=30, close=30.25, volume=2289, vwap=30.1039, timestamp=1675814400000, transactions=10, otc=None)
Agg(open=30.3, high=30.35, low=30.3, close=30.35, volume=1158, vwap=30.3017, timestamp=1675854000000, transactions=12, otc=None)
Agg(open=30.15, high=30.29, low=30.15, close=30.29, volume=1152, vwap=30.2511, timestamp=1675857600000, transactions=19, otc=None)
Agg(open=30.24, high=30.24, low=30.1, close=30.1, volume=3650, vwap=30.189, timestamp=1675861200000, transactions=42, otc=None)
Agg(open=29.9, high=30.09, low=28.93, close=29.09, volume=886067, vwap=29.247, timestamp=1675864800000, transactions=9961, otc=None)
Agg(open=29.08, high=29.08, low=28.2, close=28.25, volume=1718754.0, vwap=28.5488, timestamp=1675868400000, transactions=19568, otc=None)
Agg(open=28.25, high=28.25, low=27.93, close=28.07, volume=1215092.0, vwap=28.0731, timestamp=1675872000000, transactions=13017, otc=None)
Agg(open=28.05, high=28.23, low=27.9, close=28.19, volume=670909, vwap=28.0662, timestamp=1675875600000, transactions=7890, otc=None)
