Agg(open=25.24, high=25.24, low=25.24, close=25.24, volume=275, vwap=25.2964, timestamp=1677502800000, transactions=2, otc=None)
Agg(open=25.52, high=25.6, low=25.14, close=25.3, volume=158339, vwap=25.3809, timestamp=1677506400000, transactions=1819, otc=None)
Agg(open=25.27, high=25.46, low=25.03, close=25.1, volume=252262, vwap=25.2049, timestamp=1677510000000, transactions=3668, otc=None)
Agg(open=25.11, high=25.185, low=25.0601, close=25.135, volume=283878, vwap=25.1289, timestamp=1677513600000, transactions=3830, otc=None)
Agg(open=25.13, high=25.14, low=24.78, close=24.8, volume=678742, vwap=24.9365, timestamp=1677517200000, transactions=5565, otc=None)
Agg(open=24.8, high=24.9775, low=24.75, close=24.95, volume=454646, vwap=24.8478, timestamp=1677520800000, transactions=4361, otc=None)
Agg(open=24.95, high=25.04, low=24.71, close=24.72, volume=765408, vwap=24.8087, timestamp=1677524400000, transactions=5202, otc=None)
Agg(open=24.72, high=24.8, low=24.42, close=24.645, volume=2022435.0, vwap=24.579, timestamp=1677528000000, transactions=15476, otc=None)
Agg(open=24.66, high=24.85, low=24.66, close=24.76, volume=61745, vwap=24.6622, timestamp=1677531600000, transactions=36, otc=None)
Agg(open=25.18, high=25.18, low=25.18, close=25.18, volume=274, vwap=25.1368, timestamp=1677589200000, transactions=9, otc=None)
Agg(open=24.67, high=25.04, low=24.36, close=24.58, volume=478282, vwap=24.5572, timestamp=1677592800000, transactions=2910, otc=None)
Agg(open=24.585, high=24.79, low=24.2, close=24.23, volume=657942, vwap=24.4834, timestamp=1677596400000, transactions=5141, otc=None)
Agg(open=24.235, high=24.35, low=24.1899, close=24.24, volume=610175, vwap=24.2655, timestamp=1677600000000, transactions=4671, otc=None)
Agg(open=24.235, high=24.385, low=24.22, close=24.275, volume=284682, vwap=24.304, timestamp=1677603600000, transactions=4054, otc=None)
Agg(open=24.275, high=24.375, low=24.13, close=24.14, volume=418977, vwap=24.2401, timestamp=1677607200000, transactions=5150, otc=None)
Agg(open=24.135, high=24.5, low=24.075, close=24.27, volume=702199, vwap=24.223, timestamp=1677610800000, transactions=6049, otc=None)
Agg(open=24.27, high=24.42, low=24.14, close=24.19, volume=1422993.0, vwap=24.2564, timestamp=1677614400000, transactions=14463, otc=None)
Agg(open=24.17, high=24.17, low=24.04, close=24.04, volume=143867, vwap=24.1698, timestamp=1677618000000, transactions=74, otc=None)
Agg(open=24.15, high=24.15, low=24.13, close=24.13, volume=538, vwap=24.1448, timestamp=1677621600000, transactions=3, otc=None)
Agg(open=24.1, high=24.1, low=24.1, close=24.1, volume=110, vwap=24.1, timestamp=1677625200000, transactions=2, otc=None)
Agg(open=24.03, high=24.03, low=24.03, close=24.03, volume=200, vwap=24.03, timestamp=1677628800000, transactions=1, otc=None)
Agg(open=24.18, high=24.75, low=24.11, close=24.62, volume=218325, vwap=24.5407, timestamp=1677679200000, transactions=2645, otc=None)
Agg(open=24.63, high=24.68, low=24.3825, close=24.51, volume=328701, vwap=24.5554, timestamp=1677682800000, transactions=4628, otc=None)
