Agg(open=13, high=13.17, low=13, close=13.17, volume=255, vwap=13.0149, timestamp=1699880400000, transactions=3, otc=None)
Agg(open=12.56, high=12.74, low=12.505, close=12.51, volume=164798, vwap=12.5865, timestamp=1699884000000, transactions=1836, otc=None)
Agg(open=12.505, high=12.585, low=12.465, close=12.585, volume=381775, vwap=12.5369, timestamp=1699887600000, transactions=4826, otc=None)
Agg(open=12.585, high=12.75, low=12.585, close=12.69, volume=342919, vwap=12.6607, timestamp=1699891200000, transactions=4252, otc=None)
Agg(open=12.695, high=12.765, low=12.68, close=12.765, volume=364343, vwap=12.7149, timestamp=1699894800000, transactions=4558, otc=None)
Agg(open=12.765, high=12.77, low=12.675, close=12.705, volume=358551, vwap=12.7195, timestamp=1699898400000, transactions=4422, otc=None)
Agg(open=12.7, high=12.745, low=12.53, close=12.56, volume=881666, vwap=12.6538, timestamp=1699902000000, transactions=7412, otc=None)
Agg(open=12.56, high=12.6, low=12.515, close=12.545, volume=1225193.0, vwap=12.557, timestamp=1699905600000, transactions=10061, otc=None)
Agg(open=12.55, high=12.55, low=12.55, close=12.55, volume=179336, vwap=12.55, timestamp=1699909200000, transactions=29, otc=None)
Agg(open=12.6, high=12.6, low=12.6, close=12.6, volume=1100, vwap=12.6, timestamp=1699920000000, transactions=2, otc=None)
Agg(open=12.55, high=12.55, low=12.55, close=12.55, volume=1300, vwap=12.5499, timestamp=1699963200000, transactions=3, otc=None)
Agg(open=12.55, high=12.87, low=12.527, close=12.85, volume=6518, vwap=12.7037, timestamp=1699966800000, transactions=23, otc=None)
Agg(open=12.57, high=13.26, low=12.57, close=13.255, volume=560959, vwap=13.0974, timestamp=1699970400000, transactions=4452, otc=None)
Agg(open=13.255, high=13.3388, low=13.065, close=13.25, volume=956380, vwap=13.239, timestamp=1699974000000, transactions=8395, otc=None)
Agg(open=13.255, high=13.39, low=13.255, close=13.295, volume=598358, vwap=13.3355, timestamp=1699977600000, transactions=5977, otc=None)
Agg(open=13.3, high=13.37, low=13.245, close=13.34, volume=503368, vwap=13.3099, timestamp=1699981200000, transactions=4431, otc=None)
Agg(open=13.335, high=13.355, low=13.26, close=13.265, volume=422116, vwap=13.3106, timestamp=1699984800000, transactions=4301, otc=None)
Agg(open=13.265, high=13.265, low=13.21, close=13.235, volume=431595, vwap=13.2307, timestamp=1699988400000, transactions=4441, otc=None)
Agg(open=13.235, high=13.36, low=13.185, close=13.28, volume=2117277.0, vwap=13.2688, timestamp=1699992000000, transactions=13504, otc=None)
Agg(open=13.29, high=13.32, low=13.29, close=13.32, volume=1002819.0, vwap=13.2901, timestamp=1699995600000, transactions=51, otc=None)
Agg(open=13.3, high=13.45, low=13.3, close=13.45, volume=816, vwap=13.3368, timestamp=1699999200000, transactions=2, otc=None)
Agg(open=13.34, high=13.34, low=13.34, close=13.34, volume=120, vwap=13.3333, timestamp=1700002800000, transactions=2, otc=None)
Agg(open=13.3, high=13.3, low=13.3, close=13.3, volume=500, vwap=13.3, timestamp=1700006400000, transactions=1, otc=None)
Agg(open=13.3, high=13.3, low=13.3, close=13.3, volume=152, vwap=13.3028, timestamp=1700038800000, transactions=2, otc=None)
Agg(open=13.32, high=13.5, low=13.29, close=13.43, volume=148875, vwap=13.2913, timestamp=1700053200000, transactions=6, otc=None)
Agg(open=13.35, high=13.61, low=13.29, close=13.48, volume=425700, vwap=13.4927, timestamp=1700056800000, transactions=3610, otc=None)
Agg(open=13.49, high=13.81, low=13.48, close=13.8, volume=670249, vwap=13.6881, timestamp=1700060400000, transactions=6388, otc=None)
Agg(open=13.8, high=13.81, low=13.5925, close=13.62, volume=549300, vwap=13.7299, timestamp=1700064000000, transactions=5709, otc=None)
Agg(open=13.62, high=13.67, low=13.58, close=13.59, volume=429598, vwap=13.6143, timestamp=1700067600000, transactions=5118, otc=None)
Agg(open=13.595, high=13.61, low=13.485, close=13.6, volume=486308, vwap=13.5558, timestamp=1700071200000, transactions=5452, otc=None)
Agg(open=13.605, high=13.675, low=13.6, close=13.645, volume=507205, vwap=13.6431, timestamp=1700074800000, transactions=5240, otc=None)
Agg(open=13.64, high=13.66, low=13.6, close=13.625, volume=1490604.0, vwap=13.6226, timestamp=1700078400000, transactions=10784, otc=None)
Agg(open=13.62, high=13.63, low=13.5, close=13.62, volume=1769254.0, vwap=13.6199, timestamp=1700082000000, transactions=43, otc=None)
Agg(open=13.65, high=13.65, low=13.65, close=13.65, volume=500, vwap=13.6446, timestamp=1700089200000, transactions=2, otc=None)
Agg(open=13.72, high=13.72, low=13.59, close=13.59, volume=4000, vwap=13.655, timestamp=1700139600000, transactions=2, otc=None)
Agg(open=13.52, high=13.58, low=13.275, close=13.275, volume=264264, vwap=13.4017, timestamp=1700143200000, transactions=2722, otc=None)
Agg(open=13.28, high=13.31, low=13.145, close=13.175, volume=401958, vwap=13.2199, timestamp=1700146800000, transactions=4637, otc=None)
Agg(open=13.175, high=13.245, low=13.13, close=13.185, volume=264491, vwap=13.178, timestamp=1700150400000, transactions=3164, otc=None)
Agg(open=13.185, high=13.355, low=13.17, close=13.3, volume=226910, vwap=13.2514, timestamp=1700154000000, transactions=2786, otc=None)
Agg(open=13.3, high=13.305, low=13.23, close=13.245, volume=184140, vwap=13.2594, timestamp=1700157600000, transactions=2192, otc=None)
