Agg(open=22, high=22, low=21.5, close=21.59, volume=10584, vwap=21.6752, timestamp=1676278800000, transactions=193, otc=None)
Agg(open=21.59, high=21.69, low=21.31, close=21.69, volume=11851, vwap=21.5342, timestamp=1676282400000, transactions=166, otc=None)
Agg(open=21.7, high=21.79, low=21.67, close=21.77, volume=10266, vwap=21.7451, timestamp=1676286000000, transactions=74, otc=None)
Agg(open=21.79, high=22.05, low=21.79, close=21.9, volume=26648, vwap=21.9254, timestamp=1676289600000, transactions=293, otc=None)
Agg(open=21.95, high=22.47, low=21.5015, close=21.604, volume=64039, vwap=21.7779, timestamp=1676293200000, transactions=646, otc=None)
Agg(open=21.66, high=21.9, low=21.29, close=21.6099, volume=875554, vwap=21.5416, timestamp=1676296800000, transactions=6744, otc=None)
Agg(open=21.61, high=21.65, low=20.875, close=20.97, volume=1217765.0, vwap=21.1675, timestamp=1676300400000, transactions=9086, otc=None)
Agg(open=20.98, high=21.08, low=20.4701, close=20.66, volume=1155816.0, vwap=20.7052, timestamp=1676304000000, transactions=7740, otc=None)
Agg(open=20.655, high=20.88, low=20.61, close=20.845, volume=776600, vwap=20.7328, timestamp=1676307600000, transactions=4372, otc=None)
Agg(open=20.8458, high=21.02, low=20.83, close=21.0017, volume=514287, vwap=20.9557, timestamp=1676311200000, transactions=3866, otc=None)
Agg(open=21.005, high=21.01, low=20.85, close=20.925, volume=418025, vwap=20.9387, timestamp=1676314800000, transactions=3195, otc=None)
Agg(open=20.925, high=21, low=20.8601, close=20.96, volume=652279, vwap=20.9526, timestamp=1676318400000, transactions=5022, otc=None)
Agg(open=21, high=21.1, low=20.95, close=20.9537, volume=19567, vwap=20.9799, timestamp=1676322000000, transactions=69, otc=None)
Agg(open=20.9537, high=21.03, low=20.95, close=21, volume=5167, vwap=21.0026, timestamp=1676325600000, transactions=25, otc=None)
Agg(open=21, high=21, low=20.95, close=20.95, volume=4312, vwap=20.9592, timestamp=1676332800000, transactions=8, otc=None)
Agg(open=20.77, high=20.77, low=20.77, close=20.77, volume=411, vwap=20.7755, timestamp=1676365200000, transactions=12, otc=None)
Agg(open=20.85, high=20.97, low=20.84, close=20.85, volume=1339, vwap=20.8582, timestamp=1676368800000, transactions=43, otc=None)
Agg(open=20.9, high=20.9, low=20.8, close=20.81, volume=2045, vwap=20.8198, timestamp=1676372400000, transactions=20, otc=None)
Agg(open=20.95, high=20.95, low=20.73, close=20.87, volume=12681, vwap=20.773, timestamp=1676376000000, transactions=72, otc=None)
Agg(open=20.81, high=20.95, low=20.72, close=20.91, volume=16063, vwap=20.8208, timestamp=1676379600000, transactions=315, otc=None)
Agg(open=20.7615, high=21.09, low=20.2, close=20.95, volume=719434, vwap=20.6598, timestamp=1676383200000, transactions=5770, otc=None)
Agg(open=20.95, high=21.13, low=20.71, close=20.97, volume=779220, vwap=20.9068, timestamp=1676386800000, transactions=7169, otc=None)
Agg(open=20.975, high=21.145, low=20.823, close=21.02, volume=430136, vwap=20.9711, timestamp=1676390400000, transactions=4138, otc=None)
Agg(open=21.025, high=21.1, low=20.97, close=21.095, volume=248224, vwap=21.0229, timestamp=1676394000000, transactions=2761, otc=None)
Agg(open=21.09, high=21.3, low=21.0288, close=21.0601, volume=341460, vwap=21.1727, timestamp=1676397600000, transactions=3598, otc=None)
Agg(open=21.065, high=21.1992, low=20.975, close=21.13, volume=287248, vwap=21.1037, timestamp=1676401200000, transactions=2899, otc=None)
Agg(open=21.13, high=21.28, low=21.11, close=21.2, volume=473186, vwap=21.1935, timestamp=1676404800000, transactions=5212, otc=None)
Agg(open=21.2, high=21.27, low=21.01, close=21.2, volume=2100, vwap=21.1938, timestamp=1676408400000, transactions=17, otc=None)
Agg(open=21.14, high=21.14, low=21.12, close=21.13, volume=434, vwap=21.1296, timestamp=1676412000000, transactions=7, otc=None)
Agg(open=21.2, high=21.2, low=21.1, close=21.1, volume=500, vwap=21.1602, timestamp=1676415600000, transactions=7, otc=None)
Agg(open=21.19, high=21.2, low=21.1, close=21.1, volume=1866, vwap=21.1386, timestamp=1676419200000, transactions=24, otc=None)
Agg(open=20.9, high=21.18, low=20.9, close=21.18, volume=583, vwap=20.949, timestamp=1676451600000, transactions=6, otc=None)
Agg(open=21.15, high=21.15, low=21.09, close=21.09, volume=279, vwap=21.1119, timestamp=1676458800000, transactions=3, otc=None)
Agg(open=20.95, high=20.95, low=20.95, close=20.95, volume=244, vwap=20.9881, timestamp=1676462400000, transactions=17, otc=None)
Agg(open=20.93, high=21.13, low=20.7824, close=21.09, volume=12105, vwap=20.9143, timestamp=1676466000000, transactions=170, otc=None)
Agg(open=21.01, high=21.0775, low=20.74, close=20.83, volume=294838, vwap=20.9056, timestamp=1676469600000, transactions=2825, otc=None)
Agg(open=20.837, high=21.12, low=20.8101, close=21.04, volume=337127, vwap=20.978, timestamp=1676473200000, transactions=3754, otc=None)
Agg(open=21.04, high=21.345, low=21.02, close=21.34, volume=243577, vwap=21.2181, timestamp=1676476800000, transactions=2745, otc=None)
Agg(open=21.34, high=21.565, low=21.315, close=21.472, volume=362448, vwap=21.4639, timestamp=1676480400000, transactions=3133, otc=None)
Agg(open=21.48, high=21.5999, low=21.42, close=21.57, volume=194104, vwap=21.517, timestamp=1676484000000, transactions=2200, otc=None)
Agg(open=21.57, high=21.57, low=21.35, close=21.37, volume=277851, vwap=21.4584, timestamp=1676487600000, transactions=2967, otc=None)
Agg(open=21.37, high=21.48, low=21.32, close=21.45, volume=317080, vwap=21.3913, timestamp=1676491200000, transactions=3966, otc=None)
Agg(open=21.46, high=21.46, low=21.3612, close=21.41, volume=3550, vwap=21.4248, timestamp=1676494800000, transactions=23, otc=None)
Agg(open=21.44, high=21.46, low=21.44, close=21.46, volume=2637, vwap=21.4544, timestamp=1676498400000, transactions=12, otc=None)
Agg(open=21.44, high=21.49, low=21.44, close=21.49, volume=202, vwap=21.4652, timestamp=1676502000000, transactions=3, otc=None)
Agg(open=21.49, high=21.49, low=21.44, close=21.44, volume=1935, vwap=21.4587, timestamp=1676505600000, transactions=8, otc=None)
Agg(open=21.55, high=21.79, low=21.55, close=21.73, volume=540, vwap=21.7142, timestamp=1676538000000, transactions=9, otc=None)
Agg(open=21.67, high=21.69, low=21.66, close=21.66, volume=1260, vwap=21.6716, timestamp=1676541600000, transactions=12, otc=None)
Agg(open=21.6, high=21.65, low=21.59, close=21.59, volume=3307, vwap=21.6388, timestamp=1676545200000, transactions=22, otc=None)
Agg(open=21.6, high=21.6, low=21.4, close=21.54, volume=5811, vwap=21.5289, timestamp=1676548800000, transactions=37, otc=None)
Agg(open=21.55, high=21.5515, low=21.11, close=21.11, volume=23971, vwap=21.4626, timestamp=1676552400000, transactions=327, otc=None)
Agg(open=21.25, high=21.47, low=21.1, close=21.3152, volume=266220, vwap=21.3228, timestamp=1676556000000, transactions=2479, otc=None)
Agg(open=21.33, high=21.48, low=21.25, close=21.32, volume=307560, vwap=21.4096, timestamp=1676559600000, transactions=4044, otc=None)
Agg(open=21.32, high=21.42, low=21.2423, close=21.2423, volume=175368, vwap=21.3137, timestamp=1676563200000, transactions=2439, otc=None)
Agg(open=21.2429, high=21.41, low=21.215, close=21.372, volume=198703, vwap=21.327, timestamp=1676566800000, transactions=2409, otc=None)
Agg(open=21.375, high=21.4, low=21.25, close=21.3869, volume=216293, vwap=21.3136, timestamp=1676570400000, transactions=2472, otc=None)
Agg(open=21.39, high=21.43, low=21.31, close=21.42, volume=203061, vwap=21.3741, timestamp=1676574000000, transactions=2228, otc=None)
Agg(open=21.412, high=21.42, low=21.2201, close=21.24, volume=428757, vwap=21.306, timestamp=1676577600000, transactions=4352, otc=None)
Agg(open=21.25, high=21.27, low=21.25, close=21.25, volume=3704, vwap=21.2574, timestamp=1676581200000, transactions=17, otc=None)
Agg(open=21.2517, high=21.27, low=21.2517, close=21.2699, volume=1341, vwap=21.2667, timestamp=1676584800000, transactions=5, otc=None)
Agg(open=21.21, high=21.21, low=21.18, close=21.2, volume=3809, vwap=21.202, timestamp=1676588400000, transactions=29, otc=None)
Agg(open=21.15, high=21.25, low=21.1, close=21.2, volume=2234, vwap=21.1901, timestamp=1676592000000, transactions=17, otc=None)
Agg(open=21.42, high=21.52, low=21.24, close=21.52, volume=12706, vwap=21.3055, timestamp=1676624400000, transactions=48, otc=None)
Agg(open=21.55, high=21.79, low=21.54, close=21.71, volume=4205, vwap=21.6825, timestamp=1676628000000, transactions=32, otc=None)
Agg(open=21.61, high=22.53, low=21.55, close=22.5, volume=38108, vwap=21.9505, timestamp=1676631600000, transactions=381, otc=None)
Agg(open=22.49, high=22.55, low=22.22, close=22.22, volume=59149, vwap=22.433, timestamp=1676635200000, transactions=471, otc=None)
Agg(open=22.25, high=22.55, low=21.4015, close=22.23, volume=72961, vwap=22.2529, timestamp=1676638800000, transactions=695, otc=None)
Agg(open=22.24, high=22.85, low=22.059, close=22.162, volume=1328549.0, vwap=22.39, timestamp=1676642400000, transactions=8849, otc=None)
Agg(open=22.16, high=22.555, low=22.14, close=22.25, volume=796948, vwap=22.347, timestamp=1676646000000, transactions=8488, otc=None)
Agg(open=22.26, high=22.5, low=22.1599, close=22.345, volume=482475, vwap=22.3461, timestamp=1676649600000, transactions=4905, otc=None)
Agg(open=22.35, high=22.44, low=22.2269, close=22.285, volume=351694, vwap=22.3398, timestamp=1676653200000, transactions=3851, otc=None)
Agg(open=22.285, high=22.33, low=22.18, close=22.2, volume=300841, vwap=22.2544, timestamp=1676656800000, transactions=3063, otc=None)
Agg(open=22.2086, high=22.255, low=22.1, close=22.195, volume=289692, vwap=22.1876, timestamp=1676660400000, transactions=2753, otc=None)
