Agg(open=17.5, high=17.7, low=17.5, close=17.67, volume=14977, vwap=17.6247, timestamp=1684742400000, transactions=118, otc=None)
Agg(open=17.67, high=18.1, low=17.67, close=18, volume=32463, vwap=17.9782, timestamp=1684746000000, transactions=145, otc=None)
Agg(open=18.19, high=18.34, low=18, close=18.3, volume=27237, vwap=18.2141, timestamp=1684749600000, transactions=243, otc=None)
Agg(open=18.19, high=18.35, low=15.3, close=15.77, volume=334570, vwap=16.3079, timestamp=1684753200000, transactions=5878, otc=None)
Agg(open=16.2982, high=17.91, low=15.42, close=15.99, volume=603446, vwap=16.0001, timestamp=1684756800000, transactions=6015, otc=None)
Agg(open=16, high=17.88, low=14.72, close=14.84, volume=4867236.0, vwap=15.2494, timestamp=1684760400000, transactions=35324, otc=None)
Agg(open=14.845, high=15.25, low=14.55, close=14.885, volume=2975149.0, vwap=14.9171, timestamp=1684764000000, transactions=22842, otc=None)
Agg(open=14.885, high=15.25, low=14.8633, close=15.06, volume=1470757.0, vwap=15.0403, timestamp=1684767600000, transactions=10839, otc=None)
Agg(open=15.065, high=15.1, low=14.9325, close=14.9799, volume=1011098.0, vwap=15.0041, timestamp=1684771200000, transactions=7420, otc=None)
Agg(open=14.9712, high=15.09, low=14.7, close=14.705, volume=1465617.0, vwap=14.8635, timestamp=1684774800000, transactions=9849, otc=None)
Agg(open=14.7, high=14.7099, low=14.56, close=14.6569, volume=1174600.0, vwap=14.634, timestamp=1684778400000, transactions=8034, otc=None)
Agg(open=14.6571, high=14.7, low=14.5, close=14.675, volume=1899812.0, vwap=14.5933, timestamp=1684782000000, transactions=12795, otc=None)
Agg(open=14.68, high=14.72, low=14.6, close=14.65, volume=26905, vwap=14.6538, timestamp=1684785600000, transactions=382, otc=None)
Agg(open=14.65, high=14.72, low=14.6, close=14.63, volume=24227, vwap=14.649, timestamp=1684789200000, transactions=252, otc=None)
Agg(open=14.65, high=14.659, low=14.58, close=14.58, volume=12352, vwap=14.6152, timestamp=1684792800000, transactions=166, otc=None)
Agg(open=14.58, high=14.68, low=14.55, close=14.64, volume=31189, vwap=14.5974, timestamp=1684796400000, transactions=209, otc=None)
Agg(open=14.69, high=14.69, low=14.31, close=14.57, volume=13825, vwap=14.555, timestamp=1684828800000, transactions=330, otc=None)
Agg(open=14.54, high=14.56, low=14.42, close=14.43, volume=8840, vwap=14.4517, timestamp=1684832400000, transactions=161, otc=None)
Agg(open=14.46, high=14.5, low=14.46, close=14.48, volume=550, vwap=14.4791, timestamp=1684836000000, transactions=12, otc=None)
Agg(open=14.49, high=14.49, low=14.08, close=14.16, volume=90739, vwap=14.2176, timestamp=1684839600000, transactions=1401, otc=None)
Agg(open=14.4992, high=14.92, low=14.0702, close=14.12, volume=144172, vwap=14.1786, timestamp=1684843200000, transactions=1754, otc=None)
Agg(open=14.12, high=14.14, low=12.95, close=13.57, volume=4498902.0, vwap=13.3287, timestamp=1684846800000, transactions=29300, otc=None)
Agg(open=13.56, high=14.05, low=13.485, close=13.95, volume=2770538.0, vwap=13.8289, timestamp=1684850400000, transactions=18803, otc=None)
Agg(open=13.956, high=14.085, low=13.81, close=14.035, volume=1229624.0, vwap=13.9307, timestamp=1684854000000, transactions=9995, otc=None)
Agg(open=14.04, high=14.11, low=13.805, close=13.895, volume=1008872.0, vwap=13.9718, timestamp=1684857600000, transactions=7714, otc=None)
Agg(open=13.9, high=14.33, low=13.895, close=14.23, volume=1237997.0, vwap=14.1223, timestamp=1684861200000, transactions=8454, otc=None)
Agg(open=14.23, high=14.31, low=14.14, close=14.28, volume=638279, vwap=14.2235, timestamp=1684864800000, transactions=5669, otc=None)
Agg(open=14.275, high=14.34, low=14.212, close=14.25, volume=1024522.0, vwap=14.2736, timestamp=1684868400000, transactions=8405, otc=None)
Agg(open=14.26, high=14.287, low=14.2203, close=14.26, volume=9899, vwap=14.2509, timestamp=1684872000000, transactions=103, otc=None)
Agg(open=14.26, high=14.3, low=14.25, close=14.28, volume=6768, vwap=14.2633, timestamp=1684875600000, transactions=52, otc=None)
Agg(open=14.25, high=14.32, low=14.25, close=14.32, volume=3791, vwap=14.2693, timestamp=1684879200000, transactions=26, otc=None)
Agg(open=14.3, high=14.32, low=14.25, close=14.26, volume=1937, vwap=14.271, timestamp=1684882800000, transactions=12, otc=None)
Agg(open=14.31, high=14.31, low=14.31, close=14.31, volume=415, vwap=14.31, timestamp=1684915200000, transactions=3, otc=None)
Agg(open=14.3, high=14.3, low=14.26, close=14.27, volume=1813, vwap=14.2706, timestamp=1684918800000, transactions=15, otc=None)
Agg(open=14.27, high=14.28, low=14.27, close=14.27, volume=735, vwap=14.2715, timestamp=1684922400000, transactions=12, otc=None)
Agg(open=14.28, high=14.28, low=14.05, close=14.06, volume=20921, vwap=14.1909, timestamp=1684926000000, transactions=173, otc=None)
Agg(open=14.2995, high=14.51, low=14.05, close=14.09, volume=51350, vwap=14.2163, timestamp=1684929600000, transactions=674, otc=None)
Agg(open=14.1, high=14.18, low=13.88, close=14.05, volume=708885, vwap=14.0232, timestamp=1684933200000, transactions=6223, otc=None)
Agg(open=14.055, high=14.5, low=14.01, close=14.38, volume=1343323.0, vwap=14.2766, timestamp=1684936800000, transactions=10365, otc=None)
Agg(open=14.385, high=14.625, low=14.36, close=14.56, volume=771013, vwap=14.5278, timestamp=1684940400000, transactions=6868, otc=None)
Agg(open=14.56, high=14.5896, low=14.4, close=14.5, volume=410086, vwap=14.4753, timestamp=1684944000000, transactions=3911, otc=None)
Agg(open=14.5, high=14.5, low=14.25, close=14.3, volume=540597, vwap=14.3267, timestamp=1684947600000, transactions=4512, otc=None)
Agg(open=14.3, high=14.37, low=14.2, close=14.35, volume=478682, vwap=14.2737, timestamp=1684951200000, transactions=3871, otc=None)
Agg(open=14.35, high=14.486, low=14.34, close=14.405, volume=789438, vwap=14.419, timestamp=1684954800000, transactions=6018, otc=None)
Agg(open=14.41, high=14.5, low=14.3801, close=14.49, volume=16814, vwap=14.448, timestamp=1684958400000, transactions=103, otc=None)
Agg(open=14.5, high=14.5, low=14.4102, close=14.44, volume=4174, vwap=14.4533, timestamp=1684962000000, transactions=51, otc=None)
Agg(open=14.45, high=14.4999, low=14.42, close=14.42, volume=1161, vwap=14.4421, timestamp=1684965600000, transactions=10, otc=None)
Agg(open=14.43, high=14.5, low=14.42, close=14.5, volume=8412, vwap=14.4424, timestamp=1684969200000, transactions=24, otc=None)
Agg(open=14.44, high=14.47, low=14.44, close=14.46, volume=1516, vwap=14.4436, timestamp=1685001600000, transactions=18, otc=None)
Agg(open=14.44, high=14.45, low=14.41, close=14.44, volume=1757, vwap=14.4224, timestamp=1685005200000, transactions=30, otc=None)
Agg(open=14.43, high=14.5, low=14.43, close=14.5, volume=359, vwap=14.4705, timestamp=1685008800000, transactions=5, otc=None)
Agg(open=14.46, high=14.5, low=14.46, close=14.5, volume=655, vwap=14.473, timestamp=1685012400000, transactions=21, otc=None)
Agg(open=14.4531, high=14.5015, low=14.27, close=14.45, volume=11437, vwap=14.4518, timestamp=1685016000000, transactions=265, otc=None)
Agg(open=14.44, high=14.4822, low=14.05, close=14.0779, volume=580643, vwap=14.2211, timestamp=1685019600000, transactions=4613, otc=None)
Agg(open=14.0712, high=14.22, low=14.065, close=14.18, volume=656384, vwap=14.1393, timestamp=1685023200000, transactions=6727, otc=None)
Agg(open=14.1801, high=14.32, low=14.13, close=14.27, volume=436688, vwap=14.2294, timestamp=1685026800000, transactions=4024, otc=None)
Agg(open=14.265, high=14.31, low=14.185, close=14.27, volume=273640, vwap=14.253, timestamp=1685030400000, transactions=2486, otc=None)
Agg(open=14.27, high=14.325, low=14.23, close=14.3, volume=243517, vwap=14.288, timestamp=1685034000000, transactions=2319, otc=None)
Agg(open=14.31, high=14.34, low=14.095, close=14.105, volume=366543, vwap=14.2006, timestamp=1685037600000, transactions=3329, otc=None)
Agg(open=14.105, high=14.29, low=14.105, close=14.17, volume=746978, vwap=14.204, timestamp=1685041200000, transactions=6452, otc=None)
Agg(open=14.17, high=14.21, low=14.1, close=14.19, volume=184765, vwap=14.1758, timestamp=1685044800000, transactions=120, otc=None)
Agg(open=14.19, high=14.2, low=14.18, close=14.18, volume=6052, vwap=14.1869, timestamp=1685048400000, transactions=17, otc=None)
Agg(open=14.19, high=14.19, low=14.19, close=14.19, volume=100, vwap=14.19, timestamp=1685052000000, transactions=1, otc=None)
Agg(open=14.19, high=14.2, low=14.19, close=14.2, volume=1226, vwap=14.1953, timestamp=1685055600000, transactions=11, otc=None)
