Agg(open=12.99, high=13.03, low=12.99, close=13, volume=3875, vwap=13.0063, timestamp=1687248000000, transactions=54, otc=None)
Agg(open=13, high=13.01, low=12.85, close=12.85, volume=3737, vwap=12.9365, timestamp=1687251600000, transactions=187, otc=None)
Agg(open=12.88, high=12.94, low=12.85, close=12.94, volume=2241, vwap=12.8631, timestamp=1687255200000, transactions=48, otc=None)
Agg(open=12.92, high=12.95, low=12.9, close=12.95, volume=4275, vwap=12.9261, timestamp=1687258800000, transactions=95, otc=None)
Agg(open=12.8997, high=13.3, low=12.86, close=12.93, volume=25065, vwap=12.9188, timestamp=1687262400000, transactions=397, otc=None)
Agg(open=12.9007, high=13.025, low=12.8199, close=12.83, volume=475535, vwap=12.8859, timestamp=1687266000000, transactions=3756, otc=None)
Agg(open=12.83, high=12.858, low=12.62, close=12.62, volume=717700, vwap=12.7215, timestamp=1687269600000, transactions=7629, otc=None)
Agg(open=12.62, high=12.63, low=12.425, close=12.445, volume=865350, vwap=12.5185, timestamp=1687273200000, transactions=7525, otc=None)
Agg(open=12.44, high=12.5985, low=12.43, close=12.565, volume=351375, vwap=12.508, timestamp=1687276800000, transactions=3389, otc=None)
Agg(open=12.5682, high=12.63, low=12.5, close=12.5, volume=263889, vwap=12.5879, timestamp=1687280400000, transactions=2534, otc=None)
Agg(open=12.5058, high=12.58, low=12.5, close=12.52, volume=248840, vwap=12.5348, timestamp=1687284000000, transactions=2643, otc=None)
Agg(open=12.525, high=12.58, low=12.52, close=12.54, volume=408312, vwap=12.5398, timestamp=1687287600000, transactions=3888, otc=None)
Agg(open=12.54, high=12.56, low=12.53, close=12.56, volume=82081, vwap=12.5499, timestamp=1687291200000, transactions=50, otc=None)
Agg(open=12.59, high=12.6, low=12.55, close=12.59, volume=1663, vwap=12.578, timestamp=1687294800000, transactions=23, otc=None)
Agg(open=12.6, high=12.6, low=12.55, close=12.55, volume=447, vwap=12.5837, timestamp=1687298400000, transactions=17, otc=None)
Agg(open=12.55, high=12.6, low=12.55, close=12.6, volume=3451, vwap=12.5769, timestamp=1687302000000, transactions=18, otc=None)
Agg(open=12.62, high=12.8, low=12.6, close=12.71, volume=5781, vwap=12.7357, timestamp=1687338000000, transactions=62, otc=None)
Agg(open=12.71, high=12.73, low=12.66, close=12.66, volume=1440, vwap=12.6994, timestamp=1687341600000, transactions=30, otc=None)
Agg(open=12.64, high=12.64, low=12.58, close=12.6, volume=4550, vwap=12.6003, timestamp=1687345200000, transactions=78, otc=None)
Agg(open=12.5893, high=12.7685, low=12.3, close=12.62, volume=15099, vwap=12.6049, timestamp=1687348800000, transactions=325, otc=None)
Agg(open=12.62, high=12.63, low=12.42, close=12.4644, volume=266961, vwap=12.5048, timestamp=1687352400000, transactions=3106, otc=None)
Agg(open=12.46, high=12.5, low=12.32, close=12.365, volume=508559, vwap=12.4079, timestamp=1687356000000, transactions=6452, otc=None)
Agg(open=12.37, high=12.4, low=12.31, close=12.4, volume=302703, vwap=12.3611, timestamp=1687359600000, transactions=3524, otc=None)
Agg(open=12.395, high=12.405, low=12.3117, close=12.315, volume=190832, vwap=12.3637, timestamp=1687363200000, transactions=2363, otc=None)
Agg(open=12.315, high=12.43, low=12.3, close=12.425, volume=217714, vwap=12.3686, timestamp=1687366800000, transactions=2385, otc=None)
Agg(open=12.4279, high=12.48, low=12.41, close=12.44, volume=163152, vwap=12.4484, timestamp=1687370400000, transactions=1882, otc=None)
Agg(open=12.4499, high=12.45, low=12.34, close=12.34, volume=298944, vwap=12.3656, timestamp=1687374000000, transactions=3302, otc=None)
Agg(open=12.37, high=12.41, low=12.36, close=12.4, volume=47951, vwap=12.3721, timestamp=1687377600000, transactions=77, otc=None)
Agg(open=12.41, high=12.41, low=12.3508, close=12.3516, volume=2428, vwap=12.3833, timestamp=1687381200000, transactions=23, otc=None)
Agg(open=12.37, high=12.4291, low=12.37, close=12.4291, volume=1201, vwap=12.3932, timestamp=1687384800000, transactions=5, otc=None)
Agg(open=12.4, high=12.4, low=12.4, close=12.4, volume=803, vwap=12.4001, timestamp=1687388400000, transactions=5, otc=None)
Agg(open=12.41, high=12.45, low=12.41, close=12.45, volume=1900, vwap=12.4184, timestamp=1687420800000, transactions=5, otc=None)
Agg(open=12.4, high=12.4, low=12.35, close=12.35, volume=1300, vwap=12.3818, timestamp=1687428000000, transactions=53, otc=None)
Agg(open=12.37, high=12.39, low=12.37, close=12.39, volume=6080, vwap=12.3768, timestamp=1687431600000, transactions=41, otc=None)
Agg(open=12.3791, high=12.41, low=12.32, close=12.32, volume=4844, vwap=12.3558, timestamp=1687435200000, transactions=149, otc=None)
Agg(open=12.33, high=12.35, low=12.0316, close=12.055, volume=482165, vwap=12.1542, timestamp=1687438800000, transactions=4557, otc=None)
Agg(open=12.05, high=12.27, low=12.04, close=12.26, volume=356690, vwap=12.1895, timestamp=1687442400000, transactions=4103, otc=None)
Agg(open=12.26, high=12.3952, low=12.2515, close=12.365, volume=226663, vwap=12.3255, timestamp=1687446000000, transactions=2397, otc=None)
Agg(open=12.365, high=12.365, low=12.22, close=12.23, volume=128909, vwap=12.2871, timestamp=1687449600000, transactions=1514, otc=None)
Agg(open=12.235, high=12.24, low=12.15, close=12.168, volume=164026, vwap=12.2021, timestamp=1687453200000, transactions=1785, otc=None)
Agg(open=12.1688, high=12.2, low=12.14, close=12.18, volume=178105, vwap=12.1712, timestamp=1687456800000, transactions=1961, otc=None)
Agg(open=12.182, high=12.235, low=12.11, close=12.2, volume=339287, vwap=12.1697, timestamp=1687460400000, transactions=3331, otc=None)
Agg(open=12.1985, high=12.2, low=12.18, close=12.19, volume=1690, vwap=12.1969, timestamp=1687464000000, transactions=16, otc=None)
Agg(open=12.2, high=12.2, low=12.15, close=12.19, volume=3940, vwap=12.1796, timestamp=1687467600000, transactions=49, otc=None)
Agg(open=12.15, high=12.16, low=12.15, close=12.16, volume=1131, vwap=12.1551, timestamp=1687471200000, transactions=5, otc=None)
Agg(open=12.17, high=12.17, low=12.16, close=12.16, volume=1154, vwap=12.1619, timestamp=1687474800000, transactions=5, otc=None)
Agg(open=12.24, high=12.28, low=12.2, close=12.2, volume=1055, vwap=12.2432, timestamp=1687507200000, transactions=26, otc=None)
Agg(open=12.17, high=12.17, low=12.16, close=12.16, volume=759, vwap=12.1675, timestamp=1687510800000, transactions=15, otc=None)
Agg(open=12.15, high=12.16, low=12.15, close=12.15, volume=1029, vwap=12.1512, timestamp=1687514400000, transactions=14, otc=None)
Agg(open=12.15, high=12.15, low=12.13, close=12.13, volume=1832, vwap=12.141, timestamp=1687518000000, transactions=24, otc=None)
Agg(open=12.1504, high=12.31, low=12.04, close=12.04, volume=25644, vwap=12.1009, timestamp=1687521600000, transactions=343, otc=None)
Agg(open=12.05, high=12.12, low=11.922, close=12.09, volume=516147, vwap=12.0172, timestamp=1687525200000, transactions=3872, otc=None)
Agg(open=12.1, high=12.13, low=11.99, close=12.09, volume=378981, vwap=12.0539, timestamp=1687528800000, transactions=4258, otc=None)
Agg(open=12.088, high=12.14, low=12.035, close=12.135, volume=169091, vwap=12.0862, timestamp=1687532400000, transactions=1905, otc=None)
Agg(open=12.1308, high=12.2, low=12.13, close=12.135, volume=158726, vwap=12.1676, timestamp=1687536000000, transactions=1426, otc=None)
Agg(open=12.14, high=12.19, low=12.1115, close=12.185, volume=139865, vwap=12.1442, timestamp=1687539600000, transactions=1269, otc=None)
Agg(open=12.185, high=12.225, low=12.16, close=12.175, volume=129511, vwap=12.1877, timestamp=1687543200000, transactions=1641, otc=None)
Agg(open=12.17, high=12.22, low=12.14, close=12.195, volume=268153, vwap=12.186, timestamp=1687546800000, transactions=2942, otc=None)
Agg(open=12.19, high=12.19, low=12.15, close=12.15, volume=2859, vwap=12.1778, timestamp=1687550400000, transactions=38, otc=None)
Agg(open=12.16, high=12.16, low=12.12, close=12.12, volume=7394, vwap=12.1217, timestamp=1687554000000, transactions=11, otc=None)
Agg(open=12.17, high=12.17, low=12.17, close=12.17, volume=119, vwap=12.17, timestamp=1687557600000, transactions=2, otc=None)
Agg(open=12.16, high=12.16, low=12.12, close=12.12, volume=4855, vwap=12.1295, timestamp=1687561200000, transactions=26, otc=None)
